Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;968.4;968.4;967.8;;26.4;20.6;26.4;26.1;20.8;20.5;73.0;70.0;70.0;225.0;8.5;4.0
2020/01/01;0100 UTC;0.0;969.3;969.3;968.4;;25.5;21.0;26.4;25.5;21.0;20.5;76.0;70.0;76.0;181.0;8.5;1.4
2020/01/01;0200 UTC;0.0;969.7;969.9;969.3;;24.4;21.4;25.5;24.4;21.4;21.0;84.0;76.0;83.0;262.0;3.7;1.0
2020/01/01;0300 UTC;0.0;969.8;970.1;969.7;;23.6;21.2;24.4;23.5;21.4;21.1;87.0;83.0;87.0;37.0;2.7;0.5
2020/01/01;0400 UTC;0.0;969.7;970.0;969.7;;23.5;21.1;23.7;23.2;21.4;21.1;89.0;86.0;87.0;262.0;3.2;1.7
2020/01/01;0500 UTC;0.0;969.2;969.7;969.2;;23.2;21.1;23.6;23.2;21.2;20.9;88.0;85.0;88.0;297.0;3.7;1.8
2020/01/01;0600 UTC;0.0;968.6;969.2;968.6;;22.7;21.3;23.2;22.7;21.3;21.1;92.0;88.0;92.0;264.0;3.4;1.8
2020/01/01;0700 UTC;0.0;968.4;968.6;968.4;;22.6;21.2;22.9;22.6;21.3;21.2;92.0;90.0;92.0;279.0;4.0;1.3
2020/01/01;0800 UTC;0.0;968.4;968.4;968.2;;22.4;21.2;22.6;22.3;21.2;21.1;93.0;92.0;93.0;260.0;3.5;2.1
2020/01/01;0900 UTC;0.0;968.8;968.8;968.3;2.0;22.9;21.3;23.2;22.4;21.4;21.2;93.0;89.0;91.0;273.0;3.6;1.3
2020/01/01;1000 UTC;0.0;968.9;969.0;968.7;227.6;24.9;22.0;24.9;22.8;22.0;21.2;91.0;84.0;84.0;255.0;3.4;0.6
2020/01/01;1100 UTC;0.0;969.7;969.7;968.9;605.1;25.6;22.3;25.6;24.9;22.4;21.6;84.0;80.0;82.0;255.0;4.7;2.6
2020/01/01;1200 UTC;0.0;969.9;970.0;969.7;1010.1;26.8;22.4;26.8;25.2;22.7;22.0;84.0;76.0;77.0;240.0;5.0;2.4
2020/01/01;1300 UTC;0.0;969.7;970.0;969.7;1755.4;29.0;22.4;29.0;26.8;22.9;22.0;77.0;67.0;67.0;257.0;5.0;2.0
2020/01/01;1400 UTC;0.0;969.5;969.7;969.5;2642.7;31.4;22.4;31.7;28.8;22.7;21.5;69.0;56.0;59.0;241.0;4.0;1.8
2020/01/01;1500 UTC;0.0;969.1;969.5;969.1;3332.5;32.8;20.5;33.3;31.3;23.0;20.4;60.0;47.0;48.0;;5.6;
2020/01/01;1600 UTC;0.0;968.2;969.1;968.2;3553.2;34.2;21.3;34.4;32.8;21.8;20.0;51.0;44.0;47.0;264.0;6.6;3.1
2020/01/01;1700 UTC;0.0;966.8;968.2;966.8;3782.6;35.3;20.6;35.3;33.4;22.6;19.3;50.0;41.0;42.0;272.0;6.8;2.4
2020/01/01;1800 UTC;0.0;965.9;966.8;965.9;2964.1;34.5;21.0;35.7;34.0;21.0;19.3;46.0;39.0;46.0;286.0;8.1;3.8
2020/01/01;1900 UTC;0.0;965.3;965.9;965.3;1682.6;32.6;22.1;34.9;32.6;22.7;20.9;54.0;46.0;54.0;267.0;10.6;5.2
2020/01/01;2000 UTC;0.0;965.1;965.3;964.9;2019.2;32.3;21.3;34.0;32.3;22.7;21.3;55.0;50.0;52.0;259.0;10.6;5.1
2020/01/01;2100 UTC;0.0;965.2;965.2;964.8;817.4;29.9;21.2;32.2;29.9;22.0;20.0;59.0;49.0;59.0;258.0;8.9;3.6
2020/01/01;2200 UTC;0.0;966.1;966.1;965.2;214.8;29.3;21.6;30.1;29.2;21.6;21.1;63.0;59.0;63.0;236.0;5.9;2.1
2020/01/01;2300 UTC;0.0;967.5;967.5;966.0;15.3;28.8;21.7;29.3;28.7;21.7;21.4;66.0;63.0;66.0;216.0;6.6;2.5
2020/01/02;0000 UTC;0.0;968.2;968.3;967.4;;26.8;21.8;28.7;26.8;21.9;21.5;75.0;66.0;74.0;168.0;6.6;1.0
2020/01/02;0100 UTC;0.0;968.6;968.6;968.1;;25.6;22.4;26.8;25.6;22.5;21.9;83.0;74.0;83.0;104.0;2.6;1.0
2020/01/02;0200 UTC;0.0;968.7;968.7;968.6;;24.7;22.3;25.6;24.7;22.6;22.3;87.0;82.0;87.0;29.0;1.6;0.9
2020/01/02;0300 UTC;0.0;968.4;968.7;968.3;;24.1;22.2;24.7;24.1;22.4;22.2;89.0;86.0;89.0;347.0;1.6;1.0
2020/01/02;0400 UTC;0.0;968.1;968.5;968.1;;23.8;22.1;24.1;23.8;22.3;22.0;91.0;89.0;90.0;350.0;1.8;1.2
2020/01/02;0500 UTC;0.0;967.6;968.1;967.6;;23.7;22.1;24.0;23.6;22.2;22.0;91.0;90.0;91.0;278.0;1.8;0.7
2020/01/02;0600 UTC;0.0;967.2;967.6;967.2;;23.0;22.0;23.7;23.0;22.2;21.9;94.0;91.0;94.0;347.0;1.5;0.4
2020/01/02;0700 UTC;0.0;967.3;967.3;967.1;;23.5;22.1;23.5;23.0;22.1;22.0;94.0;92.0;92.0;268.0;1.6;0.7
2020/01/02;0800 UTC;0.0;967.3;967.4;967.3;;22.8;21.9;23.5;22.8;22.1;21.8;95.0;92.0;95.0;149.0;1.1;0.6
2020/01/02;0900 UTC;0.0;968.0;968.0;967.3;2.0;22.4;21.7;22.9;22.4;22.0;21.6;96.0;94.0;96.0;354.0;2.2;1.0
2020/01/02;1000 UTC;0.0;968.6;968.6;968.0;322.9;24.3;22.7;24.4;22.3;22.8;21.7;96.0;90.0;90.0;334.0;2.2;1.5
2020/01/02;1100 UTC;0.0;969.3;969.4;968.6;1109.6;26.5;22.7;26.6;24.4;23.5;22.2;90.0;79.0;80.0;269.0;3.9;2.3
2020/01/02;1200 UTC;0.0;969.5;969.6;969.3;1738.6;27.5;22.2;28.4;26.5;23.0;21.7;80.0;70.0;73.0;239.0;4.2;2.3
2020/01/02;1300 UTC;0.0;969.8;969.8;969.5;2332.3;28.5;21.1;29.7;27.5;23.0;21.1;73.0;63.0;64.0;261.0;6.2;2.3
2020/01/02;1400 UTC;0.0;969.5;969.8;969.5;2627.2;31.0;21.5;31.3;28.5;22.6;20.8;68.0;55.0;57.0;280.0;5.4;2.5
2020/01/02;1500 UTC;0.0;969.2;969.6;969.1;2512.4;32.4;20.9;32.7;30.3;22.2;20.2;59.0;50.0;51.0;283.0;7.1;2.9
2020/01/02;1600 UTC;0.0;968.3;969.2;968.3;3100.2;32.6;21.2;33.2;31.6;21.8;20.1;54.0;47.0;51.0;259.0;7.9;4.0
2020/01/02;1700 UTC;0.0;967.5;968.3;967.5;3157.6;33.3;21.2;33.9;32.1;21.7;19.9;52.0;45.0;49.0;267.0;9.7;4.6
2020/01/02;1800 UTC;0.0;966.5;967.5;966.5;2882.1;33.9;19.4;34.6;33.0;21.5;19.1;50.0;41.0;42.0;251.0;9.7;5.7
2020/01/02;1900 UTC;0.0;965.6;966.5;965.5;2360.9;34.2;18.6;34.6;33.1;20.1;18.1;45.0;38.0;40.0;245.0;10.5;5.4
2020/01/02;2000 UTC;0.0;965.7;965.8;965.5;1671.0;33.0;18.3;34.5;33.0;19.2;18.0;43.0;39.0;42.0;236.0;10.7;5.2
2020/01/02;2100 UTC;0.0;966.1;966.2;965.7;1071.1;32.6;19.6;34.0;32.1;20.1;18.6;49.0;42.0;46.0;226.0;9.0;4.5
2020/01/02;2200 UTC;0.0;966.8;966.8;966.1;411.4;31.1;20.7;32.6;31.1;20.7;18.8;54.0;45.0;54.0;196.0;8.4;3.1
2020/01/02;2300 UTC;0.0;967.7;967.7;966.8;8.0;29.2;20.7;31.1;29.2;20.7;20.3;60.0;54.0;60.0;190.0;7.8;1.5
2020/01/03;0000 UTC;0.0;968.3;968.3;967.7;;27.9;22.4;29.2;27.9;22.4;20.6;72.0;60.0;72.0;183.0;4.7;1.3
2020/01/03;0100 UTC;0.0;968.8;968.8;968.3;;27.2;22.1;27.9;27.2;22.6;22.1;76.0;72.0;74.0;199.0;3.6;1.4
2020/01/03;0200 UTC;0.0;969.0;969.1;968.7;;27.1;21.3;27.2;27.0;22.2;21.3;74.0;71.0;71.0;225.0;4.5;2.3
2020/01/03;0300 UTC;0.0;968.7;969.0;968.7;;26.1;21.2;27.1;26.1;21.6;21.2;76.0;71.0;74.0;247.0;4.7;2.5
2020/01/03;0400 UTC;0.0;968.2;968.7;968.2;;26.0;20.9;26.2;25.9;21.2;20.9;75.0;73.0;74.0;243.0;5.3;3.4
2020/01/03;0500 UTC;0.0;967.7;968.2;967.7;;25.1;21.2;26.0;25.1;21.2;21.0;79.0;74.0;79.0;243.0;5.4;3.0
2020/01/03;0600 UTC;0.0;967.5;967.8;967.5;;24.9;21.3;25.1;24.3;21.4;21.2;84.0;79.0;80.0;236.0;4.5;2.1
2020/01/03;0700 UTC;0.0;967.6;967.6;967.4;;24.4;21.4;25.0;24.4;21.4;21.2;84.0;79.0;84.0;251.0;4.1;2.1
2020/01/03;0800 UTC;0.0;968.2;968.2;967.6;;23.5;21.4;24.4;23.5;21.4;21.4;88.0;83.0;88.0;276.0;3.6;1.8
2020/01/03;0900 UTC;0.0;968.8;968.8;968.2;0.5;23.5;21.7;23.5;23.2;21.7;21.4;90.0;88.0;89.0;247.0;4.3;2.3
2020/01/03;1000 UTC;0.0;969.1;969.2;968.8;128.9;24.0;21.9;24.0;23.5;22.0;21.7;90.0;88.0;88.0;244.0;4.7;1.9
2020/01/03;1100 UTC;0.0;969.5;969.5;969.1;904.2;25.8;22.4;26.2;24.0;22.6;21.9;88.0;79.0;82.0;205.0;4.6;2.5
2020/01/03;1200 UTC;0.0;969.9;969.9;969.5;1167.5;27.2;23.0;27.5;25.8;23.2;22.3;82.0;76.0;78.0;157.0;4.7;1.3
2020/01/03;1300 UTC;0.0;970.5;970.5;969.9;1426.5;28.3;22.9;28.5;26.9;23.6;22.5;80.0;73.0;73.0;127.0;4.3;1.8
2020/01/03;1400 UTC;0.0;970.3;970.5;970.3;2585.1;30.2;23.9;30.3;27.9;24.0;22.6;75.0;67.0;69.0;124.0;4.9;2.6
2020/01/03;1500 UTC;0.0;969.8;970.3;969.8;2295.5;30.3;23.6;32.5;29.3;24.1;22.0;71.0;57.0;67.0;313.0;4.9;2.5
2020/01/03;1600 UTC;2.4;969.8;969.9;969.5;1188.2;24.1;21.5;30.3;24.0;24.0;21.1;86.0;64.0;86.0;142.0;7.1;3.1
2020/01/03;1700 UTC;0.0;969.6;970.4;969.5;626.4;25.0;22.3;25.0;23.8;22.6;20.9;88.0;81.0;85.0;250.0;7.1;2.9
2020/01/03;1800 UTC;0.4;968.6;969.9;968.6;782.4;26.5;22.7;26.5;24.9;23.4;22.2;90.0;79.0;79.0;201.0;4.9;1.8
2020/01/03;1900 UTC;0.0;967.5;968.6;967.5;1314.7;27.2;23.2;28.2;26.6;23.7;22.5;81.0;74.0;79.0;166.0;5.0;1.2
2020/01/03;2000 UTC;0.0;967.1;967.5;966.7;452.2;28.5;22.7;28.5;27.2;23.8;22.7;81.0;71.0;71.0;183.0;4.1;1.7
2020/01/03;2100 UTC;0.0;967.2;967.3;967.0;752.2;28.6;22.3;29.3;28.3;23.7;21.6;73.0;66.0;69.0;166.0;6.7;3.0
2020/01/03;2200 UTC;0.0;967.9;967.9;967.2;315.3;26.6;22.8;28.6;26.6;22.9;22.1;80.0;69.0;80.0;149.0;7.5;2.2
2020/01/03;2300 UTC;0.0;968.7;968.7;967.9;16.4;25.7;23.1;26.6;25.7;23.2;22.8;86.0;80.0;85.0;161.0;7.2;3.1
2020/01/04;0000 UTC;0.0;969.7;969.8;968.7;;24.7;22.4;25.7;24.7;22.9;22.3;87.0;84.0;87.0;147.0;8.3;2.8
2020/01/04;0100 UTC;0.0;970.1;970.1;969.7;;24.2;22.4;24.7;24.2;22.5;22.3;90.0;87.0;90.0;130.0;5.3;2.2
2020/01/04;0200 UTC;0.0;970.4;970.5;970.0;;24.0;22.4;24.2;23.8;22.5;22.4;92.0;90.0;91.0;144.0;4.0;2.1
2020/01/04;0300 UTC;0.0;969.8;970.4;969.8;;23.8;22.3;24.1;23.7;22.5;22.3;92.0;90.0;91.0;128.0;5.5;2.5
2020/01/04;0400 UTC;0.0;969.3;969.8;969.3;;23.3;22.2;23.8;23.3;22.3;21.9;94.0;90.0;94.0;119.0;4.4;1.5
2020/01/04;0500 UTC;0.0;968.7;969.3;968.7;;23.3;22.2;23.4;23.2;22.2;22.1;94.0;92.0;93.0;125.0;3.8;1.8
2020/01/04;0600 UTC;0.0;968.6;968.8;968.6;;23.3;22.0;23.4;23.3;22.3;22.0;94.0;92.0;93.0;119.0;3.8;1.8
2020/01/04;0700 UTC;0.0;968.6;968.8;968.6;;22.6;21.8;23.3;22.6;22.0;21.8;95.0;93.0;95.0;136.0;3.0;1.2
2020/01/04;0800 UTC;0.0;968.6;968.7;968.6;;22.4;21.6;22.6;22.3;21.8;21.6;96.0;95.0;95.0;132.0;3.4;1.8
2020/01/04;0900 UTC;0.0;969.0;969.0;968.6;0.4;22.4;21.1;22.5;22.4;21.6;21.1;95.0;92.0;92.0;123.0;4.2;2.3
2020/01/04;1000 UTC;0.0;969.5;969.5;969.0;266.1;23.9;21.1;23.9;22.4;21.3;21.0;92.0;84.0;84.0;116.0;4.2;2.5
2020/01/04;1100 UTC;0.0;969.6;969.7;969.4;1069.2;24.9;20.9;24.9;23.9;21.5;20.7;85.0;79.0;79.0;111.0;6.6;3.8
2020/01/04;1200 UTC;0.0;970.0;970.0;969.6;1044.5;25.5;21.3;25.5;24.6;21.5;20.7;81.0;76.0;78.0;101.0;6.6;3.4
2020/01/04;1300 UTC;0.0;970.0;970.1;970.0;896.5;26.4;21.2;26.5;25.2;21.6;20.7;78.0;72.0;73.0;78.0;5.8;2.8
2020/01/04;1400 UTC;0.0;969.7;970.0;969.7;1677.1;27.5;21.5;28.0;26.2;21.9;21.0;75.0;69.0;70.0;91.0;5.1;1.8
2020/01/04;1500 UTC;0.0;969.2;969.7;969.2;1951.5;28.3;21.8;28.5;27.4;22.1;21.0;72.0;66.0;68.0;83.0;3.9;1.4
2020/01/04;1600 UTC;0.0;968.6;969.2;968.6;4033.9;30.2;21.2;31.8;28.0;22.5;20.9;69.0;57.0;59.0;134.0;5.2;1.9
2020/01/04;1700 UTC;0.0;967.6;968.6;967.6;2403.5;29.5;21.9;32.0;29.5;22.4;20.6;64.0;54.0;64.0;121.0;5.5;2.3
2020/01/04;1800 UTC;0.0;966.7;967.7;966.6;2331.9;32.1;22.5;32.1;27.9;23.6;21.6;75.0;57.0;57.0;175.0;5.4;2.1
2020/01/04;1900 UTC;0.0;966.5;966.7;966.1;1408.8;29.0;21.0;32.2;29.0;22.8;20.3;68.0;55.0;62.0;143.0;7.6;2.8
2020/01/04;2000 UTC;0.0;966.3;966.7;966.2;697.4;26.1;20.7;28.9;26.1;21.1;19.7;72.0;62.0;72.0;61.0;7.6;3.0
