Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;971.4;971.5;971.3;;23.7;22.6;23.8;23.6;22.7;21.7;94.0;88.0;94.0;276.0;5.3;1.1
2020/01/01;0100 UTC;0.0;971.7;971.8;971.4;;23.8;22.6;23.8;23.7;22.9;22.3;95.0;92.0;93.0;42.0;2.1;1.4
2020/01/01;0200 UTC;0.0;971.8;971.8;971.4;;23.5;22.8;23.8;23.5;22.9;22.7;96.0;93.0;96.0;254.0;2.0;1.1
2020/01/01;0300 UTC;0.0;971.9;971.9;971.7;;23.6;22.7;24.0;23.5;22.9;22.5;96.0;91.0;95.0;151.0;1.5;0.7
2020/01/01;0400 UTC;0.0;971.8;972.3;971.7;;23.5;22.9;23.8;23.5;22.9;22.6;96.0;93.0;96.0;119.0;2.2;0.4
2020/01/01;0500 UTC;0.2;971.4;971.8;971.3;;23.5;23.0;23.6;23.4;23.0;22.8;97.0;96.0;97.0;263.0;1.5;0.9
2020/01/01;0600 UTC;0.0;970.8;971.4;970.8;;23.5;22.7;23.7;23.4;23.0;22.7;97.0;95.0;96.0;270.0;2.4;1.2
2020/01/01;0700 UTC;0.0;970.4;970.8;970.3;;23.3;21.8;23.7;23.3;22.7;21.7;96.0;89.0;91.0;256.0;3.1;1.6
2020/01/01;0800 UTC;0.0;970.7;970.7;970.3;;23.2;21.8;23.4;23.2;21.9;21.6;93.0;90.0;92.0;272.0;3.5;2.0
2020/01/01;0900 UTC;0.0;971.0;971.0;970.5;1.4;23.3;21.9;23.3;23.1;21.9;21.7;93.0;91.0;92.0;270.0;3.8;2.3
