Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;967.6;967.6;966.1;;25.1;22.0;26.3;25.1;22.2;21.6;83.0;75.0;83.0;236.0;0.0;0.0
2020/01/01;0100 UTC;0.0;968.6;968.6;967.6;;24.7;21.6;25.2;24.7;22.1;21.6;85.0;83.0;83.0;236.0;0.0;0.0
2020/01/01;0200 UTC;0.0;969.0;969.0;968.5;;24.4;21.7;24.7;24.3;21.7;21.5;85.0;83.0;85.0;236.0;0.0;0.0
2020/01/01;0300 UTC;0.0;968.9;969.1;968.9;;24.2;21.3;24.4;24.2;21.7;21.2;85.0;83.0;84.0;236.0;0.0;0.0
2020/01/01;0400 UTC;0.0;968.5;968.9;968.5;;23.6;21.2;24.2;23.6;21.3;21.2;86.0;84.0;86.0;236.0;0.0;0.0
2020/01/01;0500 UTC;0.0;967.9;968.5;967.9;;23.4;21.3;23.6;23.4;21.3;21.2;88.0;86.0;88.0;236.0;0.0;0.0
2020/01/01;0600 UTC;0.0;967.4;967.9;967.4;;23.0;21.4;23.4;23.0;21.4;21.3;91.0;88.0;91.0;236.0;0.0;0.0
2020/01/01;0700 UTC;0.0;966.8;967.4;966.8;;22.7;21.5;23.0;22.7;21.5;21.4;93.0;91.0;93.0;236.0;0.0;0.0
2020/01/01;0800 UTC;0.0;967.0;967.0;966.8;;22.2;21.2;22.7;22.2;21.5;21.2;94.0;93.0;94.0;236.0;0.0;0.0
2020/01/01;0900 UTC;0.0;967.5;967.5;967.0;;22.1;21.2;22.2;22.0;21.2;21.0;94.0;94.0;94.0;236.0;0.0;0.0
2020/01/01;1000 UTC;0.0;967.9;967.9;967.5;49.5;22.5;21.4;22.5;22.1;21.4;21.2;94.0;94.0;94.0;236.0;0.0;0.0
2020/01/01;1100 UTC;0.0;968.4;968.4;967.9;603.2;24.1;22.2;24.2;22.5;22.6;21.5;94.0;90.0;90.0;236.0;0.0;0.0
2020/01/01;1200 UTC;0.0;969.1;969.1;968.4;1430.8;26.8;22.3;27.0;23.9;23.2;21.9;90.0;76.0;77.0;236.0;0.0;0.0
2020/01/01;1300 UTC;0.0;969.5;969.5;969.1;1932.3;27.9;21.0;28.8;26.8;23.4;20.7;77.0;65.0;66.0;236.0;0.0;0.0
2020/01/01;1400 UTC;0.0;969.0;969.6;969.0;1887.1;29.1;21.9;29.4;27.6;22.7;20.7;72.0;63.0;65.0;236.0;0.0;0.0
2020/01/01;1500 UTC;0.0;968.2;969.0;968.2;2703.4;29.0;22.5;30.8;28.3;23.2;20.7;70.0;59.0;68.0;236.0;0.0;0.0
2020/01/01;1600 UTC;0.0;967.4;968.2;967.4;1189.5;29.5;23.8;29.5;27.2;24.3;21.9;75.0;68.0;72.0;236.0;0.0;0.0
2020/01/01;1700 UTC;0.0;966.2;967.4;966.2;2487.6;29.0;22.2;30.4;28.8;24.2;21.7;72.0;63.0;66.0;236.0;0.0;0.0
2020/01/01;1800 UTC;0.0;965.0;966.2;965.0;2252.3;31.0;22.5;31.4;28.9;23.1;20.6;68.0;54.0;61.0;236.0;0.0;0.0
2020/01/01;1900 UTC;0.0;964.8;965.0;964.5;2285.9;27.1;22.3;32.7;27.1;23.0;20.5;75.0;51.0;75.0;236.0;0.0;0.0
2020/01/01;2000 UTC;0.0;964.2;964.8;964.1;1543.6;26.7;21.6;28.8;26.7;22.8;21.6;76.0;69.0;73.0;236.0;0.0;0.0
2020/01/01;2100 UTC;0.0;964.3;964.3;964.0;579.2;26.1;21.4;26.7;26.1;22.5;21.3;79.0;73.0;75.0;236.0;0.0;0.0
2020/01/01;2200 UTC;0.0;965.1;965.1;964.3;208.0;25.2;21.7;26.1;25.2;22.1;21.4;81.0;75.0;81.0;236.0;0.0;0.0
2020/01/01;2300 UTC;0.0;965.9;965.9;965.1;0.4;24.6;21.5;25.2;24.6;21.7;21.4;83.0;81.0;83.0;236.0;0.0;0.0
2020/01/02;0000 UTC;0.0;967.2;967.2;965.9;;24.4;21.6;24.6;24.4;21.6;21.4;84.0;82.0;84.0;236.0;0.0;0.0
2020/01/02;0100 UTC;0.0;967.8;968.0;967.2;;24.0;21.8;24.4;24.0;21.8;21.6;87.0;84.0;87.0;236.0;0.0;0.0
2020/01/02;0200 UTC;0.0;968.1;968.1;967.8;;23.8;21.4;24.0;23.8;21.8;21.4;87.0;86.0;87.0;236.0;0.0;0.0
2020/01/02;0300 UTC;0.0;968.3;968.4;968.1;;23.4;21.3;23.8;23.4;21.4;21.3;88.0;87.0;88.0;236.0;0.0;0.0
2020/01/02;0400 UTC;0.0;968.1;968.3;968.0;;23.3;21.1;23.4;23.3;21.3;21.1;88.0;87.0;87.0;236.0;0.0;0.0
2020/01/02;0500 UTC;0.0;967.7;968.1;967.7;;23.0;21.0;23.3;23.0;21.1;21.0;89.0;87.0;89.0;236.0;0.0;0.0
2020/01/02;0600 UTC;0.0;967.5;967.8;967.5;;22.9;21.1;23.0;22.9;21.2;21.0;90.0;89.0;90.0;236.0;0.0;0.0
2020/01/02;0700 UTC;0.0;967.4;967.5;967.4;;22.9;21.3;22.9;22.8;21.3;21.1;90.0;90.0;90.0;236.0;0.0;0.0
2020/01/02;0800 UTC;0.0;967.3;967.4;967.2;0.7;22.9;21.2;22.9;22.9;21.3;21.2;91.0;90.0;90.0;236.0;0.0;0.0
2020/01/02;0900 UTC;0.0;967.8;967.8;967.3;;22.8;21.2;23.0;22.8;21.3;21.1;90.0;90.0;90.0;236.0;0.0;0.0
2020/01/02;1000 UTC;0.0;968.5;968.5;967.8;41.4;22.9;21.3;22.9;22.7;21.3;21.1;91.0;90.0;91.0;236.0;0.0;0.0
2020/01/02;1100 UTC;0.0;969.3;969.3;968.5;374.6;23.5;21.1;23.5;22.9;21.4;21.1;91.0;86.0;87.0;236.0;0.0;0.0
2020/01/02;1200 UTC;0.0;969.7;969.8;969.3;962.3;24.8;21.2;24.8;23.5;21.4;20.9;87.0;80.0;80.0;236.0;0.0;0.0
2020/01/02;1300 UTC;0.0;970.3;970.3;969.7;1629.2;26.4;21.7;26.7;24.7;22.2;21.1;81.0;74.0;75.0;236.0;0.0;0.0
2020/01/02;1400 UTC;0.0;970.6;970.6;970.3;2017.5;26.1;21.5;26.6;25.9;21.9;21.1;77.0;73.0;76.0;236.0;0.0;0.0
2020/01/02;1500 UTC;0.0;969.8;970.6;969.8;2399.2;27.6;21.3;28.0;25.7;22.6;21.2;78.0;69.0;69.0;236.0;0.0;0.0
2020/01/02;1600 UTC;0.0;969.0;969.8;969.0;2388.0;27.8;22.1;28.8;27.2;22.5;21.1;73.0;66.0;71.0;236.0;0.0;0.0
2020/01/02;1700 UTC;0.0;967.4;969.0;967.4;3051.4;30.0;22.2;30.0;27.8;22.6;21.1;72.0;63.0;63.0;236.0;0.0;0.0
2020/01/02;1800 UTC;0.0;966.7;967.4;966.7;1818.3;25.6;22.9;30.0;25.6;23.1;21.2;86.0;61.0;85.0;236.0;0.0;0.0
2020/01/02;1900 UTC;0.0;965.6;966.7;965.6;1965.2;25.3;21.9;29.2;25.3;24.7;21.3;86.0;68.0;81.0;236.0;0.0;0.0
2020/01/02;2000 UTC;0.6;965.3;965.6;965.3;754.2;24.7;22.7;25.3;23.8;22.7;21.3;89.0;81.0;89.0;236.0;0.0;0.0
2020/01/02;2100 UTC;0.6;965.4;965.4;965.1;1091.9;27.2;22.7;27.2;24.6;24.8;22.5;89.0;77.0;77.0;236.0;0.0;0.0
2020/01/02;2200 UTC;0.6;966.2;966.2;965.4;317.0;25.3;22.2;27.2;25.3;22.6;22.1;83.0;76.0;83.0;236.0;0.0;0.0
2020/01/02;2300 UTC;0.8;967.5;967.5;966.2;2.9;24.4;22.0;25.3;24.4;22.5;22.0;86.0;83.0;86.0;236.0;0.0;0.0
2020/01/03;0000 UTC;0.4;968.1;968.1;967.5;;24.2;21.5;24.4;24.2;22.0;21.5;87.0;85.0;85.0;236.0;0.0;0.0
2020/01/03;0100 UTC;0.0;968.9;968.9;968.1;;24.1;21.6;24.3;24.1;21.6;21.5;86.0;85.0;86.0;236.0;0.0;0.0
