Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;948.0;948.0;947.1;;22.3;21.0;23.1;22.3;21.4;21.0;93.0;90.0;93.0;59.0;0.0;0.0
2020/01/01;0100 UTC;0.0;949.1;949.1;948.0;;22.1;21.0;22.3;22.1;21.2;21.0;93.0;93.0;93.0;18.0;0.0;0.0
2020/01/01;0200 UTC;0.0;949.5;949.5;949.1;;22.3;21.2;22.4;22.0;21.3;20.9;94.0;93.0;94.0;292.0;0.0;0.0
2020/01/01;0300 UTC;0.0;949.4;949.6;949.4;;21.8;20.8;22.3;21.8;21.2;20.8;94.0;94.0;94.0;62.0;0.0;0.0
2020/01/01;0400 UTC;0.0;948.8;949.4;948.8;;21.7;20.6;22.1;21.6;21.0;20.6;94.0;94.0;94.0;14.0;0.0;0.0
2020/01/01;0500 UTC;0.0;948.6;948.8;948.6;;21.6;20.6;21.7;21.6;20.7;20.6;94.0;94.0;94.0;299.0;0.0;0.0
2020/01/01;0600 UTC;0.0;948.2;948.7;948.2;;21.4;20.4;21.6;21.4;20.6;20.4;94.0;94.0;94.0;63.0;0.0;0.0
2020/01/01;0700 UTC;0.0;947.8;948.2;947.8;;21.4;20.5;21.5;21.4;20.5;20.4;94.0;94.0;94.0;337.0;0.0;0.0
2020/01/01;0800 UTC;0.0;947.4;947.8;947.4;;21.4;20.5;21.4;21.2;20.5;20.2;94.0;94.0;94.0;265.0;0.0;0.0
2020/01/01;0900 UTC;0.0;947.7;947.7;947.4;;21.2;20.2;21.4;21.1;20.5;20.2;94.0;94.0;94.0;130.0;0.0;0.0
2020/01/01;1000 UTC;0.0;948.2;948.2;947.7;1.7;21.5;20.5;21.5;21.1;20.5;20.2;94.0;94.0;94.0;2.0;0.0;0.0
2020/01/01;1100 UTC;0.0;948.9;948.9;948.2;36.3;22.1;21.2;22.1;21.5;21.2;20.5;94.0;94.0;94.0;277.0;1.9;0.2
2020/01/01;1200 UTC;0.0;949.3;949.3;948.9;100.1;22.8;20.9;22.9;22.1;21.5;20.9;94.0;89.0;89.0;239.0;3.2;0.8
2020/01/01;1300 UTC;0.0;949.7;949.7;949.3;107.7;23.3;20.6;23.3;22.7;21.0;20.4;89.0;84.0;85.0;235.0;3.5;0.9
2020/01/01;1400 UTC;0.0;949.8;949.9;949.7;123.1;23.6;20.5;23.7;23.2;21.0;20.2;87.0;82.0;83.0;222.0;4.0;1.7
2020/01/01;1500 UTC;0.0;948.9;949.8;948.9;275.1;25.9;21.4;25.9;23.6;21.4;19.8;83.0;71.0;76.0;233.0;3.0;0.2
2020/01/01;1600 UTC;0.0;948.0;948.9;948.0;265.3;26.8;20.7;26.8;25.4;21.3;19.9;76.0;67.0;70.0;231.0;5.0;1.2
2020/01/01;1700 UTC;1.4;947.0;948.0;947.0;126.2;25.1;21.9;26.9;25.1;22.3;20.1;83.0;68.0;83.0;342.0;3.5;0.0
2020/01/01;1800 UTC;0.4;945.7;947.0;945.7;226.1;24.8;22.6;26.6;24.8;23.3;21.5;87.0;75.0;87.0;118.0;4.3;1.5
2020/01/01;1900 UTC;0.2;944.8;945.7;944.8;75.1;23.6;21.4;24.9;23.6;22.8;21.1;89.0;85.0;87.0;264.0;3.9;0.4
2020/01/01;2000 UTC;0.0;944.5;944.8;944.5;62.9;24.1;21.8;24.1;23.6;22.1;21.1;89.0;86.0;87.0;292.0;2.3;0.6
2020/01/01;2100 UTC;0.2;944.5;944.6;944.3;37.5;24.0;22.1;24.2;23.9;22.3;21.3;90.0;85.0;89.0;91.0;1.8;0.0
2020/01/01;2200 UTC;0.2;945.1;945.1;944.4;40.9;24.3;22.5;24.4;24.0;22.7;21.8;90.0;87.0;90.0;103.0;0.0;0.0
2020/01/01;2300 UTC;0.0;946.3;946.3;945.1;1.8;23.7;22.4;24.3;23.7;22.8;22.4;93.0;90.0;93.0;131.0;0.0;0.0
2020/01/02;0000 UTC;0.0;947.5;947.5;946.3;;23.5;22.3;23.7;23.5;22.4;22.3;93.0;93.0;93.0;54.0;0.0;0.0
2020/01/02;0100 UTC;0.0;947.8;947.8;947.5;;22.6;21.1;23.5;22.6;22.3;21.1;93.0;91.0;91.0;15.0;3.6;0.1
2020/01/02;0200 UTC;0.0;948.7;948.7;947.8;;22.3;20.8;22.6;22.2;21.1;20.8;92.0;91.0;91.0;332.0;2.2;0.1
2020/01/02;0300 UTC;0.0;948.8;949.0;948.7;;22.3;21.1;22.3;22.3;21.1;20.8;93.0;91.0;93.0;49.0;2.0;0.0
2020/01/02;0400 UTC;0.0;948.1;948.8;948.1;;22.2;21.1;22.3;22.2;21.1;21.0;93.0;93.0;93.0;120.0;1.0;0.0
2020/01/02;0500 UTC;0.6;947.9;948.1;947.8;;22.0;20.8;22.2;22.0;21.1;20.8;93.0;93.0;93.0;350.0;3.6;0.9
2020/01/02;0600 UTC;0.0;947.6;947.9;947.6;;21.8;20.7;22.0;21.8;20.8;20.5;93.0;92.0;93.0;314.0;8.7;3.9
2020/01/02;0700 UTC;0.2;947.3;947.6;947.3;;21.6;20.3;21.9;21.5;20.7;20.2;93.0;92.0;92.0;307.0;8.7;3.1
2020/01/02;0800 UTC;0.0;946.9;947.3;946.9;;21.5;20.4;21.6;21.5;20.4;20.3;93.0;92.0;93.0;307.0;5.4;2.8
2020/01/02;0900 UTC;0.4;947.3;947.4;946.9;;21.6;20.6;21.6;21.5;20.6;20.4;94.0;93.0;94.0;284.0;4.6;2.1
2020/01/02;1000 UTC;0.0;948.2;948.2;947.3;0.8;21.6;20.5;21.6;21.5;20.6;20.5;94.0;94.0;94.0;294.0;3.6;1.4
2020/01/02;1100 UTC;0.2;948.8;948.8;948.2;29.3;21.8;20.7;21.9;21.6;20.8;20.5;94.0;94.0;94.0;295.0;4.5;2.6
2020/01/02;1200 UTC;0.2;949.7;949.7;948.8;52.7;21.7;20.5;21.9;21.7;20.8;20.5;94.0;93.0;93.0;284.0;4.9;3.5
2020/01/02;1300 UTC;0.0;950.5;950.5;949.7;64.2;21.9;20.5;22.0;21.5;20.8;20.3;93.0;92.0;92.0;276.0;5.1;2.7
2020/01/02;1400 UTC;0.0;950.6;950.7;950.5;151.6;22.9;20.9;22.9;21.9;21.2;20.6;92.0;88.0;89.0;286.0;4.6;0.2
2020/01/02;1500 UTC;0.0;950.0;950.6;950.0;215.2;23.6;20.6;23.7;22.9;21.3;20.3;89.0;82.0;84.0;280.0;6.5;4.6
2020/01/02;1600 UTC;0.0;949.3;950.0;949.3;288.6;25.1;20.9;25.1;23.6;21.3;20.1;84.0;75.0;77.0;286.0;7.5;4.0
2020/01/02;1700 UTC;0.0;948.4;949.3;948.4;238.5;25.9;21.0;25.9;24.7;21.2;20.4;80.0;73.0;75.0;272.0;7.2;3.7
2020/01/02;1800 UTC;0.0;947.3;948.4;947.3;285.9;25.3;21.5;26.6;25.2;21.6;20.5;79.0;71.0;79.0;286.0;9.4;4.7
