Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;;936.3;936.3;935.1;;22.0;20.1;23.6;21.9;20.3;19.7;89.0;82.0;89.0;205.0;2.2;0.8
2020/01/01;0100 UTC;;936.4;936.6;936.3;;21.7;19.7;22.0;21.7;20.3;19.7;90.0;89.0;89.0;194.0;3.3;0.9
2020/01/01;0200 UTC;;936.7;936.8;936.3;;21.9;19.7;22.0;21.3;19.9;19.5;90.0;87.0;87.0;256.0;2.8;0.9
2020/01/01;0300 UTC;;937.1;937.1;936.7;;21.6;19.1;22.2;21.6;19.7;19.0;87.0;85.0;86.0;311.0;3.8;1.7
2020/01/01;0400 UTC;;936.5;937.1;936.5;;21.5;19.6;21.9;21.5;19.9;19.1;89.0;85.0;89.0;280.0;3.9;0.8
2020/01/01;0500 UTC;;936.0;936.5;936.0;;21.6;19.9;21.7;21.4;20.1;19.6;90.0;89.0;90.0;288.0;3.0;0.6
2020/01/01;0600 UTC;;935.6;936.1;935.6;;22.0;19.5;22.2;21.6;20.1;19.5;90.0;85.0;85.0;260.0;2.5;0.5
2020/01/01;0700 UTC;;935.5;935.6;935.4;;22.0;18.7;22.1;21.8;19.5;18.7;86.0;81.0;81.0;239.0;2.1;0.3
2020/01/01;0800 UTC;;935.6;935.7;935.5;;21.9;18.7;22.5;21.8;18.9;18.5;82.0;79.0;82.0;269.0;2.3;0.1
2020/01/01;0900 UTC;;935.9;935.9;935.5;;20.9;18.9;22.6;20.8;19.5;18.5;88.0;82.0;88.0;17.0;2.4;1.1
2020/01/01;1000 UTC;;936.6;936.6;935.9;155.2;22.0;20.0;22.0;20.6;20.1;18.8;91.0;88.0;89.0;356.0;2.6;0.6
2020/01/01;1100 UTC;;937.2;937.2;936.6;461.8;21.8;19.9;22.5;21.4;20.5;19.5;90.0;87.0;89.0;305.0;7.6;2.7
2020/01/01;1200 UTC;;937.5;937.6;937.1;1339.7;24.0;20.7;24.0;21.8;20.9;19.7;89.0;82.0;82.0;303.0;6.4;3.2
2020/01/01;1300 UTC;;937.6;937.7;937.5;2624.5;25.3;19.8;25.7;23.7;20.6;19.5;82.0;70.0;71.0;283.0;7.8;3.6
2020/01/01;1400 UTC;;937.4;937.6;937.4;3369.5;27.6;20.6;27.6;25.1;20.8;19.4;72.0;66.0;66.0;295.0;7.6;3.1
2020/01/01;1500 UTC;;936.4;937.4;936.3;3822.2;28.5;20.1;28.9;26.9;20.7;19.4;66.0;60.0;61.0;292.0;7.9;2.5
2020/01/01;1600 UTC;;935.6;936.4;935.6;3993.6;30.3;19.8;30.3;28.0;20.7;18.8;61.0;53.0;53.0;254.0;7.5;3.5
2020/01/01;1700 UTC;;934.6;935.6;934.6;3782.5;31.1;19.8;31.3;29.5;20.5;18.7;55.0;50.0;51.0;285.0;6.6;2.8
2020/01/01;1800 UTC;;933.7;934.6;933.7;3238.4;31.7;19.2;32.1;29.8;20.1;18.6;55.0;47.0;48.0;286.0;6.3;2.3
2020/01/01;1900 UTC;;932.4;933.7;932.4;2307.4;31.5;18.8;32.2;30.3;19.6;18.0;50.0;45.0;47.0;275.0;7.7;3.4
2020/01/01;2000 UTC;;932.2;932.4;932.2;1000.2;26.8;21.5;32.0;26.7;21.5;18.1;73.0;46.0;73.0;201.0;7.6;4.9
2020/01/01;2100 UTC;;932.8;932.8;932.2;614.1;26.2;21.5;26.8;26.1;21.6;21.1;75.0;72.0;75.0;200.0;7.4;3.6
2020/01/01;2200 UTC;;933.4;933.5;932.8;233.1;25.5;21.8;26.3;25.5;22.0;21.4;80.0;75.0;80.0;193.0;5.3;2.1
2020/01/01;2300 UTC;;934.5;934.5;933.3;0.7;24.6;21.6;25.5;24.6;21.9;21.5;83.0;80.0;83.0;208.0;3.2;0.1
2020/01/02;0000 UTC;;935.8;935.8;934.5;;24.7;21.8;25.1;24.3;21.8;21.3;84.0;81.0;84.0;152.0;1.7;0.0
2020/01/02;0100 UTC;;936.6;936.6;935.8;;24.1;21.8;24.8;24.0;21.9;21.5;87.0;83.0;87.0;104.0;1.7;0.0
2020/01/02;0200 UTC;;936.6;936.7;936.5;;23.7;21.5;24.3;23.5;22.0;21.4;88.0;87.0;88.0;205.0;1.9;0.8
2020/01/02;0300 UTC;;936.7;936.9;936.6;;22.9;20.7;23.8;22.9;21.6;20.7;88.0;87.0;87.0;161.0;3.4;2.0
2020/01/02;0400 UTC;;936.1;936.7;936.0;;22.6;20.8;22.9;22.4;20.9;20.6;90.0;87.0;90.0;70.0;2.9;0.0
2020/01/02;0500 UTC;;935.9;936.2;935.9;;22.8;21.0;22.8;22.3;21.1;20.6;91.0;89.0;90.0;329.0;3.7;1.5
2020/01/02;0600 UTC;;935.5;935.9;935.5;;22.6;21.1;23.0;22.5;21.3;20.7;91.0;89.0;91.0;308.0;6.0;3.3
2020/01/02;0700 UTC;;935.2;935.5;935.1;;22.3;21.1;22.7;22.2;21.4;20.9;93.0;91.0;93.0;306.0;6.5;1.9
2020/01/02;0800 UTC;;935.5;935.5;935.2;;22.1;20.9;22.3;22.1;21.2;20.9;93.0;93.0;93.0;290.0;4.2;1.5
2020/01/02;0900 UTC;;936.0;936.0;935.5;;21.8;20.6;22.1;21.8;21.0;20.6;93.0;93.0;93.0;285.0;6.5;3.1
2020/01/02;1000 UTC;;936.9;936.9;936.0;93.2;22.0;20.8;22.0;21.7;20.8;20.6;94.0;93.0;93.0;280.0;6.4;3.1
2020/01/02;1100 UTC;;937.3;937.3;936.8;372.4;22.3;20.7;22.3;21.9;20.8;20.6;93.0;91.0;91.0;289.0;6.9;3.5
2020/01/02;1200 UTC;;937.8;937.8;937.2;1157.3;23.7;20.9;23.8;22.3;21.4;20.7;91.0;84.0;84.0;278.0;9.0;4.8
2020/01/02;1300 UTC;;938.1;938.1;937.8;1776.6;24.8;20.9;24.8;23.6;21.2;20.6;85.0;79.0;79.0;286.0;9.6;4.2
2020/01/02;1400 UTC;;938.1;938.2;938.0;2454.7;26.6;21.1;26.6;24.8;21.6;20.5;79.0;72.0;72.0;274.0;9.8;5.3
2020/01/02;1500 UTC;;937.5;938.1;937.4;3510.8;27.8;20.6;28.4;26.0;21.8;20.4;73.0;64.0;65.0;275.0;10.1;4.6
