Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;995.3;995.3;993.8;;26.5;23.4;27.4;26.5;23.9;23.1;83.0;80.0;83.0;94.0;3.3;0.7
2020/01/01;0100 UTC;0.0;996.1;996.1;995.3;;26.3;23.9;26.5;25.5;25.4;23.3;100.0;83.0;87.0;114.0;2.1;1.0
2020/01/01;0200 UTC;0.0;996.5;996.5;996.0;;25.8;23.7;26.5;25.5;24.8;23.6;96.0;84.0;89.0;115.0;2.1;0.6
2020/01/01;0300 UTC;0.0;996.2;996.6;996.2;;26.4;23.9;26.4;24.8;24.9;23.5;100.0;86.0;86.0;108.0;1.8;0.8
2020/01/01;0400 UTC;0.0;995.9;996.3;995.9;;24.5;;26.4;24.5;;;;;;220.0;1.8;0.4
2020/01/01;0500 UTC;0.0;996.1;996.1;995.6;;25.0;;25.3;24.5;;;;;;94.0;1.5;0.6
2020/01/01;0600 UTC;0.0;995.8;996.1;995.8;;24.6;;25.3;24.6;;;;;;211.0;1.6;0.9
2020/01/01;0700 UTC;0.0;995.0;995.8;995.0;;24.2;;24.7;24.2;;;;;;305.0;1.6;0.6
2020/01/01;0800 UTC;0.0;995.0;995.1;994.9;;25.1;;25.1;24.1;;;;;;56.0;2.4;0.9
2020/01/01;0900 UTC;0.0;995.4;995.4;995.0;;25.0;;25.2;25.0;;;;;;84.0;2.4;0.7
2020/01/01;1000 UTC;0.0;995.9;995.9;995.4;72.9;25.7;;25.7;25.0;;;;;;128.0;2.8;1.3
2020/01/01;1100 UTC;0.0;996.5;996.5;995.9;519.9;26.2;25.9;26.7;25.6;;;;;98.0;16.0;3.0;1.4
2020/01/01;1200 UTC;0.0;997.1;997.1;996.5;1276.2;27.5;25.0;27.8;26.1;26.6;24.7;100.0;86.0;87.0;8.0;3.8;1.6
