Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;986.8;986.8;985.2;;24.4;;25.6;24.4;;;;;;41.0;1.7;0.4
2020/01/01;0100 UTC;0.0;987.7;987.7;986.9;;24.3;;24.9;24.3;;;;;;356.0;1.5;0.5
2020/01/01;0200 UTC;0.0;987.8;988.0;987.7;;23.7;;24.4;23.7;;;;;;275.0;1.6;0.7
2020/01/01;0300 UTC;0.0;987.7;987.9;987.7;;23.4;;23.7;23.4;;;;;;332.0;1.4;0.5
2020/01/01;0400 UTC;0.0;987.7;988.0;987.7;;23.1;;23.4;23.1;;;;;;238.0;1.3;0.4
2020/01/01;0500 UTC;0.0;987.1;987.7;987.1;;22.9;;23.1;22.9;;;;;;298.0;1.1;0.1
2020/01/01;0600 UTC;0.0;986.6;987.1;986.6;;22.8;;22.9;22.7;;;;;;344.0;0.9;0.3
2020/01/01;0700 UTC;0.0;986.4;986.6;986.4;;22.6;;22.8;22.5;;;;;;6.0;0.9;0.3
2020/01/01;0800 UTC;0.0;986.4;986.5;986.3;;22.7;;22.8;22.5;;;;;;303.0;1.3;0.5
2020/01/01;0900 UTC;0.0;986.5;986.5;986.3;;22.5;;22.7;22.4;;;;;;91.0;1.0;0.5
2020/01/01;1000 UTC;0.0;987.0;987.0;986.5;55.6;22.9;;22.9;22.5;;;;;;263.0;1.2;0.4
2020/01/01;1100 UTC;0.0;987.7;987.7;987.0;458.8;26.4;;26.4;22.9;;;;;;102.0;1.8;0.7
2020/01/01;1200 UTC;0.0;988.3;988.3;987.7;1305.5;28.3;;28.3;26.4;;;;;;131.0;1.8;0.9
2020/01/01;1300 UTC;0.0;988.4;988.5;988.3;2474.1;30.3;;30.4;28.3;;;;;;316.0;2.7;0.7
2020/01/01;1400 UTC;0.0;987.9;988.4;987.9;2788.2;31.8;;31.8;29.9;;;;;;70.0;3.0;0.5
2020/01/01;1500 UTC;4.6;987.4;987.9;987.4;1528.2;25.4;;32.1;25.2;;;;;;22.0;7.0;2.5
2020/01/01;1600 UTC;0.2;986.3;987.4;986.3;3215.3;30.1;;32.1;25.4;;;;;;292.0;6.3;1.6
2020/01/01;1700 UTC;0.0;984.9;986.3;984.9;2681.7;32.2;;32.5;29.3;;;;;;330.0;3.0;1.2
2020/01/01;1800 UTC;0.0;983.7;984.8;983.7;3070.9;32.9;;33.3;32.1;;;;;;31.0;4.5;2.0
2020/01/01;1900 UTC;0.0;982.7;983.7;982.7;1841.1;32.3;;33.6;32.3;;;;;;72.0;4.5;1.5
2020/01/01;2000 UTC;0.0;983.1;983.2;982.6;1023.3;30.5;;32.3;30.5;;;;;;24.0;4.0;1.4
2020/01/01;2100 UTC;0.0;983.1;983.1;982.8;439.3;28.0;;30.5;28.0;;;;;;268.0;5.7;2.3
2020/01/01;2200 UTC;0.0;983.7;983.7;983.1;71.9;26.2;;28.0;26.2;;;;;;301.0;5.7;0.6
2020/01/01;2300 UTC;0.0;985.2;985.2;983.7;;25.3;;26.2;25.1;;;;;;270.0;2.3;0.7
2020/01/02;0000 UTC;0.0;986.5;986.5;985.2;;25.3;;25.4;25.2;;;;;;292.0;2.2;1.1
2020/01/02;0100 UTC;0.0;987.0;987.0;986.5;;24.4;;25.4;24.4;;;;;;288.0;2.3;0.4
2020/01/02;0200 UTC;0.0;987.4;987.4;987.0;;24.1;;24.4;24.1;;;;;;331.0;1.8;0.8
2020/01/02;0300 UTC;0.0;987.6;987.8;987.4;;25.9;;26.1;23.9;;;;;;27.0;3.5;1.0
2020/01/02;0400 UTC;0.0;987.2;987.6;987.1;;25.2;;25.9;25.0;;;;;;20.0;3.8;1.7
2020/01/02;0500 UTC;0.0;986.6;987.2;986.6;;25.1;;25.2;24.9;;;;;;22.0;3.8;1.1
2020/01/02;0600 UTC;0.0;986.3;986.6;986.3;;24.2;;25.2;23.8;;;;;;351.0;2.2;0.6
2020/01/02;0700 UTC;0.0;986.2;986.5;986.2;;23.6;;24.3;23.3;;;;;;118.0;1.9;0.6
