Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.4;992.4;992.4;991.9;;22.2;21.6;22.5;22.1;21.9;21.5;97.0;96.0;97.0;86.0;3.4;2.3
2020/01/01;0100 UTC;0.2;992.7;992.7;992.4;;22.4;21.6;22.5;22.2;21.7;21.4;97.0;95.0;95.0;53.0;4.2;1.2
2020/01/01;0200 UTC;0.0;992.1;992.7;992.0;;22.6;21.9;22.6;22.3;21.9;21.5;96.0;95.0;96.0;122.0;2.5;0.7
2020/01/01;0300 UTC;0.0;991.1;992.1;991.0;;22.4;21.6;22.6;22.3;21.9;21.5;96.0;95.0;96.0;112.0;2.4;0.0
2020/01/01;0400 UTC;0.0;990.7;991.1;990.7;;22.4;21.7;22.6;22.4;21.9;21.6;96.0;96.0;96.0;244.0;1.8;0.7
2020/01/01;0500 UTC;0.0;990.7;990.7;990.5;;22.4;21.6;22.5;22.3;21.8;21.4;96.0;95.0;95.0;303.0;1.7;0.0
2020/01/01;0600 UTC;0.0;990.6;990.7;990.5;;22.5;21.8;22.7;22.4;22.0;21.6;96.0;95.0;96.0;230.0;2.7;1.0
2020/01/01;0700 UTC;0.0;991.0;991.0;990.4;;22.7;22.0;22.8;22.5;22.0;21.8;96.0;96.0;96.0;278.0;2.2;0.4
2020/01/01;0800 UTC;0.0;991.5;991.5;991.0;;22.8;21.9;22.9;22.7;22.1;21.9;96.0;95.0;95.0;238.0;2.7;1.0
2020/01/01;0900 UTC;0.0;992.0;992.1;991.5;89.1;23.1;22.3;23.1;22.7;22.3;21.6;96.0;94.0;95.0;70.0;2.5;0.3
