Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;1003.2;1003.3;1002.9;;20.9;19.9;21.6;20.9;20.6;19.9;94.0;93.0;94.0;1.0;0.8;0.3
2020/01/01;0100 UTC;0.0;1003.5;1003.6;1003.2;;20.9;20.1;20.9;20.5;20.1;19.5;95.0;94.0;95.0;360.0;0.8;0.2
2020/01/01;0200 UTC;0.4;1003.1;1003.6;1003.1;;21.5;20.6;21.6;20.9;20.8;20.1;95.0;95.0;95.0;346.0;3.1;0.6
2020/01/01;0300 UTC;0.0;1002.7;1003.1;1002.7;;21.4;20.6;21.5;20.9;20.6;20.1;95.0;95.0;95.0;319.0;1.7;0.8
2020/01/01;0400 UTC;0.0;1002.3;1002.7;1002.2;;20.6;19.9;21.4;20.6;20.6;19.9;95.0;95.0;95.0;253.0;1.6;0.3
2020/01/01;0500 UTC;0.4;1001.6;1002.3;1001.6;;21.2;20.5;21.3;20.4;20.6;19.6;96.0;95.0;95.0;326.0;1.6;0.6
2020/01/01;0600 UTC;0.2;1001.4;1001.6;1001.4;;20.5;19.8;21.3;20.4;20.6;19.7;96.0;95.0;96.0;158.0;1.3;0.3
2020/01/01;0700 UTC;0.0;1001.6;1001.6;1001.3;;20.3;19.6;20.5;20.1;19.8;19.3;96.0;95.0;96.0;350.0;1.7;0.3
2020/01/01;0800 UTC;;;;;;;;;;;;;;;;;
2020/01/01;0900 UTC;;;;;;;;;;;;;;;;;
2020/01/01;1000 UTC;;;;;;;;;;;;;;;;;
2020/01/01;1100 UTC;;;;;;;;;;;;;;;;;
2020/01/01;1200 UTC;0.0;1003.2;;;660.6;27.7;22.5;;;;;;;73.0;37.0;;2.5
2020/01/01;1300 UTC;0.0;1002.7;1003.2;1002.7;2486.8;28.2;22.7;28.9;27.5;23.7;22.0;77.0;67.0;72.0;36.0;5.1;1.4
2020/01/01;1400 UTC;0.0;1002.1;1002.7;1002.0;2445.6;30.2;23.3;30.2;28.0;23.8;21.5;74.0;63.0;67.0;38.0;4.4;1.6
2020/01/01;1500 UTC;0.0;1001.6;1002.1;1001.6;2690.2;30.5;21.6;31.3;28.9;23.1;21.1;68.0;57.0;59.0;53.0;6.6;1.4
2020/01/01;1600 UTC;0.6;1000.2;1001.6;1000.2;2085.1;28.5;23.6;30.6;27.4;24.5;21.3;80.0;58.0;75.0;63.0;7.9;2.3
2020/01/01;1700 UTC;0.0;999.5;1000.3;999.5;3394.2;29.5;22.9;30.2;28.5;23.9;22.5;75.0;65.0;68.0;79.0;8.0;3.7
2020/01/01;1800 UTC;0.0;998.9;999.5;998.8;2789.2;29.2;22.7;29.7;28.9;23.2;22.2;69.0;66.0;68.0;52.0;8.3;3.6
2020/01/01;1900 UTC;0.0;998.6;999.0;998.4;2091.2;29.1;22.8;29.9;29.0;23.5;22.5;70.0;66.0;69.0;67.0;8.0;3.2
2020/01/01;2000 UTC;0.0;998.6;998.7;998.5;1251.9;27.5;22.9;29.1;27.5;23.1;22.3;76.0;69.0;76.0;64.0;9.1;3.6
2020/01/01;2100 UTC;0.0;999.8;999.9;998.6;354.3;26.0;22.2;27.5;26.0;22.9;22.2;80.0;76.0;80.0;37.0;9.5;3.2
2020/01/01;2200 UTC;0.0;1000.6;1000.6;999.6;2.2;25.4;22.4;26.0;25.4;22.4;22.3;83.0;80.0;83.0;30.0;7.6;2.4
2020/01/01;2300 UTC;0.0;1001.1;1001.1;1000.5;;24.9;22.4;25.5;24.9;22.4;22.3;86.0;83.0;86.0;33.0;6.6;1.7
2020/01/02;0000 UTC;0.0;1001.5;1001.6;1001.1;;25.0;22.2;25.2;24.9;22.6;22.2;86.0;85.0;85.0;31.0;6.9;2.7
2020/01/02;0100 UTC;0.0;1001.5;1001.9;1001.5;;24.4;21.8;25.0;24.4;22.2;21.7;85.0;84.0;85.0;26.0;6.6;2.4
2020/01/02;0200 UTC;0.0;1002.1;1002.1;1001.4;;23.7;21.7;24.5;23.7;21.9;21.6;88.0;85.0;88.0;304.0;5.9;0.9
2020/01/02;0300 UTC;0.0;1001.4;1002.2;1001.4;;23.6;21.9;23.9;23.6;22.1;21.7;90.0;88.0;90.0;31.0;2.4;0.8
2020/01/02;0400 UTC;0.0;1000.9;1001.4;1000.9;;22.5;21.2;23.6;22.4;21.9;21.1;93.0;90.0;93.0;353.0;1.9;0.7
2020/01/02;0500 UTC;0.0;1000.8;1001.0;1000.7;;22.2;21.1;22.7;22.1;21.5;21.0;94.0;93.0;94.0;341.0;1.6;0.7
2020/01/02;0600 UTC;0.0;1000.5;1000.8;1000.5;;22.9;21.9;22.9;22.1;21.9;21.1;94.0;94.0;94.0;327.0;2.4;0.8
2020/01/02;0700 UTC;0.0;1000.4;1000.5;1000.2;;22.4;21.5;22.9;22.3;21.9;21.3;94.0;94.0;94.0;20.0;2.0;0.4
