Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;;;;;;;;;;;;;;;;;
2020/01/01;0100 UTC;0.0;977.9;977.9;977.6;;24.3;20.2;24.5;24.3;20.8;20.0;80.0;76.0;78.0;49.0;4.0;1.0
2020/01/01;0200 UTC;0.0;977.8;978.0;977.8;;24.2;20.6;24.3;24.0;20.6;20.2;81.0;78.0;80.0;62.0;2.0;1.1
2020/01/01;0300 UTC;0.0;976.7;977.8;976.7;;23.7;20.3;24.2;23.7;20.6;20.2;82.0;79.0;81.0;99.0;3.8;1.7
2020/01/01;0400 UTC;0.0;976.3;976.7;976.3;;23.7;20.7;23.8;23.7;20.8;20.3;84.0;81.0;84.0;149.0;3.8;0.4
2020/01/01;0500 UTC;0.0;976.0;976.2;976.0;;23.5;20.9;23.7;23.5;21.0;20.6;86.0;83.0;86.0;124.0;2.2;0.0
2020/01/01;0600 UTC;0.0;975.9;976.1;975.8;;23.5;21.3;23.5;23.3;21.4;20.8;88.0;85.0;88.0;203.0;1.1;0.6
2020/01/01;0700 UTC;0.0;976.1;976.1;975.8;;23.3;21.2;23.5;23.3;21.4;21.1;88.0;87.0;88.0;344.0;1.6;0.6
2020/01/01;0800 UTC;0.0;976.5;976.5;976.1;;23.1;21.5;23.4;23.1;21.5;21.3;90.0;88.0;90.0;36.0;1.3;0.0
2020/01/01;0900 UTC;0.0;976.9;976.9;976.5;131.2;23.8;21.6;23.8;23.1;21.8;21.4;91.0;87.0;88.0;102.0;2.3;1.1
2020/01/01;1000 UTC;0.0;977.3;977.3;976.9;494.3;24.6;21.5;24.8;23.8;21.9;21.3;88.0;82.0;83.0;42.0;2.7;1.5
2020/01/01;1100 UTC;0.0;977.8;977.8;977.3;537.8;25.2;21.5;25.2;24.5;21.8;21.2;84.0;79.0;80.0;31.0;3.7;2.5
2020/01/01;1200 UTC;0.0;977.9;977.9;977.8;1275.8;26.5;20.7;27.0;25.2;21.6;20.6;80.0;69.0;70.0;33.0;4.3;1.9
2020/01/01;1300 UTC;0.0;977.4;977.9;977.4;1925.9;27.8;19.8;28.6;26.5;21.4;19.8;71.0;60.0;62.0;335.0;5.0;2.5
2020/01/01;1400 UTC;0.0;976.8;977.4;976.8;1979.6;29.3;20.0;29.7;27.7;20.7;19.5;64.0;56.0;57.0;353.0;5.0;1.1
2020/01/01;1500 UTC;0.0;975.9;976.8;975.9;2847.6;30.7;19.5;31.4;29.0;20.2;18.7;58.0;48.0;52.0;353.0;6.1;2.1
2020/01/01;1600 UTC;0.0;974.7;975.9;974.7;2259.3;32.3;19.1;32.3;30.6;19.7;18.4;52.0;46.0;46.0;336.0;5.9;3.2
2020/01/01;1700 UTC;0.0;973.9;974.8;973.9;1140.7;30.3;18.7;32.7;30.3;19.4;17.3;51.0;42.0;50.0;357.0;7.6;2.8
2020/01/01;1800 UTC;0.2;973.7;974.0;973.7;403.2;28.1;19.5;30.4;28.1;20.0;16.9;62.0;45.0;60.0;317.0;6.8;2.6
2020/01/01;1900 UTC;0.2;973.7;973.7;973.5;351.2;28.3;20.8;28.3;27.4;21.9;19.7;72.0;60.0;64.0;133.0;4.1;0.9
2020/01/01;2000 UTC;0.0;973.8;973.9;973.7;210.9;28.0;20.7;28.3;28.0;20.9;19.5;65.0;59.0;65.0;129.0;2.1;0.4
2020/01/01;2100 UTC;0.0;973.7;973.8;973.6;29.4;27.1;22.1;28.0;27.1;22.1;20.0;74.0;62.0;74.0;31.0;1.5;0.8
2020/01/01;2200 UTC;0.0;974.6;974.6;973.7;;27.0;22.3;27.2;27.0;22.7;21.2;77.0;70.0;76.0;158.0;2.7;0.4
2020/01/01;2300 UTC;0.0;975.9;975.9;974.6;;26.1;22.1;27.0;26.1;22.8;22.0;80.0;76.0;79.0;145.0;2.8;1.5
2020/01/02;0000 UTC;;;;;;;;;;;;;;;;;
2020/01/02;0100 UTC;0.0;977.0;977.1;976.4;;25.5;21.6;25.8;25.5;22.3;21.6;82.0;78.0;79.0;119.0;6.5;4.0
2020/01/02;0200 UTC;0.0;977.1;977.1;976.8;;24.4;21.1;25.5;24.4;21.7;21.1;82.0;79.0;82.0;99.0;9.5;4.3
2020/01/02;0300 UTC;0.4;976.1;977.2;976.1;;23.3;20.9;24.4;23.2;21.2;20.8;87.0;81.0;87.0;84.0;9.1;4.5
2020/01/02;0400 UTC;0.0;975.6;976.1;975.5;;23.2;20.8;23.4;23.2;20.9;20.7;87.0;85.0;86.0;87.0;8.0;2.8
2020/01/02;0500 UTC;0.0;975.2;975.6;975.2;;23.2;20.7;23.4;23.2;20.8;20.6;86.0;84.0;86.0;77.0;5.8;2.2
2020/01/02;0600 UTC;0.0;975.2;975.2;975.1;;23.2;20.9;23.2;23.1;21.0;20.7;87.0;86.0;87.0;90.0;3.9;0.1
2020/01/02;0700 UTC;0.2;975.6;975.6;975.2;;23.1;21.1;23.3;23.1;21.2;20.8;89.0;86.0;88.0;281.0;1.4;0.4
2020/01/02;0800 UTC;0.0;976.2;976.3;975.6;;22.9;21.4;23.2;22.9;21.5;21.1;91.0;88.0;91.0;220.0;1.6;0.6
2020/01/02;0900 UTC;0.0;977.2;977.2;976.2;74.2;23.4;21.7;23.5;22.9;21.8;21.4;91.0;90.0;90.0;221.0;1.6;0.6
2020/01/02;1000 UTC;0.0;977.4;977.4;977.1;514.4;24.7;21.4;24.8;23.4;22.0;21.3;90.0;82.0;82.0;133.0;1.7;0.3
2020/01/02;1100 UTC;0.0;977.9;977.9;977.4;1316.0;26.1;21.3;26.6;24.7;21.8;20.9;83.0;73.0;75.0;131.0;3.3;1.0
2020/01/02;1200 UTC;0.0;977.8;978.0;977.8;1356.8;27.2;20.9;27.3;26.1;21.6;20.6;75.0;68.0;68.0;33.0;3.8;1.2
2020/01/02;1300 UTC;0.0;977.5;977.9;977.5;1734.5;28.6;20.7;28.7;27.0;21.5;20.4;70.0;62.0;62.0;3.0;3.8;0.9
2020/01/02;1400 UTC;0.0;976.9;977.5;976.9;2258.5;30.1;20.3;30.5;28.2;21.2;20.2;65.0;55.0;56.0;72.0;3.8;1.8
2020/01/02;1500 UTC;0.0;976.0;976.9;976.0;2606.6;30.7;19.7;31.8;29.7;20.7;19.2;58.0;49.0;52.0;333.0;4.6;1.2
2020/01/02;1600 UTC;0.0;975.0;976.0;975.0;2587.2;33.1;19.0;33.1;30.7;20.3;18.9;53.0;43.0;43.0;96.0;6.2;2.4
2020/01/02;1700 UTC;0.0;974.0;975.0;974.0;2254.0;33.0;18.2;33.6;31.7;19.0;17.9;46.0;40.0;41.0;79.0;4.9;1.1
2020/01/02;1800 UTC;1.4;973.8;974.0;973.7;1170.4;28.5;22.2;33.6;27.5;22.8;17.4;75.0;40.0;69.0;338.0;9.1;1.7
2020/01/02;1900 UTC;0.0;973.8;974.1;973.7;617.6;27.7;20.3;29.9;27.4;23.1;20.3;73.0;57.0;64.0;90.0;10.2;4.4
2020/01/02;2000 UTC;0.0;974.0;974.3;973.8;251.5;26.3;20.6;27.6;26.3;20.7;19.2;71.0;61.0;71.0;114.0;7.8;3.1
