Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;993.7;993.7;992.6;;26.3;21.7;27.2;26.3;21.9;21.5;76.0;71.0;76.0;20.0;5.1;1.6
2020/01/01;0100 UTC;0.0;994.2;994.2;993.7;;25.5;21.8;26.3;25.5;21.9;21.7;80.0;76.0;80.0;33.0;3.6;1.4
2020/01/01;0200 UTC;0.0;994.2;994.3;994.0;;25.2;21.5;25.5;25.2;21.8;21.4;80.0;79.0;80.0;38.0;3.7;1.8
2020/01/01;0300 UTC;0.0;993.9;994.2;993.9;;24.9;21.4;25.2;24.9;21.5;21.4;81.0;80.0;81.0;42.0;3.6;0.5
2020/01/01;0400 UTC;0.0;993.5;993.9;993.5;;24.7;21.4;24.9;24.7;21.5;21.3;82.0;81.0;82.0;20.0;2.1;0.0
2020/01/01;0500 UTC;0.0;993.4;993.5;993.3;;24.7;21.1;24.7;24.6;21.6;21.0;83.0;80.0;80.0;52.0;0.7;0.0
2020/01/01;0600 UTC;0.0;993.0;993.4;993.0;;24.3;21.9;24.9;24.3;22.0;21.0;86.0;80.0;86.0;172.0;0.5;0.0
2020/01/01;0700 UTC;0.0;992.7;993.0;992.7;;23.9;22.0;24.6;23.8;22.1;21.7;89.0;86.0;89.0;152.0;0.0;0.0
2020/01/01;0800 UTC;0.0;992.8;992.9;992.7;;23.8;21.9;24.0;23.8;22.1;21.9;89.0;89.0;89.0;49.0;0.8;0.0
2020/01/01;0900 UTC;0.0;993.6;993.6;992.8;;23.6;21.6;23.9;23.6;22.0;21.6;89.0;88.0;88.0;72.0;1.2;0.0
2020/01/01;1000 UTC;0.0;994.2;994.2;993.6;198.7;24.4;22.1;24.4;23.6;22.3;21.5;89.0;87.0;87.0;147.0;1.1;0.0
2020/01/01;1100 UTC;0.0;994.8;994.8;994.2;486.2;25.4;21.5;25.4;24.5;22.4;20.9;87.0;79.0;79.0;17.0;1.5;0.0
2020/01/01;1200 UTC;0.0;995.2;995.2;994.8;1027.4;26.2;21.7;26.2;25.3;21.7;20.7;80.0;75.0;76.0;23.0;2.4;0.5
2020/01/01;1300 UTC;0.0;995.3;995.3;995.1;1555.0;27.6;22.0;27.6;26.0;22.1;21.2;76.0;72.0;72.0;21.0;4.1;1.9
2020/01/01;1400 UTC;0.0;994.6;995.4;994.6;2266.4;29.1;21.1;29.1;27.5;22.5;20.8;72.0;62.0;62.0;44.0;4.9;2.0
2020/01/01;1500 UTC;0.0;993.7;994.6;993.7;3323.6;30.7;19.9;31.2;29.1;21.8;19.5;63.0;51.0;52.0;50.0;5.3;2.3
2020/01/01;1600 UTC;0.0;992.4;993.7;992.4;2708.7;31.0;19.1;32.1;30.2;21.2;18.3;55.0;47.0;49.0;63.0;5.3;1.8
2020/01/01;1700 UTC;0.0;991.3;992.4;991.3;1941.4;31.7;20.0;32.0;30.9;20.7;18.8;54.0;47.0;50.0;96.0;5.7;1.6
2020/01/01;1800 UTC;0.0;989.8;991.3;989.8;2704.4;32.7;19.2;32.8;31.6;20.2;18.3;51.0;43.0;45.0;340.0;5.7;1.4
2020/01/01;1900 UTC;0.0;989.4;989.8;989.4;1473.3;32.6;18.9;33.4;31.8;20.2;18.4;47.0;43.0;44.0;187.0;4.6;0.8
