Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;920.6;920.6;920.0;;20.5;19.4;21.2;20.5;19.4;19.3;93.0;90.0;93.0;84;5.5;1.4
2020/01/01;0100 UTC;0.0;920.7;920.8;920.6;;20.4;19.2;20.5;20.3;19.4;19.1;94.0;93.0;93.0;87;4.9;2.5
2020/01/01;0200 UTC;0.0;920.5;920.8;920.4;;20.3;18.8;20.5;20.1;19.2;18.5;93.0;89.0;91.0;81;5.6;1.8
2020/01/01;0300 UTC;0.0;919.6;920.6;919.6;;20.0;18.5;20.4;19.9;18.8;18.5;92.0;90.0;92.0;133;3.5;1.1
2020/01/01;0400 UTC;0.0;918.9;919.6;918.9;;20.1;18.6;20.2;20.0;18.7;18.6;92.0;91.0;91.0;61;3.3;1.0
2020/01/01;0500 UTC;0.0;918.7;919.0;918.6;;19.9;19.0;20.2;19.9;19.0;18.6;94.0;91.0;94.0;22;3.3;1.9
2020/01/01;0600 UTC;0.0;918.8;918.8;918.4;;19.9;19.1;20.0;19.9;19.2;18.9;96.0;94.0;96.0;26;3.5;2.0
2020/01/01;0700 UTC;0.4;919.1;919.1;918.8;;19.6;18.9;20.1;19.5;19.4;18.9;96.0;96.0;96.0;45;5.0;1.3
2020/01/01;0800 UTC;0.2;919.7;919.8;919.1;0.2;19.4;18.6;19.7;19.3;19.1;18.6;96.0;96.0;96.0;73;4.7;1.1
2020/01/01;0900 UTC;0.4;920.2;920.2;919.7;70.2;20.0;19.2;20.1;19.3;19.3;18.6;96.0;95.0;95.0;60;3.9;1.2
2020/01/01;1000 UTC;0.2;920.4;920.5;920.2;140.2;20.0;19.2;20.2;19.9;19.4;19.1;95.0;95.0;95.0;31;7.4;4.2
