Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.2;969.6;969.6;968.8;;22.9;20.8;23.1;22.7;20.9;20.2;88.0;86.0;88.0;61.0;1.8;1.2
2020/01/01;0100 UTC;0.0;970.5;970.5;969.6;;23.2;20.7;23.3;22.9;21.0;20.6;88.0;86.0;86.0;190.0;2.5;0.0
2020/01/01;0200 UTC;0.0;970.6;970.6;970.4;;22.9;20.9;23.3;22.9;21.2;20.5;89.0;85.0;89.0;57.0;2.8;1.6
2020/01/01;0300 UTC;0.2;970.2;970.6;970.2;;22.6;20.7;23.0;22.5;21.1;20.5;90.0;86.0;89.0;51.0;6.1;3.8
2020/01/01;0400 UTC;0.0;969.4;970.2;969.4;;22.1;18.7;22.6;22.1;20.6;18.7;89.0;81.0;81.0;65.0;8.3;4.5
2020/01/01;0500 UTC;0.0;969.3;969.4;969.3;;21.7;18.6;22.1;21.7;18.7;18.3;83.0;80.0;83.0;53.0;7.4;2.5
2020/01/01;0600 UTC;0.0;969.0;969.3;969.0;;21.6;18.7;21.7;21.6;18.8;18.6;84.0;83.0;84.0;66.0;4.6;1.8
2020/01/01;0700 UTC;0.0;969.0;969.1;968.9;;21.6;18.9;21.6;21.5;19.1;18.7;86.0;84.0;85.0;54.0;3.0;0.3
2020/01/01;0800 UTC;0.0;969.1;969.2;969.0;;22.0;19.1;22.0;21.5;19.3;18.8;86.0;84.0;84.0;86.0;1.9;0.1
2020/01/01;0900 UTC;0.0;969.1;969.1;969.0;29.0;21.9;19.0;22.1;21.8;19.2;18.8;85.0;82.0;84.0;152.0;1.8;1.0
