Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;991.0;991.0;990.1;;23.8;22.8;23.8;23.8;22.8;22.7;94.0;93.0;94.0;222.0;1.9;0.8
2020/01/01;0100 UTC;0.0;991.9;991.9;991.0;;23.8;22.8;23.9;23.8;22.9;22.8;94.0;94.0;94.0;250.0;1.8;0.5
2020/01/01;0200 UTC;0.0;992.4;992.4;991.9;;23.3;22.4;23.8;23.3;22.8;22.4;94.0;94.0;94.0;244.0;1.5;0.1
2020/01/01;0300 UTC;0.0;992.7;992.7;992.4;;23.5;22.6;23.6;23.3;22.6;22.4;95.0;94.0;95.0;221.0;1.3;0.0
2020/01/01;0400 UTC;0.0;992.3;992.7;992.3;;23.5;22.5;23.6;23.5;22.7;22.5;95.0;95.0;95.0;200.0;1.5;0.4
2020/01/01;0500 UTC;0.0;991.7;992.3;991.7;;23.5;22.6;23.5;23.4;22.6;22.5;95.0;95.0;95.0;238.0;1.7;0.4
2020/01/01;0600 UTC;0.0;990.6;991.7;990.6;;23.3;22.4;23.5;23.3;22.6;22.4;95.0;95.0;95.0;213.0;1.6;0.9
2020/01/01;0700 UTC;0.0;990.2;990.6;990.2;;23.4;22.4;23.4;23.3;22.5;22.4;95.0;95.0;95.0;212.0;1.7;0.0
2020/01/01;0800 UTC;0.6;990.1;990.2;990.1;;23.4;22.5;23.4;23.3;22.5;22.4;95.0;95.0;95.0;214.0;2.3;0.8
2020/01/01;0900 UTC;46.6;990.8;990.8;990.1;1.6;22.7;21.8;23.4;22.6;22.4;21.8;95.0;95.0;95.0;195.0;4.0;1.5
2020/01/01;1000 UTC;7.2;991.6;991.6;990.8;0.3;22.5;21.7;22.7;22.5;21.9;21.7;95.0;95.0;95.0;206.0;4.1;1.8
2020/01/01;1100 UTC;6.2;992.4;992.4;991.6;29.9;22.5;21.7;22.5;22.4;21.7;21.6;95.0;95.0;95.0;201.0;3.7;1.1
2020/01/01;1200 UTC;;;;;;;;;;;;;;;;;
2020/01/01;1300 UTC;;;;;;;;;;;;;;;;;
2020/01/01;1400 UTC;;;;;;;;;;;;;;;;;
2020/01/01;1500 UTC;;;;;;;;;;;;;;;;;
2020/01/01;1600 UTC;1.0;993.5;;;405.5;23.4;22.6;;;;;;;95.0;213.0;;1.1
2020/01/01;1700 UTC;0.0;992.4;993.5;992.4;1276.3;25.3;24.4;25.4;23.4;24.5;22.6;95.0;95.0;95.0;213.0;3.1;0.5
2020/01/01;1800 UTC;0.0;991.4;992.4;991.4;1250.4;25.6;22.7;26.3;25.3;24.5;22.6;95.0;83.0;84.0;222.0;3.7;2.0
2020/01/01;1900 UTC;0.0;990.2;991.4;990.2;1021.7;26.9;22.9;26.9;25.6;23.3;22.3;85.0;77.0;79.0;208.0;4.6;1.1
2020/01/01;2000 UTC;0.0;989.8;990.2;989.8;1027.7;26.3;22.1;27.1;26.3;23.1;22.0;80.0;75.0;78.0;213.0;5.0;1.7
2020/01/01;2100 UTC;0.0;990.2;990.2;989.8;301.5;25.5;22.6;26.5;25.5;22.7;22.1;84.0;78.0;84.0;206.0;4.5;0.6
2020/01/01;2200 UTC;0.4;990.8;990.8;990.2;84.6;23.9;21.9;25.5;23.9;22.8;21.9;89.0;83.0;89.0;228.0;3.6;1.3
2020/01/01;2300 UTC;2.0;991.5;991.5;990.8;;23.0;21.8;23.9;23.0;22.0;21.8;93.0;89.0;93.0;213.0;4.5;0.6
2020/01/02;0000 UTC;0.8;992.6;992.6;991.5;;22.8;21.8;23.0;22.8;21.9;21.7;94.0;93.0;94.0;210.0;2.5;0.2
2020/01/02;0100 UTC;0.0;993.4;993.4;992.6;;22.7;21.8;22.8;22.7;21.8;21.7;94.0;94.0;94.0;252.0;1.9;0.4
2020/01/02;0200 UTC;0.0;993.7;993.7;993.4;;22.7;21.7;22.7;22.7;21.8;21.7;94.0;94.0;94.0;199.0;1.3;0.3
2020/01/02;0300 UTC;0.0;993.5;993.8;993.5;;22.6;21.7;22.7;22.6;21.7;21.7;95.0;94.0;95.0;226.0;1.7;0.7
2020/01/02;0400 UTC;0.4;992.9;993.5;992.9;;22.5;21.6;22.6;22.5;21.7;21.6;95.0;95.0;95.0;210.0;1.6;0.6
2020/01/02;0500 UTC;0.2;991.9;992.9;991.9;;22.3;21.5;22.5;22.3;21.6;21.4;95.0;95.0;95.0;251.0;1.6;0.2
2020/01/02;0600 UTC;0.0;991.4;991.9;991.4;;22.3;21.4;22.3;22.3;21.5;21.4;95.0;95.0;95.0;224.0;1.4;0.2
2020/01/02;0700 UTC;;;;;;;;;;;;;;;;;
2020/01/02;0800 UTC;;;;;;;;;;;;;;;;;
2020/01/02;0900 UTC;;;;;;;;;;;;;;;;;
2020/01/02;1000 UTC;;;;;;;;;;;;;;;;;
2020/01/02;1100 UTC;;;;;;;;;;;;;;;;;
2020/01/02;1200 UTC;;;;;;;;;;;;;;;;;
2020/01/02;1300 UTC;0.0;994.8;994.8;994.4;1074.6;25.9;22.4;25.9;24.8;22.7;21.5;86.0;81.0;81.0;225.0;2.8;0.7
2020/01/02;1400 UTC;0.0;995.1;995.2;994.8;1944.2;27.7;23.0;27.7;25.8;23.0;21.7;81.0;73.0;75.0;224.0;2.9;0.2
2020/01/02;1500 UTC;0.2;994.8;995.2;994.8;1733.9;28.0;22.5;28.2;27.4;23.1;21.5;76.0;69.0;72.0;211.0;3.7;1.2
2020/01/02;1600 UTC;0.0;994.1;994.8;994.1;1172.9;25.3;22.3;28.6;25.3;23.3;21.7;85.0;70.0;83.0;217.0;4.8;2.2
2020/01/02;1700 UTC;0.0;993.0;994.1;993.0;901.4;25.5;22.5;26.3;25.1;23.5;22.2;87.0;81.0;84.0;238.0;4.4;1.6
2020/01/02;1800 UTC;1.2;991.8;993.0;991.8;584.3;24.7;23.1;25.4;24.6;23.3;22.5;91.0;84.0;91.0;241.0;2.6;0.8
2020/01/02;1900 UTC;0.4;990.9;991.8;990.9;496.1;24.8;23.2;24.9;24.5;23.3;23.0;92.0;91.0;91.0;200.0;2.6;0.6
2020/01/02;2000 UTC;0.2;990.4;990.9;990.4;448.8;25.1;23.5;25.2;24.8;23.7;23.2;92.0;90.0;91.0;234.0;2.2;0.6
2020/01/02;2100 UTC;0.0;990.6;990.6;990.3;368.5;24.9;23.1;25.2;24.9;23.7;23.1;92.0;90.0;90.0;188.0;1.8;0.7
2020/01/02;2200 UTC;0.0;991.3;991.3;990.6;184.4;24.8;23.0;25.0;24.8;23.3;23.0;90.0;89.0;90.0;255.0;2.0;0.8
2020/01/02;2300 UTC;0.0;991.9;991.9;991.3;7.9;24.0;22.8;24.8;24.0;23.0;22.8;93.0;90.0;93.0;209.0;2.0;0.7
2020/01/03;0000 UTC;0.0;992.5;992.5;991.8;;23.7;22.7;24.0;23.7;22.8;22.7;94.0;93.0;94.0;247.0;1.3;0.3
2020/01/03;0100 UTC;0.0;993.5;993.5;992.5;;23.5;22.6;23.7;23.5;22.7;22.6;94.0;94.0;94.0;258.0;1.0;0.0
2020/01/03;0200 UTC;0.0;994.5;994.5;993.5;;23.5;22.6;23.6;23.4;22.7;22.5;95.0;94.0;95.0;200.0;1.5;0.5
2020/01/03;0300 UTC;0.0;994.5;994.6;994.5;;23.4;22.5;23.5;23.4;22.6;22.5;95.0;95.0;95.0;197.0;2.0;1.0
2020/01/03;0400 UTC;0.0;993.9;994.5;993.9;;23.3;22.4;23.5;23.3;22.6;22.4;95.0;95.0;95.0;189.0;1.9;0.9
2020/01/03;0500 UTC;0.0;993.2;993.9;993.2;;23.2;22.3;23.3;23.2;22.4;22.3;95.0;95.0;95.0;233.0;2.1;0.0
2020/01/03;0600 UTC;0.0;992.9;993.2;992.9;;23.2;22.3;23.2;23.1;22.3;22.2;95.0;95.0;95.0;223.0;0.6;0.0
2020/01/03;0700 UTC;0.0;992.5;992.9;992.5;;23.2;22.3;23.3;23.2;22.4;22.3;95.0;95.0;95.0;186.0;1.1;0.2
2020/01/03;0800 UTC;;;;;;;;;;;;;;;;;
2020/01/03;0900 UTC;;;;;;;;;;;;;;;;;
2020/01/03;1000 UTC;;;;;;;;;;;;;;;;;
2020/01/03;1100 UTC;;;;;;;;;;;;;;;;;
2020/01/03;1200 UTC;;;;;;;;;;;;;;;;;
2020/01/03;1300 UTC;;;;;;;;;;;;;;;;;
2020/01/03;1400 UTC;;;;;;;;;;;;;;;;;
2020/01/03;1500 UTC;;;;;;;;;;;;;;;;;
2020/01/03;1600 UTC;;;;;;;;;;;;;;;;;
2020/01/03;1700 UTC;;;;;;;;;;;;;;;;;
2020/01/03;1800 UTC;;;;;;;;;;;;;;;;;
2020/01/03;1900 UTC;;;;;;;;;;;;;;;;;
2020/01/03;2000 UTC;;;;;;;;;;;;;;;;;
2020/01/03;2100 UTC;;;;;;;;;;;;;;;;;
2020/01/03;2200 UTC;;;;;;;;;;;;;;;;;
2020/01/03;2300 UTC;;;;;;;;;;;;;;;;;
2020/01/04;0000 UTC;;;;;;;;;;;;;;;;;
2020/01/04;0100 UTC;;;;;;;;;;;;;;;;;
2020/01/04;0200 UTC;;;;;;;;;;;;;;;;;
2020/01/04;0300 UTC;;;;;;;;;;;;;;;;;
2020/01/04;0400 UTC;;;;;;;;;;;;;;;;;
2020/01/04;0500 UTC;;;;;;;;;;;;;;;;;
2020/01/04;0600 UTC;;;;;;;;;;;;;;;;;
2020/01/04;0700 UTC;;;;;;;;;;;;;;;;;
2020/01/04;0800 UTC;;;;;;;;;;;;;;;;;
2020/01/04;0900 UTC;;;;;;;;;;;;;;;;;
2020/01/04;1000 UTC;;;;;;;;;;;;;;;;;
2020/01/04;1100 UTC;;;;;;;;;;;;;;;;;
2020/01/04;1200 UTC;;;;;;;;;;;;;;;;;
2020/01/04;1300 UTC;0.0;996.0;996.0;995.9;1096.8;25.8;22.8;25.8;23.6;23.5;22.4;95.0;84.0;84.0;231.0;;0.5
2020/01/04;1400 UTC;0.0;995.7;996.0;995.7;2194.8;27.8;22.8;28.3;25.3;23.4;21.7;85.0;70.0;74.0;218.0;1.9;0.3
2020/01/04;1500 UTC;0.0;995.1;995.7;995.0;2965.3;29.1;23.0;29.4;27.7;23.2;21.5;75.0;66.0;69.0;229.0;3.2;1.4
2020/01/04;1600 UTC;0.0;994.3;995.1;994.3;2395.1;29.3;22.1;30.4;29.0;23.6;21.5;70.0;63.0;65.0;228.0;3.2;1.0
2020/01/04;1700 UTC;0.0;993.0;994.3;993.0;2347.8;29.8;21.7;31.3;29.3;23.7;20.9;67.0;56.0;62.0;233.0;3.8;1.4
2020/01/04;1800 UTC;0.0;991.4;993.0;991.4;3713.0;30.5;21.7;32.2;29.7;23.5;21.4;64.0;55.0;60.0;209.0;6.3;2.4
2020/01/04;1900 UTC;0.0;990.2;991.4;990.2;1785.6;28.3;21.3;30.4;27.2;22.8;20.8;71.0;60.0;66.0;213.0;6.8;0.4
2020/01/04;2000 UTC;0.0;990.0;990.2;989.8;2424.0;29.9;21.7;31.7;28.1;22.6;20.2;67.0;51.0;61.0;248.0;3.3;1.8
2020/01/04;2100 UTC;0.0;990.5;990.5;990.0;384.1;24.4;21.8;29.9;24.4;22.3;21.1;86.0;62.0;86.0;232.0;8.1;2.6
2020/01/04;2200 UTC;0.0;991.5;991.5;990.5;246.8;24.6;21.8;25.0;24.3;22.7;21.8;88.0;84.0;84.0;208.0;4.9;1.4
2020/01/04;2300 UTC;0.0;991.9;991.9;991.5;33.1;23.5;21.7;24.6;23.5;22.0;21.5;89.0;84.0;89.0;223.0;3.4;0.0
2020/01/05;0000 UTC;0.0;992.2;992.2;991.9;;23.0;21.7;23.5;23.0;21.8;21.6;92.0;89.0;92.0;202.0;1.4;0.3
2020/01/05;0100 UTC;0.0;993.2;993.2;992.2;;22.9;21.7;23.1;22.8;21.7;21.5;93.0;92.0;93.0;256.0;1.7;0.0
2020/01/05;0200 UTC;0.0;993.5;993.6;993.2;;23.2;22.0;23.2;22.9;22.1;21.7;93.0;93.0;93.0;235.0;1.2;0.1
2020/01/05;0300 UTC;0.0;993.6;993.6;993.4;0.3;23.2;22.0;23.2;23.2;22.0;21.9;93.0;93.0;93.0;210.0;1.2;0.0
2020/01/05;0400 UTC;0.0;993.0;993.6;993.0;;23.1;22.0;23.2;23.1;22.1;22.0;94.0;93.0;93.0;235.0;2.4;0.8
2020/01/05;0500 UTC;0.0;992.2;993.0;992.2;;22.9;21.8;23.1;22.9;21.9;21.7;94.0;93.0;94.0;212.0;2.4;0.1
2020/01/05;0600 UTC;0.0;992.0;992.2;991.9;;22.8;21.9;22.9;22.8;21.9;21.7;94.0;94.0;94.0;220.0;1.9;0.4
2020/01/05;0700 UTC;1.4;992.0;992.0;991.9;;22.8;21.8;22.9;22.8;21.9;21.8;94.0;94.0;94.0;213.0;3.3;1.1
2020/01/05;0800 UTC;12.0;992.1;992.2;992.0;;22.2;21.3;22.8;22.2;21.8;21.3;95.0;94.0;95.0;215.0;6.4;2.1
2020/01/05;0900 UTC;8.0;992.6;992.6;992.1;;21.9;21.0;22.2;21.8;21.3;21.0;95.0;95.0;95.0;208.0;5.0;1.5
2020/01/05;1000 UTC;4.6;993.3;993.3;992.6;;21.8;21.0;22.0;21.8;21.1;21.0;95.0;95.0;95.0;211.0;4.2;0.6
2020/01/05;1100 UTC;3.2;993.6;993.6;993.3;17.2;21.8;20.9;21.9;21.8;21.0;20.9;95.0;95.0;95.0;221.0;2.9;0.8
2020/01/05;1200 UTC;;;;;;;;;;;;;;;;;
2020/01/05;1300 UTC;;;;;;;;;;;;;;;;;
2020/01/05;1400 UTC;0.0;994.3;;;556.4;26.1;21.0;;;;;;;74.0;222.0;;1.0
2020/01/05;1500 UTC;0.0;993.8;994.3;993.8;1701.5;27.7;22.2;27.8;26.0;22.7;21.4;78.0;70.0;72.0;244.0;3.1;1.0
2020/01/05;1600 UTC;0.0;993.1;993.8;993.1;2535.0;30.7;22.9;30.7;27.7;23.6;21.9;73.0;63.0;63.0;211.0;6.6;1.6
2020/01/05;1700 UTC;0.0;992.0;993.1;992.0;3329.5;31.8;22.5;32.1;30.2;24.0;21.0;65.0;55.0;58.0;216.0;6.3;2.0
2020/01/05;1800 UTC;0.0;990.4;992.0;990.4;3468.8;31.9;21.1;32.8;31.1;23.4;20.3;59.0;51.0;53.0;213.0;4.8;1.2
2020/01/05;1900 UTC;0.0;989.5;990.3;989.5;2717.9;30.8;20.7;33.0;30.8;22.5;19.8;57.0;48.0;55.0;209.0;4.4;1.0
