Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;978.5;978.5;977.0;;26.2;21.4;26.3;26.1;21.7;21.1;77.0;73.0;75.0;7.0;2.8;0.9
2020/01/01;0100 UTC;0.0;979.0;979.0;978.5;;25.7;21.7;26.2;25.6;21.9;21.4;80.0;75.0;79.0;7.0;2.4;1.2
2020/01/01;0200 UTC;0.0;978.9;979.1;978.9;;25.4;21.8;25.7;25.2;22.0;21.6;82.0;78.0;80.0;9.0;2.9;1.1
2020/01/01;0300 UTC;0.0;979.2;979.2;978.9;;25.6;22.0;25.6;25.4;22.0;21.5;80.0;79.0;80.0;7.0;3.4;1.3
2020/01/01;0400 UTC;0.0;978.8;979.2;978.8;;25.1;21.8;25.6;25.1;22.2;21.8;82.0;80.0;82.0;330.0;6.8;2.3
2020/01/01;0500 UTC;0.0;978.2;978.8;978.1;;24.7;21.8;25.1;24.7;21.9;21.8;84.0;82.0;84.0;355.0;4.3;2.0
2020/01/01;0600 UTC;0.0;978.1;978.2;977.9;;24.5;21.5;24.8;24.5;21.8;21.5;85.0;84.0;84.0;355.0;4.3;1.2
2020/01/01;0700 UTC;0.0;978.0;978.1;977.9;;24.5;21.4;24.6;24.5;21.5;21.4;84.0;83.0;83.0;336.0;4.3;2.2
2020/01/01;0800 UTC;0.0;978.1;978.1;977.9;;24.4;21.5;24.5;24.3;21.6;21.4;84.0;83.0;84.0;2.0;4.1;1.6
2020/01/01;0900 UTC;0.0;978.5;978.5;978.1;;24.4;21.6;24.4;24.2;21.7;21.5;86.0;84.0;85.0;332.0;3.8;1.6
2020/01/01;1000 UTC;0.0;978.8;978.8;978.5;149.1;24.6;21.8;24.7;24.4;21.8;21.6;85.0;83.0;84.0;29.0;3.1;1.3
2020/01/01;1100 UTC;0.0;979.1;979.1;978.8;280.3;25.3;21.8;25.3;24.6;21.9;21.7;84.0;81.0;81.0;336.0;3.2;1.6
2020/01/01;1200 UTC;0.0;979.8;979.8;979.1;947.2;26.5;21.6;26.7;25.3;22.3;21.5;81.0;74.0;74.0;7.0;3.6;1.4
2020/01/01;1300 UTC;0.0;979.9;980.1;979.8;964.9;27.4;22.3;27.4;26.4;22.6;21.4;77.0;72.0;74.0;341.0;4.9;1.9
2020/01/01;1400 UTC;0.0;979.4;980.0;979.4;2079.6;28.5;21.5;29.2;27.5;23.0;21.4;74.0;65.0;66.0;337.0;4.8;2.7
2020/01/01;1500 UTC;0.0;978.6;979.4;978.6;2538.2;29.6;21.5;30.2;28.5;22.2;21.2;67.0;59.0;62.0;308.0;5.9;2.4
2020/01/01;1600 UTC;0.0;977.7;978.6;977.7;1936.7;29.6;21.8;30.3;29.2;21.8;20.8;63.0;59.0;63.0;341.0;7.5;3.7
2020/01/01;1700 UTC;0.0;976.6;977.7;976.6;2495.5;30.8;21.2;30.8;29.2;22.5;20.7;65.0;56.0;56.0;1.0;6.9;2.3
2020/01/01;1800 UTC;0.0;975.5;976.6;975.5;2063.0;28.0;23.2;31.5;28.0;23.2;20.9;75.0;54.0;75.0;78.0;6.6;3.8
2020/01/01;1900 UTC;2.0;975.0;975.6;975.0;551.4;26.3;23.3;28.0;25.8;23.6;21.4;83.0;75.0;83.0;114.0;6.6;1.2
2020/01/01;2000 UTC;0.0;975.2;975.2;974.9;516.3;27.1;23.4;27.3;26.3;24.1;22.5;85.0;76.0;80.0;169.0;3.7;1.6
2020/01/01;2100 UTC;0.0;975.8;975.8;975.1;195.4;26.2;22.7;27.3;26.2;23.7;21.9;81.0;75.0;81.0;264.0;5.4;2.6
2020/01/01;2200 UTC;;;;;;;;;;;;;;;;;
