Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;975.7;975.7;974.7;;24.0;22.9;24.3;24.0;22.9;22.6;94.0;90.0;94.0;360.0;2.2;1.0
2020/01/01;0100 UTC;0.0;976.5;976.5;975.7;;24.2;23.2;24.2;23.9;23.3;22.8;95.0;93.0;94.0;108.0;2.4;0.8
2020/01/01;0200 UTC;0.0;976.6;976.7;976.5;;24.1;23.5;24.2;24.1;23.6;23.1;97.0;94.0;96.0;35.0;2.8;2.0
2020/01/01;0300 UTC;0.0;976.3;976.7;976.3;;23.9;23.9;24.3;23.9;23.9;23.3;100.0;94.0;100.0;14.0;3.0;1.7
2020/01/01;0400 UTC;0.0;976.1;976.3;976.1;;23.8;22.8;24.1;23.8;24.1;22.8;100.0;94.0;94.0;27.0;7.6;2.7
2020/01/01;0500 UTC;26.8;976.0;976.2;975.8;;20.6;20.6;23.8;20.6;22.7;20.6;100.0;93.0;100.0;30.0;10.0;3.6
2020/01/01;0600 UTC;12.2;975.0;976.0;975.0;;20.8;20.8;21.1;20.5;21.1;20.5;100.0;99.0;100.0;16.0;6.1;2.6
2020/01/01;0700 UTC;0.6;974.6;975.0;974.6;;21.2;21.2;21.2;20.8;21.2;20.8;100.0;100.0;100.0;333.0;4.3;2.2
2020/01/01;0800 UTC;0.0;975.2;975.2;974.6;;21.3;21.3;21.3;21.1;21.3;21.1;100.0;100.0;100.0;351.0;3.7;1.4
2020/01/01;0900 UTC;0.0;975.7;975.7;975.2;0.3;21.4;21.4;21.4;21.2;21.4;21.2;100.0;100.0;100.0;25.0;2.3;0.7
