Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;983.3;983.4;982.9;;25.3;23.8;25.9;25.3;24.2;23.8;91.0;89.0;91.0;155.0;2.9;1.6
2020/01/01;0100 UTC;0.0;984.4;984.4;983.3;;25.2;23.9;25.6;25.1;24.0;23.7;93.0;91.0;93.0;307.0;2.9;0.9
2020/01/01;0200 UTC;0.0;984.6;984.8;984.4;;24.5;23.7;25.2;24.4;24.0;23.5;95.0;93.0;95.0;222.0;2.0;0.7
2020/01/01;0300 UTC;0.0;984.7;984.7;984.4;;24.4;23.6;24.7;24.3;23.9;23.5;95.0;95.0;95.0;18.0;4.6;2.7
2020/01/01;0400 UTC;0.0;984.4;984.8;984.4;;24.7;23.4;24.8;24.4;23.6;23.3;95.0;92.0;92.0;356.0;4.6;1.3
2020/01/01;0500 UTC;0.0;984.1;984.4;984.1;;24.5;23.1;24.7;24.5;23.4;23.1;93.0;92.0;92.0;343.0;3.8;2.2
2020/01/01;0600 UTC;0.0;984.3;984.3;984.1;;24.2;22.9;24.5;24.2;23.0;22.8;92.0;91.0;92.0;335.0;3.8;1.4
2020/01/01;0700 UTC;0.0;984.0;984.3;984.0;;24.0;22.7;24.3;24.0;23.0;22.7;93.0;92.0;93.0;341.0;4.0;2.1
2020/01/01;0800 UTC;0.0;983.9;984.0;983.9;;23.6;22.6;24.0;23.6;22.7;22.6;94.0;93.0;94.0;4.0;4.0;1.7
2020/01/01;0900 UTC;0.0;984.0;984.0;983.9;0.3;23.5;22.7;23.7;23.5;22.8;22.6;95.0;94.0;95.0;350.0;2.8;1.5
2020/01/01;1000 UTC;0.0;984.8;984.8;984.0;254.8;24.6;23.2;24.6;23.5;23.4;22.7;95.0;92.0;92.0;341.0;4.5;2.5
