Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;1000.8;1000.8;1000.3;;23.4;21.8;24.0;23.3;22.2;21.6;92.0;88.0;91.0;108.0;2.7;0.4
2020/01/01;0100 UTC;0.0;1001.1;1001.2;1000.8;;22.7;21.8;23.4;22.5;22.1;21.5;95.0;91.0;95.0;215.0;1.4;0.7
2020/01/01;0200 UTC;0.0;1001.1;1001.3;1001.1;;22.6;21.9;22.7;22.4;21.9;21.6;96.0;95.0;95.0;193.0;1.8;0.4
2020/01/01;0300 UTC;0.0;1000.8;1001.2;1000.8;;22.0;21.3;22.7;22.0;22.0;21.3;96.0;95.0;96.0;291.0;1.6;0.8
2020/01/01;0400 UTC;0.0;1000.5;1000.8;1000.5;;21.6;21.0;22.0;21.5;21.4;20.9;97.0;96.0;97.0;321.0;1.6;0.7
2020/01/01;0500 UTC;0.0;1000.1;1000.5;1000.1;;21.1;20.6;21.6;21.1;21.0;20.6;97.0;97.0;97.0;333.0;1.2;0.7
2020/01/01;0600 UTC;0.0;999.7;1000.1;999.7;;21.3;20.8;21.4;21.0;21.0;20.5;97.0;97.0;97.0;256.0;2.4;0.4
2020/01/01;0700 UTC;0.0;999.7;999.8;999.6;;21.1;20.7;21.3;21.1;20.8;20.7;97.0;97.0;97.0;107.0;1.5;0.5
2020/01/01;0800 UTC;0.0;1000.0;1000.0;999.6;;20.9;20.5;21.2;20.8;20.8;20.4;98.0;97.0;98.0;81.0;2.1;0.7
2020/01/01;0900 UTC;0.0;1000.4;1000.4;1000.0;105.8;20.8;20.4;20.9;20.6;20.5;20.2;98.0;98.0;98.0;347.0;2.0;0.7
2020/01/01;1000 UTC;0.0;1000.4;1000.5;1000.4;558.6;22.1;21.7;22.1;20.8;21.7;20.4;98.0;98.0;98.0;140.0;1.5;0.6
2020/01/01;1100 UTC;0.0;1000.6;1000.6;1000.4;1767.9;27.0;23.1;27.0;22.1;24.3;21.9;98.0;76.0;79.0;222.0;2.2;0.9
2020/01/01;1200 UTC;0.2;1000.3;1000.6;1000.3;2365.9;28.0;21.5;29.0;26.3;23.8;20.9;82.0;65.0;68.0;144.0;4.1;0.5
2020/01/01;1300 UTC;0.0;999.8;1000.3;999.8;2895.9;30.0;22.7;30.0;27.8;23.4;20.0;72.0;58.0;65.0;240.0;3.5;1.0
2020/01/01;1400 UTC;0.0;999.2;999.8;999.2;3308.4;30.8;21.9;32.3;29.6;24.3;20.0;66.0;51.0;59.0;160.0;4.2;1.3
2020/01/01;1500 UTC;0.0;998.7;999.2;998.7;3310.5;31.4;19.5;33.2;30.0;23.4;19.5;62.0;48.0;49.0;19.0;3.9;1.6
2020/01/01;1600 UTC;0.0;997.6;998.7;997.6;4083.9;33.8;20.4;33.8;31.1;22.0;19.0;54.0;44.0;46.0;149.0;5.1;0.9
2020/01/01;1700 UTC;0.0;996.5;997.6;996.5;2785.6;31.9;18.3;34.2;31.6;21.9;17.7;51.0;43.0;44.0;322.0;5.3;1.1
2020/01/01;1800 UTC;0.0;995.8;996.5;995.8;2308.4;32.9;20.1;33.6;31.8;21.2;18.3;51.0;44.0;47.0;119.0;7.2;2.5
2020/01/01;1900 UTC;0.0;995.1;995.8;995.0;2405.3;33.6;20.0;34.0;32.2;21.6;19.2;54.0;44.0;45.0;124.0;6.2;2.6
2020/01/01;2000 UTC;0.0;994.8;995.1;994.7;589.6;30.6;22.0;33.6;30.6;22.1;19.3;61.0;44.0;60.0;120.0;7.2;3.5
2020/01/01;2100 UTC;0.0;995.5;995.5;994.8;202.2;28.8;22.3;30.6;28.8;22.6;21.9;68.0;60.0;68.0;57.0;7.3;1.4
2020/01/01;2200 UTC;0.0;996.1;996.2;995.5;11.7;27.1;22.1;28.8;26.9;22.4;22.1;76.0;68.0;74.0;20.0;5.0;1.6
2020/01/01;2300 UTC;0.0;997.2;997.2;996.1;;26.4;22.0;27.1;26.3;22.1;21.9;77.0;74.0;77.0;57.0;5.9;1.2
2020/01/02;0000 UTC;0.0;998.3;998.3;997.2;;25.6;21.6;26.4;25.5;22.0;21.5;80.0;77.0;78.0;39.0;3.1;1.2
2020/01/02;0100 UTC;0.0;999.1;999.1;998.3;;25.5;21.5;25.9;25.4;21.7;21.4;80.0;76.0;79.0;46.0;5.3;1.3
2020/01/02;0200 UTC;0.0;998.9;999.2;998.9;;26.1;21.7;26.2;25.3;21.8;21.3;79.0;76.0;77.0;22.0;5.1;1.7
2020/01/02;0300 UTC;0.0;998.5;998.9;998.5;;26.0;21.4;26.2;25.8;21.7;21.3;79.0;75.0;76.0;37.0;5.5;1.0
2020/01/02;0400 UTC;0.0;997.8;998.5;997.8;;24.8;21.6;26.0;24.7;21.7;21.5;83.0;76.0;82.0;59.0;2.5;0.8
2020/01/02;0500 UTC;0.0;997.4;997.9;997.4;;25.1;21.7;25.1;24.3;21.8;21.5;85.0;81.0;82.0;25.0;4.1;1.8
2020/01/02;0600 UTC;0.0;997.1;997.4;997.1;;25.3;21.9;25.3;24.8;21.9;21.6;83.0;81.0;81.0;18.0;4.6;1.7
2020/01/02;0700 UTC;0.0;997.2;997.2;997.0;;25.4;21.9;25.5;25.2;21.9;21.8;82.0;80.0;81.0;14.0;5.6;1.7
2020/01/02;0800 UTC;0.0;997.7;997.7;997.1;;25.3;22.0;25.5;25.1;22.1;21.8;83.0;81.0;82.0;32.0;4.4;1.4
2020/01/02;0900 UTC;0.0;998.3;998.3;997.7;76.6;25.1;22.4;25.3;25.0;22.7;22.0;87.0;82.0;85.0;148.0;3.1;0.6
2020/01/02;1000 UTC;0.0;998.7;998.7;998.1;450.1;26.7;22.8;26.7;25.0;23.3;22.4;86.0;80.0;80.0;255.0;2.1;0.4
2020/01/02;1100 UTC;0.0;998.5;998.8;998.5;1426.2;28.4;22.2;28.4;26.7;23.1;21.8;80.0;69.0;69.0;311.0;4.9;2.4
2020/01/02;1200 UTC;0.0;998.7;998.7;998.4;2396.9;30.3;21.7;30.4;28.2;22.9;21.6;69.0;60.0;60.0;308.0;6.0;2.4
2020/01/02;1300 UTC;0.0;998.2;998.7;998.2;2853.5;31.0;21.7;31.9;30.1;22.7;21.3;64.0;55.0;58.0;321.0;6.9;3.3
2020/01/02;1400 UTC;0.0;997.3;998.2;997.3;3309.8;32.2;21.9;32.8;31.0;23.5;21.5;59.0;54.0;55.0;335.0;7.4;1.4
2020/01/02;1500 UTC;0.0;996.7;997.3;996.7;3395.6;33.4;21.5;34.9;32.1;23.2;21.2;57.0;46.0;50.0;347.0;7.1;2.6
2020/01/02;1600 UTC;1.4;996.5;997.2;996.5;968.1;26.1;23.6;34.4;25.5;23.9;21.4;90.0;48.0;86.0;81.0;11.6;1.1
2020/01/02;1700 UTC;0.0;995.3;996.5;995.3;2277.6;31.6;22.9;32.1;26.1;24.9;22.1;87.0;59.0;60.0;101.0;3.9;1.5
2020/01/02;1800 UTC;0.0;994.0;995.3;994.0;3109.8;35.0;23.6;35.3;31.6;25.1;21.9;65.0;47.0;52.0;61.0;5.5;1.9
2020/01/02;1900 UTC;0.0;993.6;994.0;993.0;1476.1;32.2;22.0;35.2;32.2;23.4;21.5;56.0;48.0;55.0;22.0;7.3;1.8
2020/01/02;2000 UTC;9.2;995.7;995.7;993.5;214.3;24.0;22.9;32.2;23.3;23.9;21.7;96.0;54.0;93.0;243.0;12.6;1.2
2020/01/02;2100 UTC;0.0;996.7;996.7;995.6;113.2;24.5;22.9;24.5;23.9;23.4;22.7;95.0;91.0;91.0;48.0;3.6;1.4
