Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;922.5;922.6;921.9;0.0;23.2;19.2;24.4;23.0;19.7;18.6;79.0;70.0;78.0;;;
2020/01/01;0100 UTC;0.0;923.3;923.3;922.5;0.0;22.8;18.4;23.3;21.8;19.2;18.4;84.0;76.0;77.0;;;
2020/01/01;0200 UTC;0.0;923.7;923.7;923.3;0.0;20.9;18.4;22.8;20.9;18.8;18.3;86.0;77.0;86.0;;;
2020/01/01;0300 UTC;0.0;923.3;923.7;923.2;0.0;21.0;18.6;22.0;20.5;19.1;18.2;89.0;81.0;86.0;;;
2020/01/01;0400 UTC;0.0;922.9;923.3;922.9;0.0;20.8;18.5;21.1;20.0;18.8;18.0;90.0;86.0;87.0;;;
2020/01/01;0500 UTC;0.0;922.6;922.9;922.6;0.0;19.6;18.0;20.9;19.6;18.6;17.9;91.0;86.0;90.0;;;
2020/01/01;0600 UTC;0.0;923.0;923.0;922.5;0.0;20.2;18.4;20.7;19.4;19.0;17.9;92.0;89.0;89.0;;;
2020/01/01;0700 UTC;0.0;923.2;923.2;923.0;0.0;20.7;18.6;21.3;20.1;19.1;18.3;91.0;85.0;88.0;;;
2020/01/01;0800 UTC;0.2;923.5;923.5;923.1;0.0;20.7;18.8;21.2;20.6;18.9;18.6;89.0;86.0;89.0;;;
2020/01/01;0900 UTC;0.0;923.7;923.7;923.5;80.3;21.0;19.0;21.0;20.4;19.0;18.6;90.0;88.0;88.0;;;
2020/01/01;1000 UTC;0.0;924.0;924.1;923.7;534.6;22.4;19.2;22.4;20.9;19.4;18.8;89.0;82.0;82.0;;;
2020/01/01;1100 UTC;0.0;923.9;924.0;923.9;1632.3;24.6;19.4;24.6;22.4;19.8;18.8;83.0;73.0;73.0;;;
2020/01/01;1200 UTC;0.0;923.8;924.0;923.8;2549.6;26.9;19.1;27.0;24.5;19.7;18.5;73.0;62.0;62.0;;;
2020/01/01;1300 UTC;0.0;923.4;923.8;923.4;3243.5;28.1;18.6;28.1;26.6;19.7;18.2;64.0;56.0;57.0;;;
2020/01/01;1400 UTC;0.0;922.7;923.4;922.7;3684.3;29.3;17.5;29.5;27.5;19.8;17.5;59.0;49.0;49.0;;;
2020/01/01;1500 UTC;0.0;922.1;922.7;922.1;3697.0;30.0;17.0;30.7;28.4;19.6;16.5;56.0;44.0;46.0;;;
2020/01/01;1600 UTC;0.0;921.4;922.1;921.4;3855.6;30.4;18.5;31.2;29.8;19.3;16.5;51.0;43.0;49.0;;;
2020/01/01;1700 UTC;0.0;920.6;921.4;920.6;2691.5;28.5;19.2;31.3;28.0;20.0;17.4;59.0;45.0;57.0;;;
2020/01/01;1800 UTC;0.0;919.7;920.6;919.6;1976.1;29.3;18.9;30.8;27.7;20.8;17.9;62.0;48.0;54.0;;;
2020/01/01;1900 UTC;0.0;919.4;919.8;919.4;402.9;26.2;18.6;29.3;26.2;19.6;18.2;63.0;53.0;63.0;;;
2020/01/01;2000 UTC;0.0;919.9;920.1;919.4;174.0;22.7;20.0;26.2;22.6;21.3;18.6;86.0;63.0;85.0;;;
2020/01/01;2100 UTC;0.0;920.3;920.3;919.7;141.6;22.8;19.6;22.9;22.5;20.5;19.5;87.0;82.0;82.0;;;
2020/01/01;2200 UTC;0.0;920.6;920.6;920.3;20.5;22.4;19.1;22.8;22.3;20.1;19.0;87.0;80.0;82.0;;;
2020/01/01;2300 UTC;0.0;921.7;921.7;920.6;0.0;21.8;18.7;22.4;21.6;19.8;18.7;89.0;82.0;82.0;;;
2020/01/02;0000 UTC;0.0;921.7;921.9;921.6;0.0;21.0;18.9;21.9;21.0;18.9;18.5;88.0;81.0;88.0;;;
2020/01/02;0100 UTC;0.0;922.6;922.6;921.7;0.0;21.2;19.1;21.8;20.9;19.5;18.6;89.0;83.0;88.0;;;
2020/01/02;0200 UTC;0.2;922.4;922.7;922.4;0.0;20.7;19.2;21.2;20.6;19.4;19.1;92.0;88.0;91.0;;;
2020/01/02;0300 UTC;0.0;921.8;922.4;921.8;0.0;20.4;19.3;20.8;20.3;19.3;19.2;93.0;91.0;93.0;;;
2020/01/02;0400 UTC;0.0;921.4;921.9;921.4;0.0;20.4;19.0;20.6;20.3;19.5;19.0;94.0;92.0;92.0;;;
2020/01/02;0500 UTC;0.0;921.1;921.4;921.1;0.0;20.3;19.0;20.6;20.0;19.2;18.6;93.0;90.0;92.0;;;
2020/01/02;0600 UTC;0.0;920.9;921.1;920.9;0.0;19.9;18.8;20.5;19.9;19.1;18.7;93.0;91.0;93.0;;;
2020/01/02;0700 UTC;0.0;920.9;921.0;920.8;0.0;19.5;18.2;20.0;19.5;18.8;18.2;93.0;92.0;92.0;;;
2020/01/02;0800 UTC;0.0;921.5;921.5;920.9;0.0;19.2;18.2;19.6;18.8;18.3;17.7;94.0;92.0;94.0;;;
2020/01/02;0900 UTC;0.0;922.5;922.5;921.5;39.9;19.9;18.7;19.9;19.1;18.7;17.7;94.0;91.0;93.0;;;
2020/01/02;1000 UTC;0.0;922.9;922.9;922.5;251.9;21.4;19.5;21.4;19.6;19.6;18.1;93.0;87.0;89.0;;;
