Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;1005.8;1005.8;1005.2;;23.9;21.2;24.9;23.9;22.0;21.2;85.0;83.0;85.0;156;1.6;0.4
2020/01/01;0100 UTC;0.0;1006.6;1006.6;1005.8;;23.1;20.8;24.0;23.1;21.5;20.7;87.0;85.0;87.0;134;1.5;0.5
2020/01/01;0200 UTC;0.0;1006.7;1006.9;1006.6;;22.6;20.3;23.2;22.5;20.8;20.3;87.0;87.0;87.0;148;1.5;0.4
2020/01/01;0300 UTC;0.0;1006.5;1006.8;1006.5;;22.1;20.0;22.6;22.1;20.4;19.9;88.0;87.0;88.0;121;1.9;0.6
2020/01/01;0400 UTC;0.0;1006.0;1006.5;1006.0;;21.8;19.8;22.3;21.7;20.2;19.7;88.0;88.0;88.0;178;1.6;0.3
2020/01/01;0500 UTC;0.0;1005.4;1006.0;1005.4;;21.5;19.5;21.9;21.4;19.8;19.4;88.0;88.0;88.0;96;1.6;0.3
2020/01/01;0600 UTC;0.0;1005.2;1005.4;1005.1;;21.3;19.3;21.6;21.3;19.6;19.3;88.0;88.0;88.0;115;1.5;0.1
2020/01/01;0700 UTC;0.0;1005.3;1005.3;1005.1;;21.1;19.2;21.4;21.0;19.5;19.1;89.0;88.0;89.0;119;3.7;0.0
2020/01/01;0800 UTC;0.0;1005.3;1005.4;1005.2;;20.9;18.9;21.5;20.8;19.5;18.9;89.0;89.0;89.0;197;1.9;0.0
2020/01/01;0900 UTC;0.0;1006.0;1006.0;1005.3;100.1;21.7;19.7;21.8;20.8;19.8;18.9;89.0;89.0;89.0;148;1.9;0.5
2020/01/01;1000 UTC;0.0;1005.7;1006.1;1005.7;628.7;25.4;22.0;25.4;21.7;22.2;19.7;89.0;82.0;82.0;197;2.6;0.6
2020/01/01;1100 UTC;0.0;1005.4;1005.7;1005.4;1451.4;30.6;17.4;30.6;25.4;22.3;16.5;82.0;44.0;45.0;65;6.2;2.3
2020/01/01;1200 UTC;0.0;1005.2;1005.4;1005.1;2318.6;32.1;16.6;32.1;30.4;17.8;15.1;46.0;36.0;40.0;81;8.1;2.1
2020/01/01;1300 UTC;0.0;1004.8;1005.2;1004.8;3076.8;33.9;16.0;34.1;32.1;17.6;14.8;41.0;31.0;34.0;20;5.2;1.6
2020/01/01;1400 UTC;0.0;1004.4;1004.8;1004.4;3505.9;34.6;15.0;34.6;33.7;17.0;14.2;37.0;30.0;31.0;279;5.4;2.0
2020/01/01;1500 UTC;0.0;1003.8;1004.4;1003.8;3758.2;35.1;16.3;35.6;34.5;18.2;14.3;37.0;29.0;33.0;295;4.8;2.4
2020/01/01;1600 UTC;0.0;1002.9;1003.8;1002.9;3747.5;36.0;14.7;36.5;35.1;18.1;13.6;35.0;26.0;28.0;54;4.5;1.0
2020/01/01;1700 UTC;0.0;1002.0;1002.9;1002.0;3583.8;36.6;14.7;36.9;36.0;17.8;14.1;34.0;27.0;27.0;302;4.7;1.6
2020/01/01;1800 UTC;0.0;1000.9;1002.0;1000.9;3189.8;36.3;18.3;37.1;35.7;19.0;14.0;37.0;26.0;35.0;117;6.2;3.0
2020/01/01;1900 UTC;0.0;1000.3;1000.9;1000.3;1872.3;34.1;18.8;36.7;32.5;20.4;15.8;49.0;29.0;41.0;141;6.2;1.8
2020/01/01;2000 UTC;0.0;1002.7;1002.8;1000.2;372.0;28.8;16.7;35.3;28.6;19.7;16.6;51.0;36.0;48.0;325;13.5;5.0
2020/01/01;2100 UTC;0.0;1001.7;1003.1;1001.7;450.2;27.4;17.2;29.0;25.8;18.6;16.3;64.0;47.0;54.0;45;11.9;2.0
2020/01/01;2200 UTC;0.0;1002.2;1002.2;1001.6;70.2;25.3;18.2;27.5;25.3;18.4;17.2;65.0;54.0;65.0;103;5.2;1.0
2020/01/01;2300 UTC;0.0;1003.2;1003.2;1002.2;;24.6;18.5;25.4;24.5;18.7;18.2;70.0;65.0;69.0;63;2.5;1.2
2020/01/02;0000 UTC;0.0;1003.7;1003.7;1003.2;;24.6;18.7;26.0;24.2;19.1;18.1;72.0;62.0;70.0;35;2.7;1.2
2020/01/02;0100 UTC;0.0;1004.4;1004.4;1003.7;;22.3;19.4;24.8;22.3;19.5;18.7;84.0;69.0;84.0;131;2.1;0.2
2020/01/02;0200 UTC;0.0;1004.4;1004.6;1004.4;;22.2;19.6;22.6;22.1;19.7;19.3;85.0;83.0;85.0;130;1.5;0.4
2020/01/02;0300 UTC;0.0;1003.3;1004.4;1003.3;;21.9;19.4;22.3;21.9;19.7;19.3;86.0;85.0;86.0;220;1.8;0.1
2020/01/02;0400 UTC;0.0;1003.3;1003.3;1003.1;;21.9;19.6;22.3;21.7;19.8;19.2;87.0;85.0;87.0;114;1.6;0.5
2020/01/02;0500 UTC;0.0;1002.7;1003.3;1002.7;;21.6;19.4;22.1;21.5;19.8;19.3;88.0;87.0;88.0;120;1.5;0.2
