Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;1004.7;1004.7;1004.3;;25.9;20.2;26.6;25.9;20.3;19.7;71.0;66.0;71.0;79.0;5.4;2.5
2020/01/01;0100 UTC;0.0;1005.4;1005.4;1004.7;;24.4;21.1;25.9;24.4;21.1;20.2;82.0;71.0;82.0;105.0;4.8;0.9
2020/01/01;0200 UTC;0.0;1005.6;1005.6;1005.4;;23.1;21.4;24.5;23.0;21.4;20.9;90.0;82.0;90.0;19.0;2.5;0.4
2020/01/01;0300 UTC;0.0;1005.4;1005.7;1005.4;;22.8;21.5;23.1;22.8;21.7;21.4;93.0;90.0;92.0;72.0;1.5;0.4
2020/01/01;0400 UTC;0.0;1005.0;1005.5;1005.0;;22.4;21.5;22.8;22.4;21.7;21.4;94.0;92.0;94.0;353.0;1.2;0.2
2020/01/01;0500 UTC;0.0;1004.4;1005.0;1004.3;;22.0;21.2;22.5;21.9;21.6;21.1;95.0;94.0;95.0;70.0;1.1;0.3
2020/01/01;0600 UTC;0.0;1004.2;1004.5;1004.2;;21.7;21.0;22.0;21.7;21.3;21.0;96.0;95.0;96.0;97.0;1.1;0.4
2020/01/01;0700 UTC;0.0;1004.3;1004.3;1004.2;;21.6;20.9;22.1;21.5;21.4;20.9;96.0;96.0;96.0;314.0;0.9;0.3
2020/01/01;0800 UTC;0.0;1004.8;1004.8;1004.3;;21.3;20.7;21.6;21.2;21.0;20.6;96.0;96.0;96.0;301.0;1.1;0.6
2020/01/01;0900 UTC;0.0;1005.3;1005.3;1004.8;135.2;22.4;21.8;22.5;21.3;21.9;20.7;97.0;96.0;96.0;181.0;1.1;0.3
2020/01/01;1000 UTC;0.0;1005.3;1005.3;1005.2;852.7;25.9;21.9;26.0;22.4;23.1;21.6;96.0;78.0;78.0;113.0;1.4;0.5
2020/01/01;1100 UTC;0.0;1005.5;1005.6;1005.3;1767.6;27.1;20.5;27.5;25.3;21.9;20.5;79.0;67.0;67.0;171.0;2.6;1.0
2020/01/01;1200 UTC;0.0;1005.3;1005.6;1005.3;2367.1;27.9;21.1;28.4;26.8;21.9;20.2;70.0;65.0;66.0;172.0;4.1;2.4
2020/01/01;1300 UTC;0.0;1004.9;1005.3;1004.9;2312.5;29.7;21.1;29.7;27.9;22.3;20.0;69.0;58.0;60.0;207.0;4.8;2.3
2020/01/01;1400 UTC;0.0;1004.0;1005.0;1003.9;2977.8;30.6;20.0;31.0;29.2;21.7;19.6;61.0;53.0;53.0;223.0;4.8;2.3
2020/01/01;1500 UTC;0.0;1003.3;1003.9;1003.3;3328.7;31.2;21.0;31.7;30.2;21.5;19.5;57.0;50.0;55.0;133.0;4.0;2.1
2020/01/01;1600 UTC;0.0;1002.5;1003.3;1002.5;2428.9;32.4;20.0;32.6;30.6;21.0;19.3;56.0;48.0;48.0;172.0;4.1;1.7
2020/01/01;1700 UTC;0.0;1001.4;1002.5;1001.4;2528.8;33.6;20.6;33.6;31.5;21.2;19.0;51.0;43.0;47.0;93.0;4.1;1.8
2020/01/01;1800 UTC;0.0;1000.5;1001.4;1000.5;2470.7;33.2;20.6;33.6;32.3;21.1;18.7;51.0;44.0;48.0;90.0;4.4;1.8
2020/01/01;1900 UTC;0.0;999.7;1000.5;999.7;1859.3;33.3;19.9;33.5;32.2;21.2;19.6;51.0;45.0;45.0;103.0;4.1;2.0
2020/01/01;2000 UTC;0.0;999.0;999.7;999.0;1169.3;33.0;20.0;33.7;32.2;21.1;19.6;50.0;45.0;47.0;90.0;4.1;1.6
2020/01/01;2100 UTC;0.0;999.4;999.4;998.9;231.3;30.3;20.8;33.0;30.3;20.9;20.1;57.0;47.0;57.0;66.0;6.1;2.4
2020/01/01;2200 UTC;0.0;1000.2;1000.3;999.4;19.1;28.9;20.2;30.3;28.9;21.2;20.1;60.0;57.0;59.0;72.0;7.0;3.1
2020/01/01;2300 UTC;0.0;1001.3;1001.3;1000.3;;27.7;20.5;29.0;27.7;20.8;20.2;65.0;59.0;65.0;68.0;5.7;1.8
2020/01/02;0000 UTC;0.0;1002.0;1002.0;1001.3;;26.7;21.0;27.7;26.6;21.1;20.5;72.0;65.0;71.0;16.0;4.1;0.2
2020/01/02;0100 UTC;0.0;1002.4;1002.4;1001.9;;26.1;21.5;26.7;25.9;21.9;21.1;78.0;71.0;76.0;21.0;2.3;0.7
2020/01/02;0200 UTC;0.0;1002.2;1002.5;1002.2;;25.7;22.0;26.5;25.7;22.0;21.2;80.0;73.0;80.0;32.0;2.5;0.7
2020/01/02;0300 UTC;0.0;1002.0;1002.2;1002.0;;25.0;22.8;25.7;25.0;22.8;21.8;88.0;80.0;88.0;355.0;2.5;0.5
2020/01/02;0400 UTC;0.0;1001.4;1002.0;1001.3;;24.6;22.7;25.1;24.6;23.1;22.6;90.0;87.0;89.0;292.0;2.3;0.5
2020/01/02;0500 UTC;0.0;1001.4;1001.4;1001.3;;24.1;22.8;24.6;24.1;22.8;22.6;92.0;89.0;92.0;42.0;1.3;0.6
2020/01/02;0600 UTC;0.0;1001.2;1001.5;1001.2;;24.5;21.9;25.7;24.0;22.9;21.4;93.0;78.0;86.0;278.0;2.9;0.8
2020/01/02;0700 UTC;0.0;1001.6;1001.6;1001.2;;24.0;22.0;24.6;24.0;22.2;21.9;89.0;86.0;89.0;312.0;3.3;0.7
2020/01/02;0800 UTC;0.0;1001.9;1001.9;1001.5;;24.2;21.3;25.6;23.9;22.0;20.5;89.0;74.0;84.0;259.0;3.9;1.4
