Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;903.6;903.6;903.1;;21.6;17.5;21.6;20.8;17.8;17.5;83.0;78.0;78.0;268.0;5.1;1.4
2020/01/01;0100 UTC;0.0;904.1;904.1;903.6;;21.1;17.2;21.8;20.8;17.7;17.2;82.0;76.0;78.0;277.0;3.8;1.2
2020/01/01;0200 UTC;0.0;904.4;904.4;904.1;;20.9;17.4;21.6;20.5;17.5;17.1;83.0;76.0;80.0;263.0;3.2;0.8
2020/01/01;0300 UTC;0.0;903.9;904.4;903.9;;20.6;17.2;20.9;20.2;17.5;17.2;84.0;80.0;81.0;288.0;4.5;0.6
2020/01/01;0400 UTC;0.0;903.5;903.9;903.4;;20.8;17.2;20.9;20.1;17.6;17.2;84.0;80.0;80.0;264.0;4.9;1.5
2020/01/01;0500 UTC;0.0;902.9;903.5;902.9;;20.5;17.0;20.9;20.5;17.3;16.9;81.0;78.0;81.0;270.0;5.8;1.2
2020/01/01;0600 UTC;0.0;902.5;902.9;902.5;;20.7;17.1;20.8;20.2;17.3;17.0;82.0;79.0;80.0;248.0;4.4;1.3
2020/01/01;0700 UTC;0.0;902.7;902.7;902.5;;20.4;17.2;20.7;19.8;17.2;16.9;84.0;80.0;82.0;272.0;4.7;1.6
2020/01/01;0800 UTC;0.0;903.2;903.2;902.7;;19.6;17.2;20.4;19.3;17.2;16.9;88.0;82.0;86.0;214.0;4.7;1.0
2020/01/01;0900 UTC;0.0;903.5;903.5;903.1;110.2;20.5;17.4;20.5;19.6;17.6;17.2;86.0;83.0;83.0;236.0;4.4;1.0
2020/01/01;1000 UTC;0.0;903.6;903.7;903.4;560.5;21.3;17.5;21.4;20.5;17.8;17.3;83.0;78.0;79.0;274.0;5.6;1.3
2020/01/01;1100 UTC;0.0;903.6;903.7;903.5;1369.1;21.8;17.7;22.6;21.3;18.1;17.3;79.0;73.0;78.0;133.0;6.2;2.2
2020/01/01;1200 UTC;0.0;903.4;903.6;903.4;2470.6;22.7;18.2;22.7;21.6;18.2;17.4;79.0;74.0;76.0;151.0;7.1;1.8
2020/01/01;1300 UTC;0.0;902.9;903.4;902.8;3221.9;24.6;18.8;24.6;22.7;19.1;17.8;76.0;70.0;70.0;228.0;5.8;1.2
2020/01/01;1400 UTC;0.0;902.5;902.9;902.5;3612.3;26.1;18.0;26.7;24.6;19.7;18.0;72.0;60.0;61.0;84.0;4.8;1.4
2020/01/01;1500 UTC;0.0;902.0;902.5;902.0;3695.5;27.2;18.9;27.4;26.0;19.4;16.8;65.0;54.0;60.0;121.0;5.2;2.0
2020/01/01;1600 UTC;0.0;901.5;902.0;901.5;2733.6;27.4;19.2;27.6;25.8;19.9;17.8;66.0;55.0;61.0;98.0;5.3;1.5
2020/01/01;1700 UTC;0.0;901.0;901.5;901.0;1740.0;26.0;20.6;28.2;26.0;20.6;17.9;72.0;55.0;72.0;133.0;3.4;0.0
2020/01/01;1800 UTC;0.0;900.2;901.0;900.2;557.6;25.2;20.1;26.3;25.2;21.0;19.5;75.0;67.0;73.0;2.0;2.6;0.1
2020/01/01;1900 UTC;2.6;899.8;900.5;899.8;600.1;21.5;20.2;25.2;20.0;21.6;18.2;95.0;71.0;92.0;245.0;3.6;0.0
2020/01/01;2000 UTC;0.0;900.0;900.0;899.4;215.4;20.8;19.1;22.1;20.8;21.1;19.1;95.0;89.0;90.0;243.0;4.7;0.6
2020/01/01;2100 UTC;3.0;900.0;900.5;899.9;77.7;19.6;18.8;20.9;19.5;19.2;18.5;96.0;89.0;96.0;206.0;3.7;0.1
2020/01/01;2200 UTC;0.0;901.0;901.0;899.9;49.1;18.8;18.0;19.8;18.8;19.2;18.0;96.0;95.0;95.0;251.0;2.8;0.9
2020/01/01;2300 UTC;0.0;901.2;901.2;901.0;;18.6;17.9;19.3;18.6;18.4;17.7;96.0;94.0;96.0;269.0;3.0;0.0
2020/01/02;0000 UTC;0.0;901.8;901.8;901.2;;18.3;17.8;18.8;18.3;18.3;17.8;97.0;96.0;97.0;254.0;0.0;0.0
2020/01/02;0100 UTC;0.0;902.3;902.4;901.8;;18.7;18.2;19.0;17.9;18.5;17.4;98.0;97.0;97.0;207.0;0.0;0.0
2020/01/02;0200 UTC;0.0;902.3;902.6;902.3;;18.5;17.8;18.8;18.4;18.2;17.7;97.0;95.0;96.0;200.0;0.0;0.0
2020/01/02;0300 UTC;0.0;901.4;902.3;901.4;;18.5;17.8;18.7;18.4;18.0;17.7;96.0;95.0;96.0;172.0;2.6;1.2
2020/01/02;0400 UTC;0.0;901.1;901.4;901.1;;18.6;17.7;18.7;18.5;18.0;17.7;96.0;95.0;95.0;184.0;2.3;0.6
2020/01/02;0500 UTC;0.0;900.8;901.2;900.8;;18.4;17.7;18.7;18.4;17.9;17.7;96.0;95.0;96.0;242.0;3.1;1.0
2020/01/02;0600 UTC;0.0;900.6;900.8;900.5;;20.4;18.8;20.6;18.4;19.2;17.7;96.0;90.0;91.0;234.0;3.8;1.1
2020/01/02;0700 UTC;0.0;900.8;900.9;900.4;;21.6;18.6;21.6;20.3;19.0;18.6;91.0;83.0;83.0;279.0;6.2;2.2
