Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;1004.2;1004.2;1003.9;;24.0;19.7;24.3;22.8;20.4;19.2;82.0;77.0;77.0;80.0;3.5;1.9
2020/01/01;0100 UTC;0.0;1004.9;1004.9;1004.2;;24.7;20.6;24.7;23.5;20.9;19.6;82.0;77.0;78.0;58.0;3.8;1.2
2020/01/01;0200 UTC;0.0;1005.0;1005.1;1004.9;;26.5;20.7;26.5;23.4;21.0;19.3;81.0;70.0;70.0;53.0;4.0;1.6
2020/01/01;0300 UTC;0.0;1004.7;1005.0;1004.7;;26.2;20.3;27.1;26.1;20.7;20.2;70.0;68.0;70.0;63.0;4.3;1.7
2020/01/01;0400 UTC;0.0;1004.4;1004.7;1004.4;;25.9;20.6;26.4;24.2;20.9;19.2;77.0;69.0;73.0;48.0;4.4;1.5
2020/01/01;0500 UTC;0.0;1003.7;1004.4;1003.7;;24.9;20.2;26.0;23.7;20.9;19.5;78.0;71.0;75.0;61.0;4.7;2.6
2020/01/01;0600 UTC;0.0;1003.3;1003.7;1003.3;;25.8;20.0;25.9;24.9;20.4;19.9;75.0;70.0;71.0;67.0;4.7;1.9
2020/01/01;0700 UTC;0.0;1003.4;1003.5;1003.3;;24.2;19.4;25.8;24.2;20.2;19.2;76.0;70.0;74.0;117.0;3.7;1.1
2020/01/01;0800 UTC;0.0;1003.7;1003.7;1003.4;;25.1;19.8;25.3;22.7;20.4;19.2;83.0;72.0;72.0;64.0;4.7;2.6
2020/01/01;0900 UTC;0.0;1004.1;1004.1;1003.7;148.0;25.0;19.5;25.7;25.0;19.9;19.3;72.0;70.0;72.0;64.0;4.7;1.3
2020/01/01;1000 UTC;0.0;1004.0;1004.1;1003.9;668.2;27.7;20.3;27.7;24.9;20.5;19.4;73.0;64.0;64.0;54.0;5.3;1.4
2020/01/01;1100 UTC;0.0;1004.0;1004.1;1003.9;1573.7;26.7;19.4;27.8;25.7;20.2;19.0;69.0;61.0;64.0;91.0;6.0;2.5
2020/01/01;1200 UTC;0.0;1003.7;1004.0;1003.6;2528.8;30.1;19.5;30.2;26.4;20.1;19.0;66.0;51.0;53.0;71.0;6.2;2.6
2020/01/01;1300 UTC;0.0;1003.4;1003.7;1003.4;3253.0;26.2;19.4;31.8;26.2;19.8;18.4;66.0;46.0;66.0;90.0;8.1;5.5
2020/01/01;1400 UTC;0.0;1003.3;1003.5;1003.3;3711.9;28.0;20.2;28.2;25.6;20.5;19.5;70.0;62.0;63.0;96.0;8.3;4.1
2020/01/01;1500 UTC;0.0;1002.8;1003.3;1002.8;3843.5;26.4;19.6;29.5;26.4;20.7;19.6;66.0;57.0;66.0;95.0;7.4;4.3
2020/01/01;1600 UTC;0.0;1002.2;1002.8;1002.2;3641.3;26.1;19.9;26.9;25.6;20.4;19.7;71.0;66.0;69.0;67.0;8.9;4.6
2020/01/01;1700 UTC;0.0;1001.7;1002.2;1001.7;3624.8;27.0;20.0;27.3;26.0;20.4;19.6;70.0;65.0;66.0;92.0;11.8;4.2
2020/01/01;1800 UTC;0.0;1001.0;1001.8;1001.0;3096.0;27.3;19.8;27.8;26.6;21.1;19.6;68.0;62.0;63.0;86.0;8.3;4.4
2020/01/01;1900 UTC;0.0;1000.4;1001.0;1000.4;2393.5;27.0;19.7;27.4;26.1;20.0;19.3;68.0;63.0;65.0;70.0;7.8;2.5
2020/01/01;2000 UTC;0.0;1000.1;1000.4;999.8;1281.3;26.0;19.8;27.5;25.7;20.0;19.5;69.0;63.0;69.0;90.0;10.3;4.2
