Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;947.7;947.7;947.0;;26.2;19.0;27.6;26.2;20.4;19.0;69.0;62.0;65.0;68.0;5.8;2.8
2020/01/01;0100 UTC;0.0;948.1;948.2;947.7;;25.9;18.8;26.2;25.4;19.1;18.7;68.0;64.0;65.0;93.0;5.6;1.2
2020/01/01;0200 UTC;0.0;947.8;948.1;947.7;;26.0;18.3;26.2;25.5;18.9;17.8;66.0;60.0;63.0;166.0;2.1;0.0
2020/01/01;0300 UTC;0.0;947.6;948.1;947.6;;26.0;18.8;26.4;25.4;18.8;17.7;65.0;59.0;65.0;354.0;4.5;1.6
2020/01/01;0400 UTC;0.0;947.0;947.6;947.0;;25.8;19.1;26.1;25.7;19.1;18.8;67.0;64.0;66.0;300.0;3.0;1.3
2020/01/01;0500 UTC;0.0;946.5;947.0;946.5;;25.9;19.1;25.9;25.3;19.3;19.0;69.0;66.0;66.0;317.0;4.3;1.6
2020/01/01;0600 UTC;0.0;946.3;946.5;946.2;;25.6;18.9;26.0;25.4;19.1;18.9;68.0;65.0;67.0;10.0;4.9;1.8
2020/01/01;0700 UTC;0.0;946.4;946.4;946.2;;25.0;19.7;25.7;24.9;19.7;18.9;73.0;67.0;72.0;352.0;4.9;0.9
2020/01/01;0800 UTC;0.0;946.4;946.4;946.2;;23.7;20.2;25.0;23.5;20.2;19.6;80.0;73.0;80.0;88.0;3.1;0.3
2020/01/01;0900 UTC;0.0;946.8;946.9;946.4;22.9;23.5;20.2;24.3;23.3;20.4;19.9;82.0;78.0;82.0;85.0;1.2;0.3
2020/01/01;1000 UTC;0.0;947.2;947.3;946.8;486.5;25.6;20.6;25.6;23.5;20.8;20.3;82.0;73.0;74.0;62.0;1.4;0.6
2020/01/01;1100 UTC;0.0;947.4;947.4;947.1;1152.1;26.8;20.8;27.9;25.3;21.2;19.8;75.0;64.0;70.0;75.0;2.4;1.0
2020/01/01;1200 UTC;0.0;947.7;947.7;947.4;1396.8;28.1;21.5;28.1;25.8;21.9;20.5;75.0;67.0;67.0;80.0;2.9;0.8
2020/01/01;1300 UTC;0.0;947.4;947.7;947.4;2942.3;30.1;21.5;30.1;27.8;22.1;20.6;68.0;60.0;60.0;87.0;3.1;0.7
2020/01/01;1400 UTC;0.0;947.2;947.5;947.1;3198.5;30.2;21.0;31.3;29.9;22.5;20.4;63.0;54.0;58.0;43.0;4.4;1.3
2020/01/01;1500 UTC;0.0;946.7;947.2;946.7;2930.6;31.4;21.8;32.1;30.1;22.7;19.7;62.0;52.0;57.0;10.0;6.8;3.1
2020/01/01;1600 UTC;0.0;945.7;946.7;945.6;4057.0;31.9;20.8;32.5;31.2;22.9;19.7;59.0;48.0;52.0;38.0;9.1;3.1
2020/01/01;1700 UTC;0.0;944.8;945.8;944.8;2840.5;30.8;20.4;32.5;30.3;21.4;19.5;55.0;47.0;54.0;220.0;7.1;2.7
2020/01/01;1800 UTC;0.0;945.4;945.4;944.6;173.6;25.3;18.6;30.8;25.3;20.4;18.2;67.0;53.0;66.0;265.0;9.1;3.6
2020/01/01;1900 UTC;0.0;945.2;945.8;944.7;133.8;24.5;18.5;25.6;24.3;20.4;18.5;77.0;66.0;69.0;350.0;9.1;4.2
2020/01/01;2000 UTC;0.2;945.0;945.2;944.5;186.5;23.4;19.5;24.6;23.0;20.0;18.5;81.0;69.0;79.0;205.0;8.8;2.6
2020/01/01;2100 UTC;0.0;945.1;945.5;945.0;237.0;23.2;21.0;23.8;23.1;21.0;19.3;88.0;76.0;88.0;127.0;6.8;1.9
