Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;987.8;987.8;986.7;;27.4;21.3;27.4;27.0;22.3;21.2;75.0;70.0;70.0;258.0;5.9;4.0
2020/01/01;0100 UTC;0.0;988.2;988.2;987.7;;24.5;21.9;27.4;24.4;22.1;21.4;86.0;70.0;86.0;233.0;8.4;1.2
2020/01/01;0200 UTC;0.0;988.5;988.5;988.2;;24.8;22.2;24.8;24.5;22.2;22.0;86.0;85.0;85.0;237.0;3.5;2.3
2020/01/01;0300 UTC;0.0;988.3;988.5;988.3;;24.8;21.5;25.2;24.7;22.2;21.4;86.0;80.0;82.0;213.0;5.8;4.2
2020/01/01;0400 UTC;0.0;988.1;988.3;988.0;;23.6;20.4;24.8;23.6;21.7;20.4;84.0;82.0;82.0;215.0;7.1;4.6
2020/01/01;0500 UTC;0.0;988.1;988.1;987.9;;22.7;20.4;23.6;22.7;20.5;20.2;87.0;82.0;87.0;237.0;6.2;3.2
2020/01/01;0600 UTC;0.0;987.8;988.1;987.8;;22.8;20.4;22.8;22.5;20.5;20.2;87.0;86.0;86.0;223.0;4.1;2.5
2020/01/01;0700 UTC;0.0;988.1;988.1;987.9;;23.0;20.9;23.1;22.8;20.9;20.4;88.0;86.0;88.0;231.0;4.6;3.2
2020/01/01;0800 UTC;0.0;988.3;988.3;988.0;0.0;22.9;20.9;23.0;22.8;20.9;20.7;89.0;88.0;88.0;225.0;5.2;2.6
2020/01/01;0900 UTC;0.0;988.5;988.5;988.3;3.0;22.7;21.0;23.0;22.5;21.1;20.8;92.0;88.0;91.0;237.0;5.6;3.1
