Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;998.1;998.2;997.7;;23.4;22.0;23.7;23.2;22.3;21.9;93.0;91.0;92.0;14.0;3.5;1.4
2020/01/01;0100 UTC;0.0;998.0;998.3;998.0;;23.2;21.9;23.5;23.0;22.0;21.8;93.0;91.0;93.0;4.0;2.5;1.0
2020/01/01;0200 UTC;0.0;997.5;998.0;997.5;;22.5;21.4;23.2;22.5;21.9;21.4;94.0;93.0;94.0;173.0;3.1;0.9
2020/01/01;0300 UTC;0.0;997.1;997.6;997.1;;22.5;21.4;22.6;22.4;21.6;21.3;94.0;93.0;93.0;181.0;3.4;1.1
2020/01/01;0400 UTC;0.0;996.8;997.2;996.7;;22.6;21.5;22.8;22.4;21.7;21.3;94.0;93.0;94.0;76.0;3.0;1.4
2020/01/01;0500 UTC;0.0;996.5;996.8;996.3;;22.8;21.6;23.2;22.4;22.0;21.3;94.0;93.0;93.0;164.0;5.4;1.5
2020/01/01;0600 UTC;0.0;996.3;996.5;996.3;;22.7;21.6;22.9;22.6;21.8;21.5;94.0;93.0;94.0;60.0;3.1;1.6
2020/01/01;0700 UTC;0.0;996.3;996.5;996.2;;22.9;21.8;23.1;22.7;22.0;21.6;94.0;94.0;94.0;26.0;2.9;1.3
2020/01/01;0800 UTC;0.0;996.5;996.6;996.3;;23.0;22.0;23.0;22.8;22.0;21.8;94.0;94.0;94.0;42.0;2.5;1.2
2020/01/01;0900 UTC;0.0;996.7;996.7;996.5;15.8;23.1;22.0;23.2;22.9;22.1;21.8;94.0;93.0;93.0;199.0;3.0;1.5
2020/01/01;1000 UTC;0.0;997.2;997.2;996.7;310.2;24.6;22.6;24.6;23.1;22.7;22.1;93.0;89.0;89.0;241.0;3.0;1.0
2020/01/01;1100 UTC;0.0;997.8;997.8;997.2;783.9;26.4;23.2;26.4;24.6;23.6;22.4;90.0;83.0;83.0;240.0;2.4;1.3
2020/01/01;1200 UTC;0.0;997.6;997.8;997.6;2114.3;28.9;22.4;29.2;26.4;23.7;21.8;83.0;66.0;68.0;334.0;5.1;3.1
2020/01/01;1300 UTC;0.0;997.3;997.6;997.3;2659.0;30.5;23.1;30.5;28.9;23.2;22.0;70.0;63.0;65.0;317.0;6.3;3.2
2020/01/01;1400 UTC;0.0;996.7;997.3;996.7;2990.3;31.1;23.0;31.6;30.1;23.4;21.8;65.0;58.0;62.0;277.0;6.9;2.1
2020/01/01;1500 UTC;0.0;996.4;996.7;996.3;1405.4;28.6;23.7;31.1;26.9;24.0;21.8;81.0;60.0;75.0;158.0;8.4;2.4
2020/01/01;1600 UTC;8.2;996.1;996.9;996.1;1381.6;26.9;24.9;28.6;23.9;24.9;22.0;92.0;73.0;89.0;49.0;8.3;2.7
2020/01/01;1700 UTC;0.0;995.7;996.2;995.7;1976.8;28.5;23.7;28.8;26.8;25.2;23.3;88.0;74.0;75.0;66.0;5.5;2.1
2020/01/01;1800 UTC;0.0;995.2;995.7;995.2;1772.8;31.6;24.0;31.6;28.6;25.2;23.1;76.0;63.0;64.0;1.0;4.0;0.5
2020/01/01;1900 UTC;0.0;994.5;995.2;994.5;2047.0;31.7;21.4;32.4;31.1;24.4;20.6;65.0;52.0;55.0;212.0;7.7;3.7
2020/01/01;2000 UTC;0.0;994.5;994.6;994.4;1438.1;32.0;20.0;32.8;31.3;21.7;19.9;54.0;48.0;49.0;221.0;9.3;4.0
2020/01/01;2100 UTC;0.0;994.5;994.6;994.4;576.7;31.5;20.0;32.0;31.4;20.5;19.6;52.0;49.0;51.0;225.0;8.1;3.2
2020/01/01;2200 UTC;0.2;996.4;996.4;994.5;279.7;26.6;22.8;31.7;26.6;23.0;20.0;80.0;50.0;80.0;129.0;10.4;4.5
2020/01/01;2300 UTC;0.0;997.9;997.9;996.4;37.8;25.7;21.5;26.6;25.7;22.8;21.5;80.0;76.0;78.0;123.0;8.6;3.2
2020/01/02;0000 UTC;0.0;999.2;999.2;997.9;;25.1;20.9;25.7;25.1;21.5;20.9;78.0;77.0;77.0;128.0;9.1;4.1
2020/01/02;0100 UTC;0.2;1000.1;1000.1;999.2;;23.6;21.2;25.1;23.5;21.4;20.8;88.0;77.0;87.0;141.0;9.1;2.8
2020/01/02;0200 UTC;0.0;1000.5;1000.5;1000.0;;23.6;20.1;23.6;23.5;21.2;20.1;87.0;81.0;81.0;130.0;7.0;2.1
2020/01/02;0300 UTC;0.0;1000.6;1000.8;1000.5;;22.4;20.4;23.6;22.4;20.4;19.9;88.0;80.0;88.0;109.0;7.2;1.9
2020/01/02;0400 UTC;0.2;1000.5;1000.6;1000.5;;21.9;20.2;22.5;21.8;20.5;20.1;90.0;87.0;90.0;122.0;5.4;2.3
2020/01/02;0500 UTC;0.8;1000.6;1000.6;1000.5;;21.5;20.2;21.9;21.4;20.4;20.1;93.0;90.0;93.0;115.0;4.5;1.2
2020/01/02;0600 UTC;0.0;1000.4;1000.6;1000.4;;21.7;19.8;21.8;21.5;20.4;19.8;93.0;89.0;89.0;138.0;4.5;1.3
2020/01/02;0700 UTC;0.0;1000.8;1000.8;1000.3;;21.7;20.2;21.7;21.5;20.2;19.7;91.0;89.0;91.0;86.0;3.2;0.9
2020/01/02;0800 UTC;0.0;1001.4;1001.4;1000.8;;21.7;19.6;21.8;21.5;20.2;19.6;91.0;88.0;88.0;135.0;3.0;0.7
2020/01/02;0900 UTC;0.0;1002.1;1002.1;1001.4;10.1;21.6;19.6;21.8;21.5;19.6;19.3;88.0;87.0;88.0;110.0;3.2;1.6
2020/01/02;1000 UTC;0.0;1002.9;1002.9;1002.1;123.2;21.7;19.0;21.7;21.5;19.6;18.9;88.0;84.0;84.0;133.0;4.8;1.8
2020/01/02;1100 UTC;0.0;1003.4;1003.4;1002.9;340.5;21.2;19.7;21.8;21.0;19.7;18.9;91.0;83.0;91.0;88.0;4.9;2.3
2020/01/02;1200 UTC;0.2;1003.7;1003.8;1003.4;728.7;23.0;19.8;23.0;21.2;20.3;19.5;91.0;81.0;82.0;122.0;5.1;2.6
2020/01/02;1300 UTC;0.0;1003.8;1004.0;1003.7;1247.2;25.1;19.5;25.4;22.9;20.2;19.1;82.0;71.0;71.0;135.0;5.6;2.9
2020/01/02;1400 UTC;0.0;1003.8;1003.9;1003.8;1869.6;25.6;18.6;26.2;23.3;20.0;17.7;74.0;64.0;65.0;135.0;7.4;3.2
2020/01/02;1500 UTC;0.0;1003.9;1004.0;1003.8;3402.2;27.0;19.1;27.3;25.0;20.0;17.8;67.0;60.0;62.0;149.0;9.0;4.4
2020/01/02;1600 UTC;0.0;1003.8;1003.9;1003.7;3453.3;27.4;18.2;28.0;26.4;19.5;17.3;63.0;55.0;57.0;149.0;9.3;3.7
2020/01/02;1700 UTC;0.0;1003.5;1003.8;1003.5;2398.3;28.4;18.3;28.7;26.9;19.1;17.3;59.0;52.0;54.0;135.0;9.1;4.3
2020/01/02;1800 UTC;0.0;1003.6;1003.7;1003.3;2928.0;26.1;19.3;28.6;25.8;19.7;17.8;66.0;54.0;66.0;137.0;10.4;4.8
