Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;0.0;935.3;935.4;934.8;;22.9;20.8;23.2;22.9;20.8;20.0;88.0;83.0;88.0;80.0;2.5;1.4
2020/01/01;0100 UTC;0.0;935.4;935.5;935.3;;23.0;20.1;23.2;22.7;21.0;20.0;90.0;83.0;83.0;53.0;2.6;1.2
2020/01/01;0200 UTC;0.0;935.7;935.8;935.4;;23.2;19.6;23.4;23.0;20.1;19.6;83.0;80.0;80.0;58.0;2.6;0.9
2020/01/01;0300 UTC;0.0;935.4;935.7;935.4;;23.5;19.6;23.6;22.8;19.7;19.6;82.0;78.0;78.0;9.0;3.0;1.8
2020/01/01;0400 UTC;0.0;934.9;935.4;934.9;;23.6;19.3;23.6;23.4;19.6;19.3;78.0;77.0;77.0;1.0;4.0;1.9
2020/01/01;0500 UTC;0.0;934.5;935.0;934.5;;23.2;19.3;23.7;23.2;19.3;19.2;79.0;76.0;79.0;324.0;2.7;1.6
2020/01/01;0600 UTC;0.0;934.1;934.5;934.0;;22.4;19.4;23.3;22.0;19.4;19.3;85.0;78.0;83.0;291.0;2.7;2.2
2020/01/01;0700 UTC;0.0;934.0;934.2;934.0;;22.4;19.3;22.5;22.3;19.4;19.2;83.0;82.0;83.0;302.0;4.6;3.3
2020/01/01;0800 UTC;0.0;934.2;934.2;934.0;;22.8;19.3;22.8;22.4;19.3;19.1;83.0;80.0;81.0;296.0;5.0;3.3
2020/01/01;0900 UTC;0.0;934.7;934.7;934.2;1.1;22.2;19.6;22.8;22.2;19.6;19.3;85.0;81.0;85.0;286.0;5.1;3.1
