Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2020/01/01;0000 UTC;1.6;906.0;906.0;905.3;;19.7;18.8;20.5;19.7;18.8;18.6;95.0;89.0;94.0;32.0;4.3;1.2
2020/01/01;0100 UTC;0.2;906.0;906.1;905.8;;19.7;19.0;20.1;19.7;19.0;18.7;96.0;92.0;95.0;7.0;2.4;1.4
2020/01/01;0200 UTC;0.0;905.2;906.0;905.2;;20.1;18.8;20.1;19.6;19.0;18.8;96.0;92.0;92.0;36.0;2.2;1.0
2020/01/01;0300 UTC;0.0;904.5;905.2;904.5;;20.2;18.6;20.6;20.0;18.8;18.5;92.0;88.0;90.0;44.0;2.7;1.7
2020/01/01;0400 UTC;0.0;904.1;904.5;904.1;;19.6;18.4;20.9;19.5;18.6;18.2;93.0;84.0;93.0;103.0;2.5;1.3
2020/01/01;0500 UTC;0.0;903.9;904.1;903.9;;19.3;18.1;19.9;19.3;18.4;18.1;94.0;91.0;93.0;314.0;3.2;2.1
2020/01/01;0600 UTC;0.0;903.6;904.0;903.5;;18.4;18.0;19.3;18.4;18.2;17.9;97.0;93.0;97.0;325.0;3.8;1.1
2020/01/01;0700 UTC;0.0;903.4;903.6;903.3;;19.4;18.0;19.5;18.4;18.7;18.0;98.0;92.0;92.0;354.0;2.7;1.2
2020/01/01;0800 UTC;0.0;903.6;903.6;903.3;;19.3;17.6;19.6;18.5;18.4;17.4;97.0;88.0;90.0;320.0;2.4;1.7
2020/01/01;0900 UTC;0.0;904.0;904.0;903.6;21.8;19.2;17.5;19.5;18.9;17.6;17.4;91.0;88.0;90.0;348.0;3.1;1.3
2020/01/01;1000 UTC;0.2;904.3;904.4;904.0;593.0;20.2;18.6;20.2;19.2;18.6;17.5;92.0;87.0;91.0;330.0;3.1;1.6
2020/01/01;1100 UTC;0.0;904.7;904.7;904.3;773.9;21.0;18.9;21.0;20.2;19.1;18.3;91.0;87.0;88.0;308.0;3.5;2.3
2020/01/01;1200 UTC;0.0;905.0;905.0;904.5;1118.2;22.4;19.4;22.4;21.0;20.1;18.7;90.0;83.0;83.0;302.0;3.9;2.2
2020/01/01;1300 UTC;0.0;904.7;905.0;904.7;1958.1;23.5;19.5;24.0;22.3;20.5;19.1;85.0;77.0;78.0;266.0;6.0;2.5
2020/01/01;1400 UTC;0.0;904.7;904.8;904.6;2537.8;24.1;19.4;25.1;23.5;20.6;18.9;80.0;72.0;75.0;282.0;6.8;3.3
2020/01/01;1500 UTC;0.0;904.8;904.9;904.7;1359.4;23.7;19.7;24.4;23.5;20.2;19.4;81.0;75.0;79.0;271.0;6.2;2.3
2020/01/01;1600 UTC;0.0;903.9;904.8;903.8;2056.7;24.6;19.9;25.4;23.4;21.0;19.5;82.0;73.0;75.0;309.0;5.5;2.5
2020/01/01;1700 UTC;0.0;903.2;903.9;903.2;2231.0;25.2;19.9;25.9;24.6;20.8;19.6;77.0;70.0;72.0;295.0;6.2;3.5
2020/01/01;1800 UTC;0.0;902.6;903.2;902.6;2085.4;25.6;19.7;26.5;25.0;20.8;19.2;76.0;66.0;70.0;288.0;7.0;3.8
2020/01/01;1900 UTC;0.0;902.0;902.6;902.0;1589.8;25.1;19.9;27.2;25.1;21.0;19.6;73.0;66.0;73.0;257.0;7.6;1.8
2020/01/01;2000 UTC;0.0;901.8;902.2;901.8;477.4;23.7;20.8;25.1;22.8;21.6;20.0;89.0;73.0;84.0;237.0;4.7;1.6
2020/01/01;2100 UTC;0.0;901.6;901.8;901.4;1385.4;23.7;19.4;24.7;22.4;21.1;18.9;85.0;77.0;77.0;212.0;6.2;1.2
2020/01/01;2200 UTC;0.0;902.3;902.3;901.6;431.4;23.0;19.7;24.0;23.0;19.8;19.1;82.0;75.0;82.0;272.0;3.9;1.0
