Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;0.0;930.0;930.0;929.2;;22.9;19.4;24.8;22.3;19.5;18.3;83.0;67.0;81.0;188.0;2.2;0.2
2021/01/01;0100 UTC;0.0;930.8;930.8;930.0;;23.6;19.5;23.7;22.4;19.6;18.6;81.0;75.0;78.0;218.0;2.3;0.4
2021/01/01;0200 UTC;0.0;930.6;931.0;930.6;;22.5;19.4;23.6;22.2;19.6;18.9;83.0;77.0;83.0;214.0;1.9;0.6
2021/01/01;0300 UTC;0.0;930.3;930.6;930.2;;22.5;19.4;22.8;22.0;19.8;19.2;85.0;82.0;83.0;341.0;2.7;0.2
2021/01/01;0400 UTC;0.0;930.2;930.4;930.1;;22.1;19.5;22.7;21.7;19.7;19.2;87.0;82.0;85.0;200.0;5.5;3.0
2021/01/01;0500 UTC;0.0;929.6;930.2;929.6;;21.4;18.7;22.3;21.4;19.6;18.7;85.0;84.0;84.0;163.0;7.4;2.7
2021/01/01;0600 UTC;0.0;929.3;929.6;929.2;;20.8;18.5;21.6;20.6;18.8;18.4;87.0;84.0;87.0;207.0;5.2;1.5
2021/01/01;0700 UTC;0.0;929.1;929.3;928.9;;20.3;18.3;20.9;20.2;18.5;18.2;89.0;86.0;88.0;140.0;5.6;2.0
2021/01/01;0800 UTC;0.0;929.5;929.5;929.1;;19.7;18.1;20.3;19.7;18.4;18.1;91.0;88.0;91.0;203.0;3.0;1.5
2021/01/01;0900 UTC;0.0;930.1;930.1;929.5;8.2;19.6;18.2;19.8;19.5;18.3;18.1;92.0;91.0;92.0;118.0;2.0;1.2
2021/01/01;1000 UTC;0.0;930.9;930.9;930.1;495.5;21.8;18.6;21.9;19.6;19.1;18.3;92.0;82.0;82.0;168.0;2.8;1.9
2021/01/01;1100 UTC;0.0;931.1;931.2;930.8;1152.0;24.5;19.0;24.9;21.8;19.8;18.4;82.0;71.0;71.0;135.0;4.2;1.6
2021/01/01;1200 UTC;0.0;931.8;931.8;931.1;2059.6;26.3;19.8;26.7;24.5;20.1;18.6;73.0;65.0;67.0;145.0;4.8;1.4
2021/01/01;1300 UTC;0.0;931.7;931.9;931.7;2159.2;26.9;19.7;27.7;25.8;20.9;19.0;70.0;63.0;65.0;171.0;3.5;1.5
2021/01/01;1400 UTC;0.0;931.7;931.8;931.6;1973.4;28.0;19.6;28.1;26.9;20.8;19.2;66.0;60.0;60.0;174.0;4.5;1.3
2021/01/01;1500 UTC;0.0;930.9;931.7;930.9;2811.2;30.2;20.3;30.2;27.7;20.4;18.2;63.0;51.0;56.0;231.0;3.3;1.3
2021/01/01;1600 UTC;0.0;930.0;930.9;930.0;3266.4;30.0;19.2;31.0;29.4;21.0;18.0;57.0;48.0;52.0;195.0;5.6;2.9
2021/01/01;1700 UTC;0.0;928.9;930.0;928.9;3387.8;29.2;19.3;32.2;29.2;20.5;16.6;55.0;41.0;55.0;193.0;5.8;3.2
2021/01/01;1800 UTC;0.6;928.2;928.9;928.1;1681.6;28.8;18.9;29.2;23.4;19.9;15.4;63.0;52.0;55.0;63.0;10.5;1.4
2021/01/01;1900 UTC;0.0;928.0;928.3;927.9;1970.9;28.3;18.4;28.8;26.0;20.1;17.3;65.0;52.0;55.0;91.0;7.4;3.4
2021/01/01;2000 UTC;0.0;928.6;928.6;927.9;1331.6;25.9;19.1;28.8;25.9;19.8;17.9;66.0;53.0;66.0;110.0;7.5;4.2
2021/01/01;2100 UTC;0.0;929.5;929.5;928.6;660.6;23.4;18.2;25.9;23.4;19.1;16.4;73.0;58.0;73.0;84.0;7.1;3.3
2021/01/01;2200 UTC;1.2;930.2;930.2;929.5;50.8;21.2;18.8;23.6;21.2;18.9;18.0;86.0;72.0;86.0;9.0;7.5;2.9
2021/01/01;2300 UTC;0.0;930.1;930.5;930.1;;21.0;18.1;21.3;20.9;19.0;18.0;87.0;82.0;83.0;3.0;5.9;2.8
2021/01/02;0000 UTC;0.0;930.3;930.4;930.1;;20.9;17.2;21.2;20.8;18.1;17.2;83.0;80.0;80.0;19.0;5.7;1.6
2021/01/02;0100 UTC;0.0;930.8;930.8;930.3;;20.3;17.2;20.9;20.2;17.4;17.0;82.0;80.0;82.0;348.0;3.1;0.1
2021/01/02;0200 UTC;0.0;930.9;931.0;930.8;;20.3;17.3;20.4;19.7;17.4;17.0;86.0;82.0;83.0;354.0;1.5;0.4
2021/01/02;0300 UTC;0.0;930.5;931.0;930.5;;18.7;17.1;20.3;18.6;17.1;16.9;91.0;82.0;91.0;165.0;1.6;0.1
2021/01/02;0400 UTC;0.0;929.8;930.5;929.8;;18.6;17.2;19.0;18.6;17.5;17.1;91.0;91.0;91.0;232.0;1.4;0.6
2021/01/02;0500 UTC;0.0;929.1;929.8;929.1;;19.3;17.9;19.4;18.7;17.9;17.2;92.0;90.0;92.0;8.0;1.4;0.0
2021/01/02;0600 UTC;0.0;928.6;929.1;928.6;;19.0;17.5;19.3;19.0;17.9;17.5;92.0;91.0;91.0;129.0;1.5;0.2
2021/01/02;0700 UTC;0.0;928.7;928.8;928.6;;19.4;17.9;19.4;19.0;17.9;17.6;92.0;91.0;91.0;207.0;1.7;0.4
2021/01/02;0800 UTC;0.0;928.5;928.7;928.5;;19.4;18.0;19.5;19.4;18.1;17.9;92.0;91.0;92.0;218.0;1.7;0.5
2021/01/02;0900 UTC;0.0;928.5;928.5;928.3;4.4;19.7;18.0;19.8;19.3;18.3;18.0;92.0;90.0;90.0;18.0;2.5;1.0
2021/01/02;1000 UTC;0.0;928.7;928.8;928.5;149.7;20.4;17.8;20.4;19.7;18.0;17.7;90.0;85.0;86.0;355.0;3.1;1.4
2021/01/02;1100 UTC;0.0;928.9;928.9;928.7;1061.7;23.6;18.3;23.9;20.3;19.1;17.7;86.0;69.0;72.0;158.0;2.7;1.0
2021/01/02;1200 UTC;0.0;929.4;929.5;928.9;1951.4;25.1;18.0;26.1;23.3;19.0;17.1;75.0;60.0;65.0;176.0;3.0;1.5
2021/01/02;1300 UTC;0.0;929.5;929.5;929.4;2268.2;26.0;18.9;26.8;24.9;19.9;18.1;69.0;61.0;65.0;116.0;3.9;1.8
2021/01/02;1400 UTC;0.0;929.5;929.7;929.5;2110.7;26.8;19.0;27.2;25.7;19.4;18.1;66.0;59.0;62.0;129.0;4.4;1.9
2021/01/02;1500 UTC;0.0;929.2;929.5;929.2;3021.2;27.9;18.9;29.1;26.6;19.7;18.3;63.0;55.0;58.0;163.0;3.9;2.0
2021/01/02;1600 UTC;0.0;928.3;929.3;928.3;3270.9;29.4;17.8;29.8;27.3;20.0;17.5;62.0;49.0;50.0;154.0;3.9;1.1
2021/01/02;1700 UTC;0.0;927.3;928.3;927.3;2100.4;27.9;18.3;30.8;27.9;19.0;17.5;57.0;47.0;56.0;94.0;3.5;1.7
2021/01/02;1800 UTC;0.0;926.6;927.3;926.6;674.7;26.4;19.0;27.9;25.6;19.1;18.0;67.0;55.0;64.0;120.0;3.6;1.6
2021/01/02;1900 UTC;0.0;925.2;926.6;925.2;1642.5;27.7;17.5;29.7;26.4;20.3;17.3;65.0;52.0;54.0;44.0;5.1;1.6
2021/01/02;2000 UTC;0.0;925.1;925.3;924.9;1085.0;27.2;18.6;29.8;27.2;18.8;16.9;60.0;48.0;59.0;132.0;4.7;1.4
2021/01/02;2100 UTC;16.6;925.8;926.0;925.1;66.3;19.8;17.1;27.2;18.5;19.0;14.5;91.0;59.0;84.0;55.0;15.4;1.7
2021/01/02;2200 UTC;0.0;926.1;926.1;925.7;191.3;21.7;18.9;21.7;19.8;18.9;17.1;87.0;82.0;84.0;337.0;3.9;1.2
2021/01/02;2300 UTC;0.0;926.4;926.4;926.1;9.6;20.1;18.3;21.8;20.1;18.9;18.2;89.0;84.0;89.0;192.0;2.8;0.8
2021/01/03;0000 UTC;0.0;927.0;927.0;926.1;;20.0;18.3;20.2;19.8;18.4;18.0;90.0;89.0;90.0;105.0;2.8;0.2
2021/01/03;0100 UTC;0.0;927.5;927.6;927.0;;19.9;18.1;20.3;19.9;18.6;18.1;91.0;89.0;90.0;244.0;2.0;1.0
2021/01/03;0200 UTC;0.0;927.3;927.5;927.1;;19.6;18.1;20.5;19.5;18.6;17.9;91.0;88.0;91.0;156.0;2.9;0.4
2021/01/03;0300 UTC;0.0;926.3;927.4;926.3;;20.0;18.5;20.2;19.6;18.8;18.1;92.0;91.0;91.0;52.0;2.3;0.3
2021/01/03;0400 UTC;0.0;925.7;926.4;925.6;;19.7;18.3;20.0;19.4;18.4;17.9;92.0;91.0;91.0;311.0;1.9;0.4
2021/01/03;0500 UTC;0.0;925.5;925.8;925.4;;19.2;17.8;19.9;19.0;18.5;17.6;92.0;90.0;92.0;55.0;1.7;0.0
2021/01/03;0600 UTC;0.2;925.3;925.5;925.3;;18.9;17.6;19.5;18.8;18.2;17.5;92.0;92.0;92.0;271.0;1.4;0.9
2021/01/03;0700 UTC;0.0;925.5;925.5;925.2;;18.8;17.3;19.2;18.8;17.9;17.3;93.0;91.0;91.0;296.0;2.5;1.1
2021/01/03;0800 UTC;0.0;925.8;925.8;925.4;;18.7;17.2;19.2;18.3;17.7;16.7;92.0;90.0;92.0;2.0;1.9;0.3
