Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;0.0;920.7;920.7;919.9;;27.9;15.0;29.2;27.9;15.0;14.2;45.0;40.0;45.0;133.0;3.7;1.0
2021/01/01;0100 UTC;0.0;921.3;921.3;920.7;;27.0;14.3;27.8;27.0;15.3;14.0;47.0;43.0;46.0;120.0;4.5;2.7
2021/01/01;0200 UTC;0.0;921.3;921.4;921.3;;25.6;14.7;27.0;25.6;14.7;14.2;51.0;46.0;51.0;112.0;5.2;2.5
2021/01/01;0300 UTC;0.0;920.7;921.3;920.7;;26.0;14.6;26.1;25.6;14.7;14.5;51.0;49.0;49.0;103.0;4.6;1.4
2021/01/01;0400 UTC;0.0;920.5;920.7;920.5;;25.5;14.3;26.3;25.5;14.6;14.0;50.0;47.0;50.0;84.0;3.4;1.6
2021/01/01;0500 UTC;0.0;920.2;920.5;920.1;;25.2;14.3;25.6;24.4;14.6;14.0;54.0;49.0;51.0;59.0;4.5;2.3
2021/01/01;0600 UTC;0.0;919.8;920.2;919.7;;25.1;14.2;25.5;24.5;14.4;14.1;53.0;50.0;51.0;58.0;5.0;2.7
2021/01/01;0700 UTC;0.0;919.9;919.9;919.7;;24.6;13.5;25.2;24.5;14.2;13.5;51.0;49.0;50.0;67.0;6.3;3.1
2021/01/01;0800 UTC;0.0;920.7;920.7;919.9;;24.5;12.8;24.7;24.3;13.5;12.8;51.0;48.0;48.0;60.0;6.0;2.0
2021/01/01;0900 UTC;0.0;921.5;921.5;920.6;24.6;24.1;12.8;24.6;23.9;12.9;12.7;50.0;48.0;49.0;85.0;4.6;0.9
2021/01/01;1000 UTC;0.0;921.9;921.9;921.4;569.7;26.2;12.9;26.2;24.1;13.0;12.4;49.0;43.0;44.0;59.0;5.6;2.7
2021/01/01;1100 UTC;0.0;921.9;922.0;921.8;1634.3;28.2;12.4;28.2;26.2;12.7;12.2;44.0;37.0;38.0;70.0;7.0;3.8
