Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2022/01/01;0000 UTC;0.0;878.2;878.2;877.5;;19.4;17.9;19.6;19.4;17.9;17.2;91.0;87.0;91.0;9.0;6.9;2.8
2022/01/01;0100 UTC;0.0;878.8;878.8;878.2;;19.3;17.7;19.4;19.2;17.9;17.6;91.0;90.0;91.0;5.0;7.9;3.9
2022/01/01;0200 UTC;0.0;878.7;878.9;878.7;;19.1;17.7;19.5;19.1;17.8;17.6;92.0;89.0;92.0;16.0;8.8;4.6
2022/01/01;0300 UTC;0.0;878.2;878.7;878.2;;18.7;17.6;19.1;18.7;17.9;17.6;94.0;92.0;93.0;11.0;9.6;4.4
2022/01/01;0400 UTC;0.0;877.9;878.2;877.8;;18.4;17.4;18.8;18.4;17.6;17.3;94.0;92.0;93.0;2.0;9.1;4.4
2022/01/01;0500 UTC;0.0;877.6;877.9;877.5;;18.4;17.1;18.5;18.2;17.4;17.1;95.0;92.0;92.0;1.0;9.0;3.1
2022/01/01;0600 UTC;0.0;877.3;877.6;877.3;;18.2;16.9;18.5;18.2;17.1;16.9;92.0;91.0;92.0;359.0;6.6;3.2
2022/01/01;0700 UTC;0.0;877.3;877.3;877.2;;18.1;16.9;18.2;18.1;16.9;16.8;93.0;92.0;92.0;354.0;8.3;3.5
2022/01/01;0800 UTC;0.4;877.5;877.6;877.3;;18.1;17.1;18.2;18.1;17.2;16.8;94.0;92.0;94.0;357.0;7.7;3.3
2022/01/01;0900 UTC;0.0;877.8;877.8;877.5;6.3;18.1;17.1;18.2;18.1;17.2;17.1;94.0;94.0;94.0;353.0;7.2;3.4
2022/01/01;1000 UTC;0.0;878.4;878.4;877.8;125.1;18.3;17.1;18.3;18.1;17.2;17.0;94.0;92.0;93.0;355.0;8.8;4.3
2022/01/01;1100 UTC;0.0;879.0;879.0;878.4;492.0;19.0;17.3;19.0;18.3;17.4;17.1;93.0;89.0;89.0;355.0;8.9;5.0
2022/01/01;1200 UTC;0.0;879.5;879.5;879.0;1270.4;20.4;17.9;20.5;19.0;17.9;17.1;90.0;85.0;85.0;357.0;9.3;3.6
2022/01/01;1300 UTC;0.0;879.7;879.8;879.5;1297.1;20.6;17.9;21.0;20.2;18.3;17.4;86.0;82.0;85.0;6.0;9.2;3.8
2022/01/01;1400 UTC;0.2;879.5;879.7;879.5;1240.6;20.8;18.2;21.2;20.3;18.2;17.5;86.0;81.0;85.0;16.0;8.3;4.3
2022/01/01;1500 UTC;1.6;878.9;879.6;878.9;1233.2;20.5;18.5;20.9;19.3;19.1;17.1;92.0;83.0;89.0;344.0;9.6;2.9
2022/01/01;1600 UTC;1.0;878.2;878.9;878.2;1943.6;22.9;19.1;22.9;20.3;19.3;18.2;90.0;78.0;79.0;340.0;8.0;3.7
2022/01/01;1700 UTC;5.0;878.1;878.2;877.9;713.9;19.9;18.6;23.1;19.7;19.1;17.7;92.0;74.0;92.0;326.0;7.7;3.2
2022/01/01;1800 UTC;2.2;877.6;878.1;877.5;814.4;19.4;17.8;19.9;19.1;18.7;17.6;93.0;89.0;91.0;320.0;7.9;3.5
2022/01/01;1900 UTC;4.8;877.4;877.7;877.3;312.5;18.9;17.7;19.5;18.7;18.1;17.3;94.0;91.0;92.0;323.0;6.8;2.9
2022/01/01;2000 UTC;1.6;877.4;877.4;877.4;428.9;19.5;18.3;19.5;18.8;18.4;17.4;94.0;91.0;93.0;348.0;5.7;2.4
2022/01/01;2100 UTC;0.0;877.8;877.8;877.4;338.4;19.4;17.6;19.6;19.4;18.4;17.6;93.0;89.0;89.0;341.0;5.1;2.8
2022/01/01;2200 UTC;0.8;878.3;878.3;877.8;34.4;19.0;17.6;19.5;19.0;17.8;17.6;92.0;89.0;92.0;7.0;4.7;1.7
2022/01/01;2300 UTC;0.4;878.9;878.9;878.3;;19.1;18.0;19.1;18.8;18.1;17.5;94.0;92.0;93.0;22.0;4.6;2.6
