Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;0.0;908.3;908.3;907.8;;22.3;18.8;24.1;22.1;19.9;18.2;82.0;70.0;80.0;104.0;2.1;0.2
2021/01/01;0100 UTC;0.0;908.9;908.9;908.3;;21.7;18.6;23.0;21.2;19.3;18.6;86.0;79.0;83.0;147.0;3.0;0.0
2021/01/01;0200 UTC;0.0;908.9;909.0;908.8;;20.0;18.7;21.8;19.9;19.2;18.2;93.0;82.0;92.0;346.0;2.0;1.0
2021/01/01;0300 UTC;0.0;908.7;909.0;908.6;;21.0;18.3;22.1;20.0;19.2;18.0;92.0;80.0;84.0;295.0;2.0;0.2
2021/01/01;0400 UTC;0.0;908.2;908.7;908.2;;21.0;18.1;21.6;20.3;18.6;18.1;90.0;81.0;84.0;274.0;2.8;1.8
2021/01/01;0500 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0600 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0700 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0800 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0900 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1000 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1100 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1200 UTC;0.0;910.2;910.2;910.0;2053.3;24.9;20.5;24.9;22.5;21.0;19.4;87.0;76.0;77.0;205.0;4.2;0.9
2021/01/01;1300 UTC;;;;;;;;;;;;;;;;;
