Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;0.0;950.0;950.0;949.4;;26.0;12.5;27.0;26.0;12.6;12.2;43.0;40.0;43.0;129.0;3.2;0.9
2021/01/01;0100 UTC;0.0;950.4;950.4;950.0;;26.3;11.8;26.7;25.9;12.6;11.7;43.0;40.0;41.0;118.0;2.6;1.6
2021/01/01;0200 UTC;0.0;950.4;950.5;950.3;;25.6;12.2;26.5;25.5;12.3;11.4;44.0;39.0;43.0;141.0;3.4;1.6
2021/01/01;0300 UTC;0.0;950.3;950.4;950.3;;25.5;13.7;26.2;25.3;13.7;12.2;48.0;42.0;48.0;109.0;3.3;1.6
2021/01/01;0400 UTC;0.0;950.1;950.3;950.0;;25.0;14.0;25.7;25.0;14.0;13.6;50.0;47.0;50.0;100.0;5.9;2.8
2021/01/01;0500 UTC;0.0;950.1;950.2;950.1;;24.3;15.0;25.2;24.2;15.0;14.1;56.0;50.0;56.0;105.0;6.2;2.5
2021/01/01;0600 UTC;0.0;949.8;950.1;949.8;;23.2;15.6;24.3;23.2;15.6;15.0;62.0;56.0;62.0;112.0;6.0;2.9
2021/01/01;0700 UTC;0.0;950.3;950.3;949.8;;22.6;16.1;23.3;22.6;16.2;15.7;67.0;62.0;67.0;105.0;6.0;2.7
2021/01/01;0800 UTC;0.0;950.9;950.9;950.3;;22.0;16.5;22.6;21.8;16.5;16.1;72.0;67.0;71.0;111.0;5.9;2.9
2021/01/01;0900 UTC;0.0;951.4;951.4;950.8;261.9;22.5;16.8;22.5;21.7;16.8;16.4;72.0;70.0;70.0;109.0;7.0;4.1
