Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0100 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0200 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0300 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0400 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0500 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0600 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0700 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0800 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0900 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1000 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1100 UTC;0.0;988.8;;;157.6;23.8;22.0;;;;;;;89.0;10.0;;0.5
2021/01/01;1200 UTC;0.0;988.6;988.8;988.6;1156.9;27.0;22.2;27.0;23.8;23.2;22.0;89.0;75.0;75.0;202.0;4.0;1.1
2021/01/01;1300 UTC;0.0;988.2;988.6;988.2;1446.6;28.7;20.5;28.9;27.0;22.9;20.4;76.0;61.0;61.0;116.0;4.0;1.6
2021/01/01;1400 UTC;0.0;987.6;988.2;987.6;1889.9;30.9;19.9;30.9;28.5;21.7;19.2;62.0;51.0;52.0;77.0;5.4;2.4
2021/01/01;1500 UTC;0.0;986.6;987.6;986.6;2156.1;31.9;19.3;32.9;30.7;20.9;18.4;55.0;44.0;47.0;15.0;6.3;2.8
2021/01/01;1600 UTC;0.0;985.6;986.6;985.6;1795.6;32.9;18.0;33.6;31.7;19.5;17.2;48.0;38.0;41.0;23.0;6.3;2.5
2021/01/01;1700 UTC;0.0;984.6;985.6;984.6;2019.6;34.3;17.2;34.8;32.5;19.3;16.3;44.0;34.0;36.0;288.0;5.5;1.4
2021/01/01;1800 UTC;0.0;983.9;984.6;983.9;1629.9;34.9;15.7;35.5;33.7;17.8;15.5;37.0;31.0;32.0;137.0;5.4;1.4
2021/01/01;1900 UTC;0.0;983.2;983.9;983.2;1150.7;35.1;15.0;35.4;34.5;17.3;15.0;35.0;30.0;30.0;194.0;4.7;1.1
2021/01/01;2000 UTC;0.0;983.1;983.2;983.0;471.7;34.5;15.6;35.3;34.5;16.3;14.1;34.0;28.0;32.0;262.0;3.4;0.6
2021/01/01;2100 UTC;0.0;983.3;983.3;983.1;38.0;31.2;19.5;34.5;31.2;19.5;15.4;50.0;32.0;50.0;233.0;2.6;1.2
2021/01/01;2200 UTC;0.0;983.6;983.6;983.3;;29.1;21.2;31.2;29.1;21.5;19.3;62.0;49.0;62.0;199.0;2.0;1.6
2021/01/01;2300 UTC;0.0;984.5;984.5;983.6;;27.9;22.2;29.1;27.2;22.7;20.8;74.0;62.0;71.0;322.0;2.0;1.2
2021/01/02;0000 UTC;0.0;985.3;985.3;984.5;;27.2;22.1;28.4;26.9;22.7;21.9;78.0;68.0;74.0;109.0;4.0;1.8
2021/01/02;0100 UTC;0.0;986.0;986.1;985.1;;28.4;18.3;28.9;27.2;21.9;18.0;73.0;53.0;54.0;44.0;8.0;3.4
2021/01/02;0200 UTC;0.0;986.3;986.4;985.9;;28.1;18.5;28.8;28.1;18.7;18.0;56.0;52.0;56.0;23.0;6.2;3.7
2021/01/02;0300 UTC;0.0;986.3;986.4;986.2;;27.1;18.3;28.1;27.1;18.8;18.1;59.0;56.0;59.0;11.0;7.4;3.6
2021/01/02;0400 UTC;0.0;986.0;986.3;985.9;;26.4;17.9;27.1;26.4;18.3;17.7;60.0;58.0;60.0;27.0;6.4;2.9
2021/01/02;0500 UTC;0.0;985.7;986.0;985.6;;25.8;18.9;26.4;25.8;18.9;17.9;66.0;60.0;66.0;9.0;5.8;2.3
2021/01/02;0600 UTC;0.0;985.7;985.7;985.5;;25.6;19.3;25.8;25.6;19.4;18.9;69.0;65.0;68.0;9.0;5.0;2.6
2021/01/02;0700 UTC;0.0;985.8;985.8;985.6;;25.1;19.6;25.7;25.1;19.6;19.3;71.0;68.0;71.0;16.0;4.9;1.8
2021/01/02;0800 UTC;0.0;986.6;986.6;985.8;;24.4;19.7;25.1;24.4;19.8;19.6;75.0;71.0;75.0;4.0;3.2;1.1
2021/01/02;0900 UTC;0.0;987.2;987.2;986.6;27.9;24.5;20.3;24.5;24.0;20.3;19.6;78.0;75.0;77.0;20.0;2.5;1.0
2021/01/02;1000 UTC;0.0;987.3;987.3;987.0;208.3;25.4;19.8;25.4;24.5;20.3;19.8;77.0;71.0;71.0;18.0;2.9;1.6
2021/01/02;1100 UTC;0.0;987.4;987.4;987.3;595.0;26.4;19.4;26.6;25.4;19.9;19.1;71.0;64.0;66.0;345.0;3.8;1.7
2021/01/02;1200 UTC;0.0;987.2;987.4;987.2;818.2;27.4;19.3;27.8;26.4;19.8;18.9;66.0;60.0;61.0;38.0;4.0;1.8
2021/01/02;1300 UTC;0.0;986.8;987.3;986.8;1036.9;28.5;18.4;29.4;27.4;19.7;18.4;61.0;53.0;54.0;46.0;5.1;2.0
2021/01/02;1400 UTC;0.0;986.3;986.8;986.3;1756.5;30.4;18.3;30.6;28.4;19.4;18.0;56.0;48.0;48.0;14.0;5.2;1.9
2021/01/02;1500 UTC;0.0;985.0;986.3;985.0;2261.1;32.3;18.4;32.4;29.9;19.2;17.9;51.0;42.0;44.0;72.0;6.3;1.7
2021/01/02;1600 UTC;0.0;983.8;985.0;983.8;2086.9;33.3;18.1;33.5;32.1;18.8;17.2;45.0;38.0;41.0;37.0;5.5;2.6
2021/01/02;1700 UTC;0.0;982.8;983.8;982.8;1739.1;33.9;16.3;34.6;33.1;18.2;16.3;41.0;34.0;35.0;298.0;6.5;1.3
2021/01/02;1800 UTC;0.0;981.8;982.8;981.8;1591.3;35.0;16.2;35.2;33.8;17.7;15.5;37.0;32.0;33.0;318.0;4.5;1.2
2021/01/02;1900 UTC;0.0;981.5;981.8;981.4;808.6;35.1;16.1;35.7;34.6;16.8;15.3;34.0;30.0;32.0;291.0;6.7;1.0
2021/01/02;2000 UTC;0.0;981.5;981.5;981.3;555.7;34.8;15.7;35.6;34.7;17.2;14.8;35.0;30.0;32.0;237.0;2.5;1.2
2021/01/02;2100 UTC;0.0;981.5;981.5;981.4;117.3;32.5;17.4;34.8;32.4;19.6;15.2;44.0;32.0;40.0;191.0;2.1;0.6
2021/01/02;2200 UTC;0.0;981.6;981.7;981.5;;29.9;17.1;32.6;29.9;20.1;16.2;52.0;39.0;46.0;87.0;6.3;0.7
2021/01/02;2300 UTC;0.0;981.9;981.9;981.6;;28.6;17.8;29.9;28.5;18.4;17.2;53.0;46.0;52.0;93.0;2.0;1.3
2021/01/03;0000 UTC;0.0;982.9;982.9;981.9;;29.9;16.7;30.3;27.4;18.4;16.7;58.0;45.0;45.0;25.0;11.8;6.1
2021/01/03;0100 UTC;0.0;983.3;983.3;982.9;;28.5;17.5;29.9;28.4;17.6;16.7;52.0;45.0;52.0;18.0;11.8;5.7
2021/01/03;0200 UTC;0.0;983.7;983.7;983.2;;27.3;18.0;28.5;27.3;18.0;17.6;57.0;52.0;57.0;25.0;13.6;4.8
2021/01/03;0300 UTC;0.0;984.7;984.8;983.7;;26.3;19.2;27.3;26.2;19.3;18.0;65.0;57.0;65.0;13.0;9.6;4.0
2021/01/03;0400 UTC;0.0;984.8;984.8;984.6;;26.0;19.5;26.3;26.0;19.6;19.3;68.0;65.0;67.0;16.0;8.1;3.6
2021/01/03;0500 UTC;0.0;984.7;984.9;984.4;;25.7;19.3;26.0;25.6;19.5;19.3;69.0;67.0;68.0;18.0;6.8;3.5
2021/01/03;0600 UTC;0.0;984.6;984.8;984.6;;25.7;19.0;25.8;25.6;19.4;19.0;68.0;67.0;67.0;15.0;6.5;3.8
2021/01/03;0700 UTC;0.0;984.9;984.9;984.6;;25.5;19.0;25.7;25.5;19.0;18.9;67.0;66.0;67.0;15.0;7.8;3.6
2021/01/03;0800 UTC;0.0;985.5;985.5;984.9;;25.0;19.0;25.6;25.0;19.0;18.9;69.0;67.0;69.0;41.0;6.4;2.4
2021/01/03;0900 UTC;0.0;985.9;985.9;985.5;18.3;24.5;19.1;25.0;24.4;19.1;19.0;72.0;69.0;72.0;17.0;4.7;2.1
2021/01/03;1000 UTC;0.0;986.4;986.4;985.9;194.0;26.0;19.4;26.0;24.5;19.6;19.1;72.0;67.0;67.0;33.0;3.0;1.4
2021/01/03;1100 UTC;0.0;986.2;986.4;986.1;809.6;27.7;18.3;27.7;26.0;19.6;17.9;68.0;56.0;57.0;58.0;6.4;3.5
2021/01/03;1200 UTC;0.0;986.0;986.2;986.0;1339.2;28.8;17.5;29.1;27.1;18.6;17.2;58.0;50.0;51.0;78.0;7.4;3.8
