Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;0.0;1007.2;1007.2;1006.3;;27.7;19.4;28.2;27.7;19.4;18.9;61.0;57.0;61.0;32.0;8.9;4.5
2021/01/01;0100 UTC;0.0;1007.4;1007.4;1007.2;;27.4;19.8;27.7;27.3;19.8;19.4;63.0;61.0;63.0;31.0;7.6;4.5
2021/01/01;0200 UTC;0.0;1007.3;1007.6;1007.3;;27.1;19.9;27.4;27.1;19.9;19.8;65.0;63.0;65.0;31.0;7.5;4.1
2021/01/01;0300 UTC;0.0;1007.1;1007.4;1007.1;;26.9;19.9;27.2;26.9;19.9;19.8;66.0;65.0;65.0;32.0;7.5;4.0
2021/01/01;0400 UTC;0.0;1006.7;1007.1;1006.7;;26.8;19.8;26.9;26.7;20.0;19.8;67.0;65.0;66.0;26.0;6.4;3.9
2021/01/01;0500 UTC;0.0;1006.7;1006.8;1006.6;;26.8;18.9;26.9;26.8;19.8;18.9;66.0;62.0;62.0;13.0;8.2;3.7
2021/01/01;0600 UTC;0.0;1006.6;1006.7;1006.6;;26.7;18.6;26.8;26.7;18.9;18.6;62.0;61.0;61.0;6.0;5.5;3.2
2021/01/01;0700 UTC;0.0;1007.0;1007.0;1006.6;;26.5;18.6;26.7;26.5;18.7;18.6;62.0;61.0;62.0;5.0;6.4;3.7
2021/01/01;0800 UTC;0.0;1007.7;1007.7;1007.0;;26.2;18.6;26.5;26.1;18.7;18.5;63.0;62.0;63.0;4.0;6.5;3.3
2021/01/01;0900 UTC;0.0;1008.6;1008.6;1007.7;71.2;26.4;18.5;26.4;26.2;18.6;18.5;63.0;62.0;62.0;5.0;6.9;2.6
2021/01/01;1000 UTC;0.0;1008.8;1008.8;1008.6;338.7;27.4;18.6;27.4;26.4;18.8;18.5;62.0;58.0;59.0;7.0;6.4;3.5
2021/01/01;1100 UTC;0.0;1009.2;1009.2;1008.8;1013.0;28.7;18.4;28.8;27.3;19.1;18.2;59.0;53.0;54.0;20.0;6.0;1.4
2021/01/01;1200 UTC;0.0;1008.7;1009.2;1008.6;1675.4;31.4;17.6;31.5;28.6;18.9;17.0;54.0;44.0;44.0;9.0;8.2;4.3
2021/01/01;1300 UTC;0.0;1008.0;1008.7;1008.0;1988.3;32.8;16.4;33.0;30.7;17.9;16.0;45.0;37.0;38.0;25.0;8.0;4.2
2021/01/01;1400 UTC;0.0;1007.2;1008.1;1007.2;2633.6;34.3;15.7;35.3;32.6;17.0;14.5;37.0;31.0;33.0;18.0;8.3;2.9
2021/01/01;1500 UTC;0.0;1006.3;1007.2;1006.3;2379.7;34.7;13.7;36.8;33.5;15.7;13.7;33.0;27.0;28.0;11.0;8.3;3.0
2021/01/01;1600 UTC;0.0;1005.0;1006.3;1005.0;1997.2;36.8;13.7;36.8;34.4;14.5;13.1;29.0;25.0;25.0;22.0;7.4;4.1
2021/01/01;1700 UTC;0.0;1004.2;1005.0;1004.2;2158.0;37.7;13.6;38.5;35.6;14.0;12.5;26.0;23.0;24.0;346.0;8.0;0.8
2021/01/01;1800 UTC;0.0;1003.4;1004.2;1003.4;2042.0;37.8;11.2;38.7;36.2;13.6;11.0;24.0;20.0;20.0;21.0;6.5;2.6
2021/01/01;1900 UTC;0.0;1003.2;1003.4;1003.1;1382.5;37.4;10.0;38.4;36.7;11.6;9.8;21.0;19.0;19.0;11.0;7.1;3.4
2021/01/01;2000 UTC;0.0;1003.6;1003.6;1003.0;630.6;34.5;14.5;37.5;34.5;14.5;8.5;30.0;19.0;30.0;34.0;9.4;5.4
2021/01/01;2100 UTC;0.0;1004.7;1004.7;1003.6;33.8;30.7;16.7;34.5;30.7;16.7;14.4;43.0;30.0;43.0;34.0;10.8;6.0
2021/01/01;2200 UTC;0.0;1005.8;1005.8;1004.7;;29.0;17.8;30.7;29.0;18.0;16.7;51.0;43.0;51.0;33.0;10.3;4.8
2021/01/01;2300 UTC;0.0;1006.7;1006.7;1005.8;;28.0;18.3;29.0;28.0;18.3;17.8;56.0;51.0;56.0;33.0;9.5;4.3
2021/01/02;0000 UTC;0.0;1007.2;1007.2;1006.7;;27.3;19.8;28.0;27.3;19.8;18.4;64.0;56.0;64.0;32.0;8.4;3.6
2021/01/02;0100 UTC;0.0;1007.3;1007.4;1007.2;;26.9;20.5;27.3;26.9;20.5;19.9;68.0;64.0;68.0;33.0;7.9;4.0
2021/01/02;0200 UTC;0.0;1007.2;1007.4;1007.2;;26.5;20.4;26.9;26.5;20.6;20.4;69.0;68.0;69.0;33.0;7.0;3.1
2021/01/02;0300 UTC;0.0;1007.0;1007.2;1006.9;;26.0;20.2;26.5;26.0;20.4;20.2;71.0;69.0;71.0;32.0;6.0;2.6
2021/01/02;0400 UTC;0.0;1006.6;1007.0;1006.6;;25.5;20.4;26.1;25.4;20.4;20.2;74.0;71.0;74.0;27.0;5.0;2.1
2021/01/02;0500 UTC;0.0;1006.5;1006.7;1006.5;;24.3;20.2;25.5;24.3;20.4;20.1;78.0;74.0;78.0;9.0;3.9;0.9
2021/01/02;0600 UTC;0.0;1006.6;1006.7;1006.4;;24.3;20.3;24.3;24.1;20.5;20.1;79.0;78.0;78.0;36.0;2.6;1.4
2021/01/02;0700 UTC;0.0;1006.7;1006.7;1006.6;;24.1;18.4;24.3;24.0;20.3;18.4;78.0;71.0;71.0;28.0;3.8;2.1
2021/01/02;0800 UTC;0.0;1007.1;1007.1;1006.7;;23.1;17.9;24.2;23.1;18.5;17.8;73.0;70.0;73.0;3.0;4.0;1.9
2021/01/02;0900 UTC;0.0;1007.7;1007.7;1007.1;119.2;24.2;18.5;24.2;22.9;18.5;17.9;74.0;71.0;71.0;8.0;3.1;0.5
2021/01/02;1000 UTC;0.0;1007.6;1007.7;1007.5;783.3;26.9;18.2;26.9;24.2;18.5;18.0;71.0;59.0;59.0;6.0;5.9;3.1
2021/01/02;1100 UTC;0.0;1007.8;1007.8;1007.6;1566.7;29.2;16.7;29.4;26.7;18.4;16.7;59.0;47.0;47.0;7.0;6.7;4.0
2021/01/02;1200 UTC;0.0;1007.5;1007.8;1007.5;2275.1;31.5;15.4;31.7;29.1;17.0;15.2;47.0;38.0;38.0;14.0;8.1;3.5
2021/01/02;1300 UTC;0.0;1007.0;1007.5;1007.0;2778.4;32.9;13.6;33.0;31.3;15.7;13.5;39.0;31.0;31.0;13.0;7.8;4.3
2021/01/02;1400 UTC;0.0;1006.2;1007.0;1006.2;3074.1;34.3;12.6;35.3;32.5;14.3;12.0;32.0;25.0;27.0;25.0;8.4;4.1
2021/01/02;1500 UTC;0.0;1005.0;1006.2;1005.0;3153.4;35.5;12.0;36.0;34.3;13.6;11.3;27.0;24.0;24.0;17.0;8.1;3.9
2021/01/02;1600 UTC;0.0;1003.8;1005.0;1003.8;2795.0;36.3;11.8;37.0;34.5;12.9;11.2;25.0;22.0;23.0;18.0;8.4;3.8
2021/01/02;1700 UTC;0.0;1002.9;1003.8;1002.8;2364.2;36.7;11.4;37.7;36.1;11.9;10.4;23.0;20.0;22.0;7.0;7.6;4.1
2021/01/02;1800 UTC;0.0;1002.2;1002.9;1002.2;1858.8;36.4;10.9;38.1;36.1;11.8;10.0;22.0;19.0;21.0;16.0;7.7;4.2
2021/01/02;1900 UTC;0.0;1002.6;1002.6;1002.1;1207.2;35.0;13.5;37.0;34.9;13.6;11.0;28.0;21.0;28.0;30.0;10.1;5.9
2021/01/02;2000 UTC;0.0;1003.1;1003.1;1002.6;582.9;32.6;14.0;35.1;32.6;14.0;13.4;33.0;28.0;33.0;33.0;11.1;6.2
2021/01/02;2100 UTC;0.0;1003.6;1003.7;1003.1;51.8;30.0;16.8;32.6;30.0;16.8;14.2;45.0;33.0;45.0;34.0;11.5;6.1
2021/01/02;2200 UTC;0.0;1004.3;1004.3;1003.6;;28.2;18.9;30.0;28.2;18.9;16.9;57.0;45.0;57.0;32.0;11.2;6.3
2021/01/02;2300 UTC;0.0;1005.0;1005.0;1004.3;;27.4;19.8;28.2;27.4;19.8;18.9;63.0;57.0;63.0;34.0;12.0;5.6
2021/01/03;0000 UTC;0.0;1005.4;1005.4;1005.0;;27.3;20.1;27.4;27.2;20.1;19.8;65.0;63.0;65.0;30.0;9.7;5.1
2021/01/03;0100 UTC;0.0;1005.4;1005.5;1005.3;;27.2;20.1;27.3;27.2;20.2;20.1;65.0;65.0;65.0;30.0;10.3;4.7
2021/01/03;0200 UTC;0.0;1005.0;1005.4;1005.0;;27.2;19.8;27.3;27.1;20.3;19.8;66.0;64.0;64.0;7.0;8.5;5.8
2021/01/03;0300 UTC;0.0;1004.9;1005.2;1004.8;;26.7;19.8;27.2;26.7;19.9;19.7;66.0;64.0;66.0;18.0;10.1;4.8
2021/01/03;0400 UTC;0.0;1005.1;1005.1;1004.8;;26.5;19.8;26.7;26.4;19.9;19.7;67.0;66.0;67.0;23.0;7.2;2.9
2021/01/03;0500 UTC;0.0;1005.0;1005.1;1004.9;;26.1;19.7;26.5;26.1;19.9;19.6;68.0;67.0;68.0;15.0;5.1;1.7
2021/01/03;0600 UTC;0.0;1005.3;1005.3;1004.9;;26.2;19.1;26.5;26.1;19.9;19.1;68.0;65.0;65.0;7.0;7.0;4.1
2021/01/03;0700 UTC;0.0;1005.6;1005.6;1005.2;;25.5;18.9;26.2;25.4;19.0;18.8;67.0;65.0;67.0;6.0;6.9;2.4
2021/01/03;0800 UTC;0.0;1006.3;1006.3;1005.6;;24.9;18.7;25.7;24.9;18.9;18.7;69.0;66.0;69.0;27.0;4.4;1.7
2021/01/03;0900 UTC;0.0;1006.5;1006.6;1006.3;103.8;25.7;19.1;25.7;24.8;19.1;18.7;69.0;67.0;67.0;7.0;5.4;3.3
2021/01/03;1000 UTC;0.0;1006.4;1006.6;1006.4;765.0;28.1;18.9;28.3;25.7;19.4;18.9;67.0;57.0;57.0;17.0;7.3;3.7
2021/01/03;1100 UTC;0.0;1006.5;1006.6;1006.3;1303.9;30.3;18.4;30.3;27.9;18.7;17.8;57.0;49.0;49.0;11.0;10.3;4.9
2021/01/03;1200 UTC;0.0;1006.2;1006.5;1006.2;2025.7;32.2;17.4;32.4;29.6;18.3;17.0;50.0;41.0;41.0;15.0;10.0;5.0
2021/01/03;1300 UTC;0.0;1005.6;1006.2;1005.6;2852.0;32.9;15.3;34.0;31.3;17.4;15.3;42.0;34.0;35.0;12.0;9.6;5.2
2021/01/03;1400 UTC;0.0;1005.0;1005.6;1005.0;2372.8;34.3;14.4;34.4;32.3;16.0;14.0;36.0;30.0;30.0;10.0;8.9;5.3
2021/01/03;1500 UTC;0.0;1004.0;1005.0;1004.0;2568.5;35.9;13.9;36.0;33.2;14.8;13.1;31.0;27.0;27.0;18.0;12.2;4.3
2021/01/03;1600 UTC;0.0;1003.1;1004.0;1003.1;2828.6;36.0;12.1;37.0;34.8;14.1;12.1;28.0;24.0;24.0;22.0;9.8;3.6
2021/01/03;1700 UTC;0.0;1002.3;1003.1;1002.3;1992.7;36.1;13.4;37.0;35.2;13.5;11.7;27.0;24.0;26.0;21.0;8.1;4.1
2021/01/03;1800 UTC;0.0;1001.8;1002.3;1001.8;1388.6;35.4;14.3;36.6;35.2;14.3;12.4;28.0;24.0;28.0;31.0;9.7;5.9
2021/01/03;1900 UTC;0.0;1002.0;1002.0;1001.8;1111.1;34.4;14.2;35.4;34.4;14.9;14.2;30.0;28.0;30.0;32.0;9.7;5.2
2021/01/03;2000 UTC;0.0;1002.8;1002.8;1002.0;314.0;32.1;15.4;34.9;32.1;15.4;14.3;37.0;30.0;37.0;34.0;11.1;7.0
2021/01/03;2100 UTC;0.0;1003.4;1003.4;1002.8;25.2;30.0;17.5;32.1;30.0;17.5;15.5;47.0;37.0;47.0;30.0;10.9;6.6
2021/01/03;2200 UTC;0.0;1004.0;1004.0;1003.4;;28.6;18.8;30.0;28.6;18.8;17.6;55.0;47.0;55.0;30.0;10.3;6.2
2021/01/03;2300 UTC;0.0;1004.7;1004.7;1004.0;;27.7;20.0;28.6;27.7;20.0;18.8;63.0;55.0;63.0;30.0;10.6;5.6
2021/01/04;0000 UTC;0.0;1005.1;1005.1;1004.7;;27.4;20.6;27.7;27.4;20.6;20.0;66.0;63.0;66.0;33.0;9.5;3.9
2021/01/04;0100 UTC;0.0;1005.1;1005.2;1005.0;;27.0;20.6;27.5;27.0;20.7;20.6;68.0;66.0;68.0;33.0;6.8;3.4
2021/01/04;0200 UTC;0.0;1005.0;1005.1;1004.9;;26.9;20.8;27.1;26.9;20.9;20.6;69.0;68.0;69.0;28.0;6.3;3.3
2021/01/04;0300 UTC;0.0;1004.9;1005.2;1004.8;;27.0;20.3;27.1;26.9;20.8;20.3;69.0;67.0;67.0;15.0;7.1;4.2
2021/01/04;0400 UTC;0.0;1004.7;1004.9;1004.6;;26.6;20.4;27.0;26.6;20.5;20.3;69.0;67.0;69.0;17.0;6.9;3.3
2021/01/04;0500 UTC;0.0;1004.6;1004.7;1004.6;;26.3;19.9;26.7;26.2;20.5;19.9;70.0;68.0;68.0;5.0;5.6;3.2
2021/01/04;0600 UTC;0.0;1004.7;1004.7;1004.5;;25.4;19.3;26.4;25.4;19.9;19.2;69.0;66.0;69.0;3.0;5.6;1.9
2021/01/04;0700 UTC;0.0;1005.3;1005.3;1004.7;;25.3;19.3;25.5;25.1;19.5;19.2;70.0;69.0;69.0;4.0;2.9;1.8
2021/01/04;0800 UTC;0.0;1006.0;1006.0;1005.3;;25.0;19.2;25.5;25.0;19.4;19.1;70.0;69.0;70.0;4.0;4.1;1.9
2021/01/04;0900 UTC;0.0;1006.5;1006.5;1006.0;142.7;26.0;19.6;26.0;24.9;19.6;19.1;71.0;68.0;68.0;6.0;6.3;3.7
2021/01/04;1000 UTC;0.0;1006.8;1006.8;1006.5;521.4;27.3;19.2;27.3;26.0;19.7;19.1;68.0;61.0;61.0;4.0;8.2;4.8
2021/01/04;1100 UTC;0.0;1006.8;1007.0;1006.8;1126.3;29.8;18.5;30.0;27.3;19.4;18.0;62.0;50.0;51.0;8.0;8.4;5.1
2021/01/04;1200 UTC;0.0;1006.8;1007.0;1006.7;1865.7;31.5;17.0;31.8;29.4;18.4;16.7;51.0;42.0;42.0;10.0;10.8;5.7
2021/01/04;1300 UTC;0.0;1006.4;1006.8;1006.4;2774.5;33.6;15.9;33.6;31.2;17.3;15.4;42.0;35.0;35.0;8.0;10.8;5.6
2021/01/04;1400 UTC;0.0;1005.8;1006.4;1005.8;3222.9;34.4;14.0;35.0;32.9;16.2;13.8;36.0;29.0;29.0;12.0;10.0;5.4
2021/01/04;1500 UTC;0.0;1004.7;1005.8;1004.7;2591.8;35.3;13.8;36.3;33.6;15.0;13.4;31.0;27.0;28.0;19.0;9.4;4.7
2021/01/04;1600 UTC;0.0;1003.7;1004.7;1003.6;3134.4;37.0;12.9;37.1;35.0;14.7;12.2;29.0;24.0;24.0;22.0;11.0;4.2
2021/01/04;1700 UTC;0.0;1003.1;1003.7;1003.0;2178.2;35.1;12.1;37.5;34.8;13.6;10.7;26.0;21.0;25.0;16.0;8.5;4.5
2021/01/04;1800 UTC;0.0;1002.7;1003.1;1002.6;1299.4;36.4;12.4;37.1;35.0;12.7;11.0;25.0;21.0;24.0;9.0;7.0;3.8
2021/01/04;1900 UTC;0.0;1002.6;1002.7;1002.4;1318.8;35.4;14.0;37.1;34.5;14.0;10.4;28.0;20.0;28.0;25.0;10.4;5.6
2021/01/04;2000 UTC;0.0;1003.3;1003.3;1002.6;643.8;32.2;15.4;35.4;32.2;15.4;13.0;36.0;27.0;36.0;31.0;11.6;7.3
2021/01/04;2100 UTC;0.0;1004.1;1004.2;1003.3;34.9;30.2;16.8;32.2;30.2;16.8;15.4;45.0;36.0;45.0;34.0;11.6;5.7
2021/01/04;2200 UTC;0.0;1005.0;1005.0;1004.1;;28.5;18.5;30.2;28.5;18.5;16.8;55.0;45.0;55.0;33.0;10.5;6.4
2021/01/04;2300 UTC;0.0;1005.6;1005.6;1005.0;;27.6;19.7;28.5;27.6;19.7;18.5;62.0;55.0;62.0;31.0;10.1;5.7
2021/01/05;0000 UTC;0.0;1006.2;1006.2;1005.6;;27.2;20.0;27.6;27.2;20.0;19.7;65.0;62.0;65.0;32.0;9.2;4.5
2021/01/05;0100 UTC;0.0;1006.3;1006.4;1006.1;;26.8;20.2;27.2;26.8;20.3;20.0;67.0;65.0;67.0;34.0;8.1;3.2
2021/01/05;0200 UTC;0.0;1006.6;1006.7;1006.3;;26.6;20.0;26.8;26.6;20.3;20.0;68.0;67.0;67.0;31.0;5.5;2.7
2021/01/05;0300 UTC;0.0;1006.4;1006.6;1006.4;;26.3;20.1;26.6;26.3;20.1;19.9;69.0;67.0;69.0;24.0;4.8;2.4
2021/01/05;0400 UTC;0.0;1006.2;1006.4;1006.1;;25.7;19.9;26.3;25.7;20.2;19.8;70.0;69.0;70.0;7.0;4.1;2.3
2021/01/05;0500 UTC;0.0;1006.0;1006.2;1006.0;;25.1;19.3;25.8;25.0;19.9;19.3;71.0;69.0;71.0;2.0;3.4;1.3
2021/01/05;0600 UTC;0.0;1006.1;1006.1;1005.9;;24.7;18.9;25.1;24.7;19.3;18.9;71.0;70.0;70.0;6.0;3.5;1.8
2021/01/05;0700 UTC;0.0;1006.4;1006.4;1006.1;;24.0;18.9;24.7;23.9;18.9;18.8;73.0;70.0;73.0;36.0;2.6;1.2
2021/01/05;0800 UTC;0.0;1007.3;1007.3;1006.4;;23.8;19.2;24.0;23.5;19.3;18.7;76.0;73.0;75.0;2.0;1.9;0.1
2021/01/05;0900 UTC;0.0;1007.9;1007.9;1007.3;123.8;25.2;19.6;25.2;23.8;19.6;19.1;76.0;71.0;71.0;9.0;3.0;1.7
2021/01/05;1000 UTC;0.0;1008.2;1008.2;1007.9;743.3;27.3;18.9;27.4;25.2;19.6;18.9;71.0;60.0;60.0;8.0;5.3;3.2
2021/01/05;1100 UTC;0.0;1008.0;1008.2;1008.0;1546.7;30.3;17.9;30.5;27.3;19.3;17.7;60.0;48.0;48.0;13.0;7.6;3.9
2021/01/05;1200 UTC;0.0;1008.0;1008.1;1007.9;2035.0;31.2;16.3;31.7;29.2;18.1;16.2;49.0;40.0;41.0;12.0;8.8;5.2
2021/01/05;1300 UTC;0.0;1007.6;1008.1;1007.6;2696.0;33.1;15.2;33.7;30.4;16.8;14.8;43.0;33.0;34.0;24.0;8.8;4.9
2021/01/05;1400 UTC;0.0;1006.8;1007.6;1006.8;2896.6;34.1;14.6;34.3;32.5;15.4;14.0;35.0;30.0;31.0;13.0;11.2;4.0
2021/01/05;1500 UTC;0.0;1005.7;1006.8;1005.7;2909.3;35.3;12.9;36.5;33.1;14.9;12.3;32.0;25.0;26.0;14.0;7.9;3.3
2021/01/05;1600 UTC;0.0;1004.4;1005.7;1004.4;2065.5;36.2;12.4;36.7;34.6;14.0;11.9;27.0;24.0;24.0;17.0;8.7;2.6
2021/01/05;1700 UTC;0.0;1003.3;1004.4;1003.3;2024.7;36.3;10.5;37.4;34.6;12.6;9.6;27.0;19.0;21.0;13.0;7.1;2.4
2021/01/05;1800 UTC;0.0;1002.7;1003.3;1002.6;1488.3;37.4;9.8;37.5;35.5;11.8;8.7;23.0;18.0;19.0;12.0;8.0;3.8
2021/01/05;1900 UTC;0.0;1002.6;1002.7;1002.5;1479.4;36.9;9.5;37.9;36.9;10.4;8.9;20.0;18.0;19.0;9.0;8.0;4.4
2021/01/05;2000 UTC;0.0;1003.3;1003.3;1002.6;324.8;33.6;15.2;36.9;33.6;15.2;8.6;33.0;18.0;33.0;32.0;10.1;6.0
2021/01/05;2100 UTC;0.0;1003.7;1003.7;1003.3;47.8;31.1;17.5;33.6;31.1;17.5;15.3;44.0;33.0;44.0;34.0;10.9;4.4
2021/01/05;2200 UTC;0.0;1004.8;1004.8;1003.7;;29.1;18.2;31.1;29.1;18.3;17.5;52.0;44.0;52.0;34.0;9.6;4.8
2021/01/05;2300 UTC;0.0;1005.7;1005.7;1004.8;;27.7;19.3;29.1;27.7;19.3;18.2;60.0;52.0;60.0;29.0;10.1;3.7
2021/01/06;0000 UTC;0.0;1005.9;1006.0;1005.7;;27.1;20.4;27.7;27.0;20.4;19.2;67.0;60.0;67.0;26.0;7.2;4.0
2021/01/06;0100 UTC;0.0;1006.1;1006.1;1005.9;;26.7;20.7;27.1;26.7;20.7;20.4;70.0;67.0;70.0;26.0;6.6;3.1
2021/01/06;0200 UTC;0.0;1005.7;1006.1;1005.7;;26.6;20.7;26.8;26.5;20.8;20.7;70.0;70.0;70.0;32.0;5.9;3.0
2021/01/06;0300 UTC;0.0;1005.4;1005.7;1005.3;;26.3;20.2;26.6;26.3;20.7;20.2;70.0;69.0;69.0;34.0;5.8;2.9
2021/01/06;0400 UTC;0.0;1005.3;1005.4;1005.3;;25.8;19.7;26.3;25.8;20.2;19.7;69.0;69.0;69.0;35.0;5.1;2.1
2021/01/06;0500 UTC;0.0;1005.1;1005.3;1005.0;;25.2;18.5;25.8;25.2;19.7;18.3;70.0;66.0;66.0;34.0;4.3;2.0
2021/01/06;0600 UTC;0.0;1005.4;1005.4;1005.1;;24.1;18.1;25.2;24.1;18.6;18.0;69.0;66.0;69.0;10.0;3.2;1.4
2021/01/06;0700 UTC;0.0;1006.1;1006.1;1005.4;;23.3;17.8;24.1;23.3;18.2;17.8;71.0;69.0;71.0;10.0;2.6;1.5
2021/01/06;0800 UTC;0.0;1006.8;1006.8;1006.1;;22.6;17.8;23.3;22.6;18.0;17.7;75.0;71.0;75.0;36.0;2.0;0.1
2021/01/06;0900 UTC;0.0;1007.4;1007.4;1006.8;110.4;23.7;19.4;23.7;22.2;19.4;17.8;79.0;75.0;77.0;8.0;1.0;0.1
