Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;;1007.1;1007.2;1006.8;;27.7;20.5;27.8;27.6;20.6;20.5;65.0;65.0;65.0;54.0;10.3;5.5
2021/01/01;0100 UTC;;1007.6;1007.7;1007.1;;27.4;20.9;27.7;27.4;20.9;20.5;68.0;65.0;68.0;63.0;11.4;5.1
2021/01/01;0200 UTC;;1007.6;1007.7;1007.6;;27.2;21.1;27.4;27.1;21.3;20.9;70.0;68.0;69.0;72.0;10.9;6.3
2021/01/01;0300 UTC;;1007.5;1007.8;1007.5;;26.9;20.8;27.2;26.9;21.0;20.8;69.0;69.0;69.0;74.0;10.9;4.6
2021/01/01;0400 UTC;;1006.9;1007.5;1006.9;;26.6;20.3;27.0;26.6;20.8;20.2;69.0;67.0;68.0;82.0;9.8;4.7
2021/01/01;0500 UTC;;1006.8;1007.0;1006.6;;26.3;19.7;26.6;26.3;20.3;19.7;68.0;66.0;67.0;88.0;8.2;4.4
2021/01/01;0600 UTC;;1006.8;1006.9;1006.7;;25.9;19.6;26.3;25.9;19.7;19.5;68.0;67.0;68.0;87.0;7.7;3.9
2021/01/01;0700 UTC;;1007.1;1007.1;1006.8;;25.4;19.5;26.0;25.4;19.6;19.5;70.0;68.0;70.0;100.0;7.1;2.5
2021/01/01;0800 UTC;;1007.5;1007.5;1007.1;;24.9;19.4;25.4;24.9;19.5;19.4;72.0;70.0;72.0;94.0;4.1;2.3
2021/01/01;0900 UTC;;1008.3;1008.3;1007.5;63.3;25.3;19.9;25.3;24.5;19.9;19.4;73.0;72.0;72.0;93.0;3.3;1.3
