Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;0.0;980.1;980.1;979.6;;28.3;21.4;28.8;28.3;22.2;21.4;68.0;66.0;66.0;89.0;2.9;1.8
2021/01/01;0100 UTC;0.0;981.1;981.1;980.1;;27.7;21.4;28.4;27.7;21.7;21.3;69.0;66.0;69.0;116.0;3.8;1.2
2021/01/01;0200 UTC;0.0;980.6;981.1;980.6;;27.3;21.5;28.4;27.3;21.5;21.2;71.0;65.0;71.0;2.0;5.3;1.0
2021/01/01;0300 UTC;0.0;980.5;980.7;980.4;;26.5;21.2;27.3;26.5;21.6;21.2;73.0;71.0;73.0;59.0;2.9;2.0
2021/01/01;0400 UTC;0.0;980.4;980.6;980.3;;26.2;20.8;26.5;26.2;21.2;20.7;73.0;72.0;72.0;36.0;3.8;1.4
2021/01/01;0500 UTC;0.0;980.6;980.6;980.3;;25.7;20.5;26.2;25.7;20.8;20.4;73.0;72.0;73.0;9.0;3.0;0.2
2021/01/01;0600 UTC;0.0;980.6;980.6;980.5;;25.5;20.7;25.8;25.5;20.9;20.5;75.0;73.0;75.0;28.0;1.6;0.0
2021/01/01;0700 UTC;0.0;980.8;980.8;980.6;;25.0;20.5;25.5;25.0;20.7;20.5;76.0;75.0;76.0;243.0;1.7;0.9
2021/01/01;0800 UTC;0.0;981.3;981.3;980.7;;24.4;20.1;25.0;24.4;20.4;20.1;77.0;76.0;77.0;334.0;1.7;0.0
2021/01/01;0900 UTC;0.0;982.2;982.3;981.3;14.6;23.8;19.8;24.4;23.8;20.1;19.7;78.0;77.0;78.0;214.0;2.1;0.3
2021/01/01;1000 UTC;0.0;983.4;983.4;982.3;248.4;24.7;20.8;24.7;23.8;20.8;19.8;79.0;78.0;79.0;248.0;2.3;0.0
2021/01/01;1100 UTC;0.0;983.9;983.9;983.4;1313.5;27.1;23.2;27.1;24.7;23.2;20.8;80.0;79.0;79.0;300.0;1.9;0.8
2021/01/01;1200 UTC;0.0;983.9;983.9;983.8;2175.5;29.1;23.7;29.1;27.1;24.0;23.2;79.0;73.0;73.0;84.0;4.3;2.2
2021/01/01;1300 UTC;0.2;983.4;983.9;983.4;3064.9;30.0;23.8;30.0;29.1;24.0;23.4;73.0;70.0;70.0;56.0;7.7;3.9
2021/01/01;1400 UTC;0.0;983.2;983.5;983.2;3295.1;30.1;23.9;30.4;29.7;24.3;23.5;70.0;69.0;70.0;45.0;8.6;4.0
2021/01/01;1500 UTC;0.0;982.5;983.2;982.5;3855.1;31.0;25.0;31.0;30.1;25.1;23.9;71.0;69.0;71.0;37.0;8.5;3.8
2021/01/01;1600 UTC;0.0;981.5;982.5;981.5;3725.0;31.3;25.5;31.3;30.8;25.5;24.6;71.0;69.0;71.0;40.0;8.5;1.9
2021/01/01;1700 UTC;0.0;980.4;981.5;980.4;2565.2;31.3;25.3;31.5;30.9;25.8;24.8;72.0;70.0;71.0;93.0;8.5;1.8
2021/01/01;1800 UTC;0.0;979.7;980.4;979.7;2084.5;31.3;24.9;31.6;31.0;25.6;24.5;71.0;68.0;69.0;57.0;5.0;1.0
2021/01/01;1900 UTC;0.0;979.0;979.7;979.0;1642.0;31.5;24.6;31.7;31.1;25.1;24.5;69.0;67.0;67.0;62.0;3.1;0.7
2021/01/01;2000 UTC;0.0;978.7;979.0;978.6;680.7;31.4;24.7;31.5;31.1;24.7;24.3;68.0;67.0;68.0;249.0;3.0;0.3
2021/01/01;2100 UTC;0.0;978.3;978.7;978.3;230.3;30.8;24.4;31.4;30.8;24.9;24.3;70.0;68.0;69.0;217.0;2.5;0.0
2021/01/01;2200 UTC;0.0;978.7;978.8;978.3;5.7;29.5;23.5;30.8;29.5;24.4;23.5;71.0;69.0;70.0;160.0;1.0;0.1
