Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;;1004.2;1004.2;1003.6;0.0;26.4;24.1;26.7;26.4;24.4;23.9;89.0;85.0;87.0;301.0;1.6;0.2
2021/01/01;0100 UTC;;1004.8;1004.8;1004.2;0.0;25.6;23.7;26.4;25.6;24.3;23.7;90.0;87.0;89.0;284.0;1.1;0.0
2021/01/01;0200 UTC;;1005.3;1005.4;1004.7;0.0;25.3;23.7;25.6;25.3;23.8;23.5;91.0;89.0;91.0;340.0;1.2;0.2
2021/01/01;0300 UTC;;1005.5;1005.5;1005.3;0.0;24.9;23.5;25.3;24.9;23.8;23.5;92.0;91.0;92.0;304.0;1.4;0.8
2021/01/01;0400 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0500 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0600 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0700 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0800 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0900 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1000 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1100 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1200 UTC;;1008.9;1008.9;1008.6;627.4;25.9;23.4;26.0;25.2;23.8;23.2;90.0;86.0;86.0;211.0;3.3;1.1
2021/01/01;1300 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1400 UTC;;1008.9;1009.1;1008.9;2131.9;29.5;24.2;29.5;27.9;24.4;23.2;77.0;71.0;73.0;237.0;4.0;1.0
