Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2022/01/01;0000 UTC;0.0;981.5;981.5;980.8;;22.8;21.7;22.8;22.5;21.7;21.3;94.0;93.0;94.0;30.0;3.6;1.6
2022/01/01;0100 UTC;0.0;982.1;982.1;981.5;;22.9;21.7;23.0;22.8;21.9;21.7;94.0;93.0;93.0;27.0;4.0;1.5
2022/01/01;0200 UTC;0.4;982.4;982.4;982.1;;22.8;21.7;22.9;22.8;21.8;21.7;93.0;93.0;93.0;340.0;3.2;0.9
2022/01/01;0300 UTC;1.2;981.9;982.5;981.9;;22.7;21.7;22.9;22.7;21.8;21.7;94.0;93.0;94.0;1.0;2.1;0.8
2022/01/01;0400 UTC;0.2;981.2;981.9;981.2;;22.8;21.8;22.8;22.7;21.8;21.7;94.0;94.0;94.0;29.0;3.0;1.3
2022/01/01;0500 UTC;0.0;981.0;981.3;980.9;;22.7;21.8;22.8;22.7;21.8;21.8;94.0;94.0;94.0;10.0;3.0;1.2
2022/01/01;0600 UTC;0.2;980.7;981.0;980.7;;22.7;21.8;22.8;22.7;21.8;21.8;94.0;94.0;94.0;33.0;2.9;1.0
2022/01/01;0700 UTC;0.0;980.6;980.7;980.5;;22.8;21.8;22.8;22.7;21.8;21.7;94.0;94.0;94.0;34.0;2.9;1.5
2022/01/01;0800 UTC;0.4;980.6;980.7;980.5;;22.8;21.8;22.9;22.8;21.9;21.8;94.0;94.0;94.0;44.0;3.4;1.7
2022/01/01;0900 UTC;0.0;981.2;981.2;980.6;1.0;22.7;21.6;22.9;22.7;21.8;21.6;94.0;93.0;93.0;28.0;4.2;2.1
2022/01/01;1000 UTC;0.0;981.9;981.9;981.2;221.6;23.1;21.8;23.1;22.7;21.8;21.6;93.0;92.0;92.0;31.0;4.7;1.9
2022/01/01;1100 UTC;0.0;982.6;982.6;981.9;313.6;23.5;22.0;23.5;23.1;22.0;21.6;92.0;91.0;91.0;22.0;4.9;1.7
2022/01/01;1200 UTC;0.6;983.2;983.2;982.6;546.2;23.7;22.4;23.7;23.3;22.4;21.8;93.0;90.0;92.0;28.0;4.8;2.1
2022/01/01;1300 UTC;1.4;983.6;983.6;983.2;660.9;23.8;22.4;24.3;23.7;22.7;22.2;92.0;90.0;92.0;349.0;5.5;2.5
2022/01/01;1400 UTC;6.0;983.3;983.6;983.3;954.6;25.1;23.2;25.1;23.5;23.5;22.3;94.0;89.0;89.0;21.0;4.8;1.8
2022/01/01;1500 UTC;0.2;982.5;983.4;982.5;2308.3;26.5;22.6;26.5;25.0;23.6;22.4;89.0;79.0;79.0;350.0;6.2;3.1
2022/01/01;1600 UTC;0.0;981.3;982.5;981.3;2853.5;27.9;23.0;27.9;26.4;23.1;21.8;81.0;72.0;75.0;11.0;7.3;2.8
2022/01/01;1700 UTC;0.0;980.3;981.3;980.2;2351.6;28.5;22.2;29.4;27.3;23.4;21.7;75.0;66.0;69.0;343.0;7.6;3.6
2022/01/01;1800 UTC;0.0;979.4;980.3;979.4;886.9;27.7;22.6;28.6;26.7;22.8;21.3;76.0;68.0;74.0;335.0;8.3;1.7
