Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;0.0;935.5;935.5;934.7;;21.7;19.5;22.8;21.4;19.6;19.0;88.0;79.0;87.0;65.0;2.2;0.4
2021/01/01;0100 UTC;0.0;935.6;935.8;935.5;;20.9;19.1;21.7;20.8;19.5;19.1;91.0;87.0;89.0;81.0;1.4;0.3
2021/01/01;0200 UTC;0.0;935.2;935.6;935.2;;20.2;19.1;20.9;20.1;19.2;18.8;93.0;89.0;93.0;74.0;1.4;0.0
2021/01/01;0300 UTC;0.0;934.9;935.3;934.9;;19.7;18.9;20.2;19.7;19.1;18.8;95.0;93.0;95.0;318.0;0.8;0.1
2021/01/01;0400 UTC;0.0;934.2;934.9;934.2;;19.6;18.9;19.8;19.4;19.1;18.6;96.0;95.0;96.0;107.0;1.3;0.0
2021/01/01;0500 UTC;0.0;933.8;934.3;933.8;;19.5;18.8;19.7;19.5;19.0;18.8;96.0;96.0;96.0;67.0;0.8;0.1
2021/01/01;0600 UTC;0.0;933.5;933.8;933.4;;18.9;18.2;19.5;18.8;18.8;18.0;96.0;95.0;96.0;57.0;1.1;0.4
2021/01/01;0700 UTC;0.0;933.9;933.9;933.5;;18.3;17.6;19.1;18.3;18.3;17.6;96.0;95.0;96.0;133.0;1.1;0.0
2021/01/01;0800 UTC;0.0;934.7;934.7;933.8;;18.1;17.5;18.4;17.9;17.8;17.4;97.0;96.0;97.0;208.0;1.0;0.0
2021/01/01;0900 UTC;0.0;935.5;935.5;934.7;68.3;19.8;17.9;19.8;18.0;18.4;17.5;97.0;89.0;89.0;25.0;3.9;1.4
2021/01/01;1000 UTC;0.0;936.0;936.1;935.5;187.5;21.6;18.2;21.6;19.7;18.2;17.8;89.0;81.0;81.0;46.0;4.2;1.4
2021/01/01;1100 UTC;0.0;936.4;936.4;936.0;1785.5;24.5;18.2;24.5;21.6;18.7;17.8;81.0;68.0;68.0;44.0;5.6;2.0
2021/01/01;1200 UTC;0.0;936.4;936.5;936.4;2567.5;26.0;18.5;26.2;24.4;19.2;17.8;68.0;63.0;63.0;17.0;6.2;2.0
2021/01/01;1300 UTC;0.0;936.2;936.4;936.1;3191.3;27.1;17.9;27.4;25.7;19.2;17.7;65.0;57.0;57.0;19.0;6.6;2.6
2021/01/01;1400 UTC;0.0;935.8;936.2;935.7;3582.4;28.1;18.1;29.0;27.0;19.4;17.4;59.0;53.0;54.0;352.0;6.6;2.1
2021/01/01;1500 UTC;0.0;935.3;935.8;935.3;3704.6;29.7;18.7;29.8;28.0;19.9;18.1;59.0;50.0;52.0;24.0;5.7;1.6
2021/01/01;1600 UTC;0.0;934.2;935.3;934.2;3225.7;30.8;18.5;30.9;28.7;19.5;17.7;55.0;48.0;48.0;347.0;6.5;1.4
2021/01/01;1700 UTC;0.0;933.1;934.2;933.1;3326.5;31.7;18.2;31.8;30.4;18.8;16.8;49.0;41.0;45.0;53.0;4.9;0.9
2021/01/01;1800 UTC;0.0;932.7;933.2;932.7;1108.4;29.9;19.0;31.9;29.5;19.5;17.4;54.0;43.0;52.0;13.0;4.6;0.8
2021/01/01;1900 UTC;0.0;932.7;932.7;932.4;681.9;29.2;19.3;29.9;28.8;20.6;18.6;59.0;52.0;56.0;316.0;5.2;2.2
2021/01/01;2000 UTC;0.0;932.3;932.7;932.0;1166.7;28.4;18.7;30.0;28.4;19.8;18.3;56.0;51.0;56.0;352.0;5.2;2.5
2021/01/01;2100 UTC;0.0;932.6;932.7;932.2;137.7;26.1;19.9;28.4;26.1;19.9;18.5;69.0;55.0;69.0;258.0;5.5;0.6
2021/01/01;2200 UTC;0.0;934.1;934.1;932.6;0.8;22.9;18.3;26.1;22.9;20.3;18.2;75.0;67.0;75.0;328.0;8.8;1.2
2021/01/01;2300 UTC;0.0;936.1;936.2;934.1;;21.9;18.4;22.9;21.8;18.4;18.2;81.0;75.0;81.0;32.0;4.3;0.6
2021/01/02;0000 UTC;0.0;936.3;936.6;936.1;;20.9;18.9;21.9;20.8;19.0;18.3;89.0;80.0;88.0;356.0;3.3;0.5
2021/01/02;0100 UTC;3.6;937.8;937.8;936.3;;19.5;18.6;21.0;19.5;18.9;18.6;94.0;88.0;94.0;259.0;8.0;3.9
2021/01/02;0200 UTC;10.0;938.1;938.3;937.8;;18.9;18.3;19.5;18.9;18.6;18.3;96.0;94.0;96.0;192.0;8.6;0.2
2021/01/02;0300 UTC;1.8;936.7;938.1;936.7;;19.0;18.3;19.0;18.9;18.4;18.2;96.0;96.0;96.0;66.0;2.7;0.2
2021/01/02;0400 UTC;0.0;935.2;936.7;935.2;;18.6;17.8;19.0;18.6;18.3;17.8;96.0;95.0;95.0;55.0;2.3;0.4
2021/01/02;0500 UTC;0.0;934.7;935.2;934.7;;18.3;17.6;18.7;18.2;17.9;17.5;96.0;94.0;96.0;241.0;1.9;0.0
2021/01/02;0600 UTC;0.0;934.4;934.9;934.4;;18.3;17.7;18.5;18.3;17.8;17.6;96.0;96.0;96.0;86.0;1.4;0.2
2021/01/02;0700 UTC;0.0;934.7;934.8;934.4;;18.3;17.7;18.4;18.2;17.8;17.6;97.0;96.0;97.0;74.0;1.3;0.1
2021/01/02;0800 UTC;0.0;935.0;935.0;934.7;;18.4;17.9;18.5;18.2;18.0;17.7;97.0;97.0;97.0;91.0;1.0;0.0
2021/01/02;0900 UTC;0.2;934.9;935.0;934.8;55.4;18.7;18.2;18.7;18.4;18.2;17.9;97.0;97.0;97.0;151.0;0.9;0.1
2021/01/02;1000 UTC;0.2;935.3;935.3;934.9;232.8;19.2;18.7;19.2;18.7;18.7;18.2;97.0;97.0;97.0;28.0;0.9;0.1
