Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;0.0;951.3;951.3;950.2;;22.2;20.0;23.5;22.2;20.3;19.3;87.0;78.0;87.0;335.0;2.7;0.5
2021/01/01;0100 UTC;0.0;952.1;952.1;951.3;;22.9;20.3;23.1;22.3;20.4;20.1;87.0;84.0;85.0;212.0;1.4;0.3
2021/01/01;0200 UTC;0.0;952.3;952.3;952.1;;22.6;20.4;22.9;22.5;20.4;19.8;87.0;83.0;87.0;242.0;3.5;1.8
2021/01/01;0300 UTC;0.0;952.2;952.5;952.2;;22.7;20.2;23.1;22.5;20.9;20.2;89.0;84.0;86.0;243.0;7.4;2.9
2021/01/01;0400 UTC;0.0;951.0;952.2;951.0;;21.1;18.3;22.7;21.1;20.0;18.2;86.0;81.0;84.0;190.0;5.6;0.7
2021/01/01;0500 UTC;0.0;950.5;951.1;950.5;;20.2;18.3;21.1;20.2;18.3;18.0;89.0;83.0;89.0;159.0;2.3;0.6
2021/01/01;0600 UTC;0.0;950.0;950.6;950.0;;20.1;18.4;20.3;19.9;18.4;18.1;90.0;88.0;90.0;237.0;2.2;1.0
2021/01/01;0700 UTC;0.0;949.6;950.0;949.5;;20.4;18.9;20.6;19.9;19.0;18.1;91.0;89.0;91.0;250.0;2.1;0.1
2021/01/01;0800 UTC;0.0;950.1;950.1;949.5;;20.1;18.7;20.4;20.1;18.9;18.6;92.0;91.0;92.0;74.0;0.8;0.0
2021/01/01;0900 UTC;0.0;950.7;950.7;950.1;38.7;20.3;18.9;20.3;20.0;18.9;18.7;92.0;92.0;92.0;47.0;1.4;0.2
2021/01/01;1000 UTC;0.0;951.1;951.1;950.7;287.5;21.3;19.5;21.3;20.3;19.6;18.9;92.0;89.0;89.0;35.0;2.9;1.5
2021/01/01;1100 UTC;0.0;951.9;951.9;951.1;327.0;22.1;19.9;22.1;21.3;19.9;19.5;90.0;86.0;87.0;41.0;2.6;0.8
2021/01/01;1200 UTC;0.0;952.3;952.3;951.9;912.8;24.1;19.9;24.1;22.1;20.1;19.5;87.0;77.0;78.0;23.0;2.4;1.0
2021/01/01;1300 UTC;0.0;952.5;952.5;952.3;2306.2;26.4;18.9;27.0;24.0;20.9;18.9;78.0;63.0;63.0;243.0;2.6;0.5
2021/01/01;1400 UTC;0.0;952.2;952.5;952.2;1750.7;28.1;21.1;28.1;26.3;21.5;19.0;69.0;63.0;66.0;208.0;3.3;1.1
2021/01/01;1500 UTC;0.0;952.0;952.2;952.0;2053.6;27.9;20.1;28.2;27.3;21.4;18.8;69.0;58.0;63.0;213.0;3.3;1.0
2021/01/01;1600 UTC;0.0;951.2;952.0;951.2;2280.4;27.9;18.7;28.9;27.7;20.6;17.4;63.0;52.0;57.0;249.0;4.8;2.3
2021/01/01;1700 UTC;0.0;950.1;951.2;950.1;2468.3;28.7;17.6;29.5;27.9;20.5;16.9;63.0;48.0;51.0;247.0;4.8;2.2
2021/01/01;1800 UTC;0.0;949.0;950.1;949.0;2545.9;28.9;18.4;30.6;28.2;19.8;17.5;58.0;49.0;53.0;202.0;4.9;2.0
2021/01/01;1900 UTC;0.0;948.6;949.0;948.6;2450.3;29.6;18.4;30.9;28.9;19.8;17.3;56.0;45.0;51.0;241.0;5.8;2.2
2021/01/01;2000 UTC;0.0;948.5;948.6;948.3;956.2;28.7;19.6;29.9;28.6;20.1;18.5;60.0;51.0;58.0;143.0;4.3;1.1
2021/01/01;2100 UTC;0.0;949.1;949.1;948.5;293.9;27.6;20.6;28.7;27.6;20.7;19.1;66.0;57.0;66.0;144.0;3.3;1.2
2021/01/01;2200 UTC;0.0;949.4;949.4;949.0;34.9;25.4;21.6;27.6;25.4;21.7;20.3;80.0;64.0;79.0;134.0;2.3;0.2
2021/01/01;2300 UTC;0.0;949.7;949.9;949.4;;25.3;21.0;25.7;25.3;21.6;20.7;79.0;74.0;77.0;48.0;1.5;0.0
2021/01/02;0000 UTC;0.6;950.0;950.0;949.6;;23.8;21.2;25.5;23.8;21.5;20.7;85.0;75.0;85.0;18.0;3.6;0.5
2021/01/02;0100 UTC;1.0;950.3;950.6;950.0;;22.5;20.1;23.9;22.5;21.2;19.9;87.0;81.0;86.0;313.0;5.5;1.7
2021/01/02;0200 UTC;0.2;951.0;951.0;950.3;;22.0;20.3;22.5;22.0;20.8;20.1;91.0;86.0;90.0;134.0;4.0;0.7
2021/01/02;0300 UTC;0.0;950.7;951.0;950.6;;21.8;20.3;22.0;21.6;20.3;20.1;92.0;90.0;92.0;33.0;1.7;0.7
2021/01/02;0400 UTC;0.0;950.3;950.7;950.3;;21.9;20.5;22.1;21.8;20.6;20.4;92.0;91.0;91.0;354.0;2.6;0.9
2021/01/02;0500 UTC;0.0;949.7;950.3;949.7;;21.7;20.1;21.9;21.5;20.4;19.9;91.0;90.0;91.0;78.0;1.9;0.0
2021/01/02;0600 UTC;0.0;949.1;949.7;949.1;;21.0;19.8;21.7;20.9;20.1;19.5;93.0;90.0;93.0;33.0;0.0;0.0
2021/01/02;0700 UTC;0.0;949.0;949.1;948.8;;20.9;19.3;21.4;20.8;20.0;19.3;93.0;91.0;91.0;48.0;0.0;0.0
2021/01/02;0800 UTC;0.0;949.3;949.3;949.0;;20.8;18.7;20.9;20.4;19.3;18.7;92.0;88.0;88.0;51.0;2.8;1.7
2021/01/02;0900 UTC;0.0;949.6;949.7;949.3;25.9;20.8;19.1;20.9;20.4;19.2;18.6;91.0;88.0;90.0;84.0;2.8;1.2
2021/01/02;1000 UTC;0.2;949.8;949.8;949.6;657.7;22.7;19.7;22.7;20.8;20.2;19.1;91.0;82.0;84.0;38.0;2.2;1.5
2021/01/02;1100 UTC;0.0;950.0;950.0;949.8;1552.2;24.7;20.0;24.7;22.7;20.4;19.4;84.0;75.0;75.0;20.0;3.2;1.7
2021/01/02;1200 UTC;0.0;949.9;950.0;949.9;2332.2;27.3;20.5;27.3;24.5;20.8;19.6;77.0;65.0;66.0;274.0;3.8;1.6
2021/01/02;1300 UTC;0.0;949.9;950.0;949.8;2869.2;27.4;19.2;28.4;26.8;20.7;19.1;68.0;59.0;61.0;248.0;4.7;2.0
2021/01/02;1400 UTC;0.0;949.5;949.9;949.5;3810.2;29.4;19.1;30.0;27.4;20.9;18.8;64.0;53.0;54.0;231.0;5.3;2.4
2021/01/02;1500 UTC;0.0;949.0;949.5;949.0;3948.7;30.4;19.2;31.1;28.8;21.2;18.8;59.0;49.0;51.0;248.0;6.0;2.7
2021/01/02;1600 UTC;0.0;947.9;949.0;947.9;3951.9;31.2;19.0;31.9;30.2;20.2;17.8;54.0;45.0;48.0;284.0;5.7;1.8
2021/01/02;1700 UTC;0.0;946.7;947.9;946.7;3272.8;30.2;20.3;32.0;30.0;20.8;17.8;56.0;45.0;56.0;357.0;5.4;2.4
2021/01/02;1800 UTC;0.0;945.3;946.7;945.3;2437.0;31.1;19.6;32.0;30.2;20.7;17.8;58.0;45.0;51.0;283.0;5.3;1.8
2021/01/02;1900 UTC;0.0;945.2;945.5;945.2;1450.8;28.9;20.7;31.8;28.2;20.7;18.1;63.0;45.0;62.0;272.0;6.4;1.4
2021/01/02;2000 UTC;3.6;945.9;945.9;945.0;487.5;24.4;20.5;29.3;23.8;21.9;18.8;84.0;58.0;79.0;93.0;8.7;3.3
2021/01/02;2100 UTC;0.0;946.0;946.3;945.8;438.3;22.7;19.9;24.3;22.5;20.6;19.7;86.0;78.0;84.0;13.0;8.7;0.9
2021/01/02;2200 UTC;0.0;946.9;946.9;945.7;67.8;22.5;20.5;23.1;22.2;20.7;19.9;89.0;84.0;88.0;49.0;3.5;0.7
2021/01/02;2300 UTC;0.0;946.7;947.0;946.6;;21.5;19.5;22.6;21.5;20.5;19.5;89.0;87.0;89.0;24.0;5.3;1.3
2021/01/03;0000 UTC;0.0;947.0;947.1;946.7;;21.3;19.4;21.5;21.2;19.7;19.3;90.0;89.0;89.0;304.0;2.4;0.4
