Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;0.0;868.0;868.0;867.7;;20.2;14.6;20.7;20.2;15.1;14.6;72.0;70.0;70.0;158.0;2.8;1.5
2021/01/01;0100 UTC;0.0;868.2;868.2;868.0;;19.8;14.6;20.3;19.8;14.7;14.4;72.0;69.0;72.0;72.0;2.2;0.5
2021/01/01;0200 UTC;0.0;867.9;868.3;867.9;;19.7;14.4;20.0;19.7;14.7;14.4;72.0;71.0;71.0;360.0;1.6;0.1
2021/01/01;0300 UTC;0.0;867.3;867.9;867.3;;19.3;13.8;19.9;19.3;14.4;13.8;71.0;70.0;70.0;16.0;0.9;0.0
2021/01/01;0400 UTC;0.0;866.5;867.3;866.5;;19.2;13.9;19.3;18.4;14.2;13.7;75.0;70.0;72.0;38.0;0.0;0.0
2021/01/01;0500 UTC;0.0;866.4;866.6;866.4;;18.8;13.7;19.4;18.4;14.0;13.5;74.0;70.0;72.0;329.0;0.0;0.0
2021/01/01;0600 UTC;0.0;866.2;866.5;866.2;;17.9;13.5;18.8;17.9;13.7;13.3;75.0;72.0;75.0;354.0;2.6;1.3
2021/01/01;0700 UTC;0.0;866.6;866.6;866.1;;17.9;13.6;18.2;17.8;13.7;13.5;76.0;75.0;76.0;316.0;1.8;0.0
2021/01/01;0800 UTC;0.0;867.2;867.2;866.6;;17.9;13.6;18.3;17.8;13.8;13.6;77.0;75.0;76.0;290.0;1.7;0.7
2021/01/01;0900 UTC;0.0;868.0;868.0;867.2;150.3;18.9;13.5;18.9;17.9;13.8;13.4;76.0;71.0;71.0;323.0;2.8;1.3
2021/01/01;1000 UTC;0.0;868.1;868.1;867.9;962.0;20.3;13.7;20.3;18.9;13.8;13.1;72.0;64.0;66.0;16.0;3.8;2.0
2021/01/01;1100 UTC;0.0;868.5;868.6;868.1;1903.3;21.5;13.7;21.8;20.2;14.1;13.4;67.0;59.0;61.0;346.0;5.3;2.9
2021/01/01;1200 UTC;0.0;868.7;868.7;868.5;2734.5;23.0;14.0;23.5;21.2;14.7;13.1;62.0;56.0;57.0;8.0;4.6;1.8
2021/01/01;1300 UTC;0.0;868.6;868.7;868.5;3406.5;25.0;15.0;25.0;22.8;15.0;13.7;59.0;52.0;54.0;73.0;6.1;1.2
2021/01/01;1400 UTC;0.0;868.1;868.6;868.1;4135.6;26.1;14.0;26.5;24.4;15.5;13.9;54.0;47.0;47.0;133.0;7.0;3.3
2021/01/01;1500 UTC;0.0;867.9;868.1;867.9;2936.5;25.7;14.4;27.5;25.5;15.3;13.3;51.0;43.0;50.0;81.0;7.0;2.0
2021/01/01;1600 UTC;0.0;866.8;867.9;866.8;1260.4;25.1;15.5;26.4;25.0;17.5;14.1;61.0;49.0;55.0;17.0;6.0;1.8
2021/01/01;1700 UTC;0.2;866.2;866.9;866.2;296.6;20.9;16.5;25.3;20.4;17.5;15.3;81.0;56.0;76.0;245.0;8.8;4.5
2021/01/01;1800 UTC;0.2;866.2;866.6;866.1;84.4;18.9;15.3;21.9;18.2;17.0;13.6;82.0;70.0;80.0;159.0;8.0;2.9
2021/01/01;1900 UTC;0.0;866.0;866.5;866.0;101.1;20.5;15.6;20.5;18.9;16.1;15.1;80.0;73.0;73.0;151.0;5.6;1.4
2021/01/01;2000 UTC;0.0;865.5;866.0;865.5;251.1;20.7;14.7;21.4;20.0;16.3;14.7;78.0;68.0;68.0;156.0;5.1;1.7
2021/01/01;2100 UTC;0.0;865.8;865.9;865.4;302.1;21.1;14.0;22.5;20.7;15.6;13.9;70.0;58.0;64.0;159.0;3.8;1.1
2021/01/01;2200 UTC;0.0;866.4;866.6;865.8;1.4;21.2;14.1;21.6;20.9;14.4;13.3;65.0;60.0;64.0;145.0;2.3;0.9
2021/01/01;2300 UTC;0.0;867.0;867.0;866.4;;21.1;14.2;21.7;21.0;14.2;13.3;65.0;59.0;65.0;142.0;2.0;1.5
2021/01/02;0000 UTC;0.0;867.4;867.5;866.9;;19.5;15.3;21.2;19.5;16.0;14.3;77.0;65.0;77.0;199.0;9.2;5.9
2021/01/02;0100 UTC;0.0;868.4;868.4;867.4;;17.7;15.8;19.5;17.5;16.2;15.3;91.0;77.0;89.0;287.0;12.8;4.7
2021/01/02;0200 UTC;13.4;868.1;868.8;867.9;;17.2;16.0;17.8;13.9;16.0;11.9;93.0;86.0;93.0;191.0;11.5;2.7
2021/01/02;0300 UTC;1.4;867.8;868.1;867.8;;17.2;16.0;17.3;17.1;16.2;16.0;93.0;92.0;93.0;208.0;4.8;1.2
2021/01/02;0400 UTC;1.6;866.8;867.8;866.8;;16.9;16.1;17.3;16.8;16.1;15.7;95.0;90.0;95.0;132.0;6.0;3.5
2021/01/02;0500 UTC;0.0;866.5;866.8;866.5;;16.4;15.6;16.9;16.3;16.1;15.5;95.0;94.0;95.0;142.0;6.0;2.7
2021/01/02;0600 UTC;0.0;866.4;866.6;866.3;;16.8;14.9;16.8;16.3;15.7;14.9;96.0;89.0;89.0;176.0;4.3;2.2
2021/01/02;0700 UTC;0.0;866.7;866.7;866.4;;16.9;14.4;17.5;16.8;15.0;14.2;89.0;81.0;85.0;168.0;2.7;1.5
2021/01/02;0800 UTC;0.0;867.2;867.2;866.7;;17.6;14.5;17.6;16.8;14.5;14.0;86.0;80.0;82.0;241.0;2.1;0.7
2021/01/02;0900 UTC;0.0;867.3;867.4;867.2;76.1;17.2;15.0;18.4;17.2;15.4;13.8;88.0;75.0;87.0;101.0;2.5;0.9
2021/01/02;1000 UTC;0.0;866.6;867.3;866.6;354.4;17.0;15.9;17.2;16.7;16.0;15.0;94.0;87.0;93.0;133.0;3.9;2.8
2021/01/02;1100 UTC;0.0;866.8;866.8;866.5;719.0;18.9;15.1;18.9;16.9;16.0;14.7;93.0;78.0;79.0;139.0;3.9;1.4
2021/01/02;1200 UTC;0.0;867.0;867.0;866.7;1970.1;20.8;15.7;21.3;18.9;16.6;14.8;79.0;72.0;73.0;46.0;4.0;1.5
2021/01/02;1300 UTC;0.0;867.1;867.1;867.0;3251.0;22.7;16.9;22.9;20.7;17.9;15.8;77.0;69.0;70.0;29.0;5.2;2.4
2021/01/02;1400 UTC;0.2;866.9;867.1;866.9;3778.2;23.1;15.5;24.2;22.7;17.8;14.9;72.0;59.0;62.0;38.0;6.0;2.6
2021/01/02;1500 UTC;0.0;866.5;866.9;866.5;3643.1;24.8;15.7;25.5;22.9;17.4;14.4;65.0;51.0;57.0;6.0;6.0;1.4
2021/01/02;1600 UTC;0.0;865.4;866.5;865.4;3153.1;25.5;15.0;26.2;24.7;17.3;14.4;62.0;50.0;52.0;31.0;7.2;2.4
2021/01/02;1700 UTC;0.0;865.0;865.5;865.0;317.6;20.0;15.5;25.6;20.0;17.5;14.6;82.0;53.0;75.0;299.0;9.8;4.5
2021/01/02;1800 UTC;1.4;864.4;865.1;864.4;224.1;19.6;16.1;20.0;18.7;16.9;15.6;88.0;75.0;80.0;156.0;7.2;1.4
2021/01/02;1900 UTC;0.2;864.5;864.5;864.0;1248.9;19.1;17.1;21.6;19.1;17.6;14.5;89.0;64.0;88.0;145.0;7.4;4.3
2021/01/02;2000 UTC;0.0;864.2;864.7;864.2;679.2;19.3;16.7;19.4;18.7;17.1;16.1;89.0;83.0;85.0;132.0;6.0;1.9
2021/01/02;2100 UTC;1.0;864.9;865.1;864.1;174.2;18.3;16.2;19.8;18.3;17.1;15.7;88.0;79.0;87.0;329.0;4.8;2.9
2021/01/02;2200 UTC;1.0;864.3;864.8;864.3;;18.3;16.1;18.4;18.1;16.4;15.3;89.0;84.0;87.0;130.0;4.8;0.0
2021/01/02;2300 UTC;0.4;864.6;864.6;864.2;;19.0;15.5;19.0;18.0;16.4;14.7;89.0;77.0;80.0;299.0;0.8;0.0
2021/01/03;0000 UTC;0.0;865.3;865.5;864.6;;17.8;16.7;19.2;17.6;16.9;15.1;94.0;77.0;94.0;346.0;2.9;0.0
2021/01/03;0100 UTC;0.4;865.5;865.5;865.2;;18.0;16.9;18.5;17.8;16.9;16.0;94.0;86.0;93.0;279.0;3.9;2.3
2021/01/03;0200 UTC;2.2;865.1;865.6;865.1;;17.9;16.7;18.0;17.8;16.8;16.3;94.0;91.0;92.0;260.0;3.9;0.7
2021/01/03;0300 UTC;5.2;864.5;865.2;864.5;;16.6;15.5;18.3;16.3;16.6;14.7;93.0;86.0;93.0;36.0;6.3;2.7
2021/01/03;0400 UTC;0.8;864.4;864.8;864.3;;16.3;15.5;17.0;16.3;16.2;15.5;95.0;92.0;95.0;128.0;5.0;0.0
2021/01/03;0500 UTC;0.2;864.4;864.5;864.3;;16.8;16.0;16.8;16.3;16.0;15.5;95.0;95.0;95.0;130.0;3.3;2.2
2021/01/03;0600 UTC;1.2;864.5;864.6;864.2;;16.3;15.6;16.8;16.3;16.0;15.5;96.0;95.0;96.0;146.0;4.0;1.4
2021/01/03;0700 UTC;3.2;865.3;865.3;864.5;;16.2;15.4;16.5;16.2;15.8;15.4;96.0;95.0;95.0;16.0;4.7;2.2
2021/01/03;0800 UTC;4.8;865.2;865.4;865.2;0.0;15.5;14.8;16.2;15.4;15.4;14.7;96.0;95.0;96.0;32.0;6.1;2.0
2021/01/03;0900 UTC;3.0;865.4;865.5;865.2;13.0;15.5;14.4;15.8;15.1;14.8;14.3;96.0;93.0;94.0;321.0;3.0;2.2
2021/01/03;1000 UTC;0.6;865.4;865.4;865.1;149.6;16.2;14.7;16.2;15.3;14.9;14.4;95.0;91.0;91.0;12.0;4.1;1.1
2021/01/03;1100 UTC;0.0;865.6;865.7;865.3;667.7;17.9;14.9;18.0;16.2;15.1;14.6;92.0;81.0;82.0;20.0;2.6;0.8
2021/01/03;1200 UTC;0.0;866.0;866.0;865.6;1529.2;18.5;15.8;18.8;17.9;16.4;14.8;86.0;82.0;84.0;12.0;3.4;1.6
2021/01/03;1300 UTC;0.0;866.2;866.3;866.0;1843.0;19.7;15.9;19.9;18.2;16.4;15.1;85.0;78.0;78.0;38.0;5.9;2.6
2021/01/03;1400 UTC;0.0;866.0;866.3;866.0;2140.2;20.9;16.6;21.2;19.7;17.4;15.7;81.0;75.0;76.0;40.0;6.6;4.2
2021/01/03;1500 UTC;0.0;865.7;866.0;865.7;3614.9;22.8;16.4;23.2;20.7;17.8;16.2;78.0;67.0;67.0;42.0;6.5;3.8
2021/01/03;1600 UTC;0.0;865.1;865.7;865.1;2497.0;22.8;16.6;23.3;22.0;17.6;16.1;73.0;66.0;68.0;2.0;7.6;3.3
2021/01/03;1700 UTC;0.0;864.1;865.1;864.1;2717.3;23.3;17.1;24.0;22.7;17.4;16.0;71.0;62.0;68.0;8.0;6.0;3.0
2021/01/03;1800 UTC;0.0;863.5;864.2;863.5;920.3;22.1;17.4;23.4;22.0;17.5;16.5;74.0;67.0;74.0;35.0;5.9;3.1
2021/01/03;1900 UTC;0.0;863.6;863.6;863.4;856.8;21.9;17.3;22.4;21.8;17.6;16.9;76.0;73.0;75.0;47.0;5.1;3.0
2021/01/03;2000 UTC;0.0;863.3;863.7;863.3;788.6;21.9;16.8;22.7;21.8;17.4;16.5;75.0;69.0;73.0;8.0;5.0;1.6
