Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2022/01/01;0000 UTC;0.0;914.6;914.6;914.0;1.5;19.7;18.6;20.0;19.6;18.7;18.4;93.0;92.0;93.0;15.0;7.1;4.5
2022/01/01;0100 UTC;0.0;915.2;915.2;914.6;1.0;19.7;18.7;19.8;19.7;18.7;18.6;93.0;93.0;93.0;10.0;7.0;3.6
2022/01/01;0200 UTC;0.0;915.3;915.4;915.2;0.7;19.8;18.8;19.8;19.7;18.8;18.6;94.0;93.0;94.0;6.0;6.6;4.0
2022/01/01;0300 UTC;0.0;914.5;915.3;914.5;;19.8;18.4;19.9;19.8;18.8;18.4;94.0;91.0;91.0;348.0;6.1;4.1
2022/01/01;0400 UTC;0.0;914.1;914.5;914.1;;19.7;18.1;19.8;19.6;18.4;18.1;93.0;91.0;91.0;354.0;7.4;5.1
2022/01/01;0500 UTC;0.0;913.7;914.1;913.7;0.8;19.4;18.1;19.7;19.4;18.1;18.1;92.0;91.0;92.0;353.0;7.4;3.3
2022/01/01;0600 UTC;0.0;913.3;913.7;913.3;0.8;19.3;17.9;19.5;19.3;18.1;17.9;92.0;91.0;91.0;358.0;5.7;3.6
2022/01/01;0700 UTC;0.0;913.4;913.4;913.2;;19.2;17.8;19.4;19.1;17.9;17.7;92.0;91.0;92.0;359.0;5.8;3.0
2022/01/01;0800 UTC;0.2;913.8;913.8;913.4;0.4;19.2;17.8;19.3;19.2;17.9;17.8;92.0;91.0;91.0;349.0;5.2;3.5
2022/01/01;0900 UTC;0.0;914.3;914.3;913.8;7.2;19.4;17.8;19.4;19.2;17.8;17.8;91.0;90.0;91.0;352.0;6.1;3.5
2022/01/01;1000 UTC;0.0;914.8;914.8;914.3;136.3;19.8;18.1;19.8;19.4;18.1;17.8;91.0;90.0;90.0;355.0;6.1;3.8
2022/01/01;1100 UTC;0.0;915.4;915.4;914.8;560.2;20.8;18.7;20.9;19.8;18.9;18.1;90.0;88.0;88.0;357.0;6.3;4.0
2022/01/01;1200 UTC;0.0;915.7;915.7;915.4;1177.2;22.4;19.2;22.5;20.8;19.6;18.6;88.0;82.0;82.0;344.0;8.5;4.9
2022/01/01;1300 UTC;0.0;915.7;915.8;915.7;2572.3;24.7;18.4;24.7;22.4;19.4;18.2;82.0;68.0;68.0;346.0;9.3;6.0
2022/01/01;1400 UTC;0.0;915.4;915.7;915.4;2259.9;25.2;19.1;25.6;24.2;19.2;17.7;71.0;66.0;69.0;4.0;10.0;5.3
2022/01/01;1500 UTC;0.0;914.8;915.4;914.7;2252.5;25.3;18.7;25.9;24.7;19.7;18.3;70.0;66.0;67.0;24.0;10.7;6.6
2022/01/01;1600 UTC;0.0;914.1;914.8;914.1;1664.4;23.5;20.2;25.6;22.5;20.6;18.4;86.0;66.0;81.0;27.0;12.1;4.9
2022/01/01;1700 UTC;0.0;912.9;914.1;912.9;2266.2;26.5;18.9;26.9;23.6;21.2;18.3;82.0;61.0;63.0;1.0;9.6;6.1
2022/01/01;1800 UTC;0.0;911.8;912.9;911.8;2055.6;26.8;18.4;27.5;26.2;20.0;17.6;64.0;57.0;60.0;20.0;10.4;7.1
2022/01/01;1900 UTC;0.2;911.9;912.0;911.7;1754.6;24.3;19.1;28.1;24.3;20.6;18.3;74.0;60.0;73.0;47.0;11.2;6.7
2022/01/01;2000 UTC;0.0;912.6;912.8;911.8;485.5;20.6;19.4;25.2;20.6;20.1;18.9;93.0;69.0;93.0;358.0;13.5;5.3
2022/01/01;2100 UTC;0.0;913.3;913.4;912.6;47.6;20.3;19.2;21.2;19.8;19.9;18.7;94.0;92.0;93.0;296.0;10.3;1.4
2022/01/01;2200 UTC;0.0;914.1;914.1;913.3;11.0;20.1;18.6;20.6;20.0;19.2;18.6;93.0;91.0;91.0;31.0;4.6;2.2
2022/01/01;2300 UTC;0.0;914.9;914.9;914.1;5.2;20.4;19.0;20.6;20.1;19.0;18.6;92.0;89.0;92.0;353.0;4.5;1.9
2022/01/02;0000 UTC;0.0;915.9;915.9;914.9;2.3;20.5;19.2;20.5;20.3;19.2;19.0;93.0;92.0;93.0;14.0;5.5;3.6
2022/01/02;0100 UTC;0.0;916.5;916.5;915.9;1.7;20.3;19.1;20.6;20.3;19.5;19.1;93.0;93.0;93.0;20.0;5.5;2.5
2022/01/02;0200 UTC;0.0;916.4;916.6;916.4;0.7;20.2;19.2;20.3;20.2;19.3;19.1;94.0;93.0;94.0;10.0;5.6;3.2
2022/01/02;0300 UTC;0.0;915.7;916.4;915.7;1.2;20.3;19.2;20.4;20.2;19.4;19.2;94.0;93.0;93.0;353.0;6.7;4.3
2022/01/02;0400 UTC;0.0;915.1;915.7;915.1;2.1;19.7;18.4;20.3;19.6;19.2;18.3;93.0;92.0;92.0;354.0;6.7;3.2
