Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;0.0;957.7;957.7;956.9;;23.1;18.0;24.7;22.9;18.5;17.6;74.0;67.0;73.0;283.0;1.4;0.7
2021/01/01;0100 UTC;0.0;958.4;958.4;957.7;;22.4;17.4;23.5;22.4;18.0;17.0;74.0;68.0;74.0;268.0;2.1;0.8
2021/01/01;0200 UTC;0.0;958.3;958.4;958.3;;21.7;17.5;22.6;21.3;17.9;17.2;81.0;72.0;77.0;279.0;2.0;0.9
2021/01/01;0300 UTC;0.0;958.0;958.3;958.0;;20.6;17.8;22.0;20.6;17.9;17.4;84.0;76.0;84.0;313.0;1.9;0.7
2021/01/01;0400 UTC;0.0;957.7;958.0;957.7;;20.7;17.3;21.0;20.2;18.1;17.3;87.0;81.0;81.0;273.0;1.4;0.8
2021/01/01;0500 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0600 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0700 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0800 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0900 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1000 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1100 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1200 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1300 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1400 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1500 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1600 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1700 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1800 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1900 UTC;0.0;954.7;955.4;954.6;2072.1;35.2;15.5;36.0;34.5;17.2;15.5;35.0;30.0;31.0;72.0;6.0;2.8
2021/01/01;2000 UTC;;;;;;;;;;;;;;;;;
2021/01/01;2100 UTC;;;;;;;;;;;;;;;;;
2021/01/01;2200 UTC;;;;;;;;;;;;;;;;;
2021/01/01;2300 UTC;;;;;;;;;;;;;;;;;
2021/01/02;0000 UTC;;;;;;;;;;;;;;;;;
2021/01/02;0100 UTC;;;;;;;;;;;;;;;;;
2021/01/02;0200 UTC;;;;;;;;;;;;;;;;;
2021/01/02;0300 UTC;;;;;;;;;;;;;;;;;
2021/01/02;0400 UTC;;;;;;;;;;;;;;;;;
2021/01/02;0500 UTC;;;;;;;;;;;;;;;;;
2021/01/02;0600 UTC;;;;;;;;;;;;;;;;;
2021/01/02;0700 UTC;;;;;;;;;;;;;;;;;
2021/01/02;0800 UTC;;;;;;;;;;;;;;;;;
2021/01/02;0900 UTC;;;;;;;;;;;;;;;;;
2021/01/02;1000 UTC;;;;;;;;;;;;;;;;;
2021/01/02;1100 UTC;;;;;;;;;;;;;;;;;
2021/01/02;1200 UTC;;;;;;;;;;;;;;;;;
2021/01/02;1300 UTC;;;;;;;;;;;;;;;;;
2021/01/02;1400 UTC;;;;;;;;;;;;;;;;;
2021/01/02;1500 UTC;;;;;;;;;;;;;;;;;
2021/01/02;1600 UTC;;;;;;;;;;;;;;;;;
2021/01/02;1700 UTC;;;;;;;;;;;;;;;;;
2021/01/02;1800 UTC;;;;;;;;;;;;;;;;;
2021/01/02;1900 UTC;;;;;;;;;;;;;;;;;
2021/01/02;2000 UTC;;;;;;;;;;;;;;;;;
2021/01/02;2100 UTC;;;;;;;;;;;;;;;;;
2021/01/02;2200 UTC;;;;;;;;;;;;;;;;;
2021/01/02;2300 UTC;;;;;;;;;;;;;;;;;
2021/01/03;0000 UTC;;;;;;;;;;;;;;;;;
2021/01/03;0100 UTC;;;;;;;;;;;;;;;;;
2021/01/03;0200 UTC;;;;;;;;;;;;;;;;;
2021/01/03;0300 UTC;;;;;;;;;;;;;;;;;
2021/01/03;0400 UTC;;;;;;;;;;;;;;;;;
2021/01/03;0500 UTC;;;;;;;;;;;;;;;;;
2021/01/03;0600 UTC;;;;;;;;;;;;;;;;;
2021/01/03;0700 UTC;;;;;;;;;;;;;;;;;
2021/01/03;0800 UTC;;;;;;;;;;;;;;;;;
2021/01/03;0900 UTC;;;;;;;;;;;;;;;;;
2021/01/03;1000 UTC;;;;;;;;;;;;;;;;;
2021/01/03;1100 UTC;;;;;;;;;;;;;;;;;
2021/01/03;1200 UTC;;;;;;;;;;;;;;;;;
2021/01/03;1300 UTC;;;;;;;;;;;;;;;;;
2021/01/03;1400 UTC;;;;;;;;;;;;;;;;;
2021/01/03;1500 UTC;;;;;;;;;;;;;;;;;
2021/01/03;1600 UTC;;;;;;;;;;;;;;;;;
2021/01/03;1700 UTC;;;;;;;;;;;;;;;;;
2021/01/03;1800 UTC;;;;;;;;;;;;;;;;;
2021/01/03;1900 UTC;;;;;;;;;;;;;;;;;
2021/01/03;2000 UTC;;;;;;;;;;;;;;;;;
2021/01/03;2100 UTC;;;;;;;;;;;;;;;;;
2021/01/03;2200 UTC;;;;;;;;;;;;;;;;;
2021/01/03;2300 UTC;;;;;;;;;;;;;;;;;
2021/01/04;0000 UTC;;;;;;;;;;;;;;;;;
2021/01/04;0100 UTC;;;;;;;;;;;;;;;;;
2021/01/04;0200 UTC;;;;;;;;;;;;;;;;;
2021/01/04;0300 UTC;;;;;;;;;;;;;;;;;
2021/01/04;0400 UTC;;;;;;;;;;;;;;;;;
2021/01/04;0500 UTC;;;;;;;;;;;;;;;;;
2021/01/04;0600 UTC;;;;;;;;;;;;;;;;;
2021/01/04;0700 UTC;;;;;;;;;;;;;;;;;
2021/01/04;0800 UTC;;;;;;;;;;;;;;;;;
2021/01/04;0900 UTC;;;;;;;;;;;;;;;;;
2021/01/04;1000 UTC;;;;;;;;;;;;;;;;;
2021/01/04;1100 UTC;;;;;;;;;;;;;;;;;
2021/01/04;1200 UTC;;;;;;;;;;;;;;;;;
2021/01/04;1300 UTC;;;;;;;;;;;;;;;;;
2021/01/04;1400 UTC;;;;;;;;;;;;;;;;;
2021/01/04;1500 UTC;;;;;;;;;;;;;;;;;
2021/01/04;1600 UTC;;;;;;;;;;;;;;;;;
2021/01/04;1700 UTC;;;;;;;;;;;;;;;;;
2021/01/04;1800 UTC;;;;;;;;;;;;;;;;;
2021/01/04;1900 UTC;0.0;957.0;957.7;957.0;2321.9;28.8;20.7;29.8;28.6;21.9;20.7;66.0;60.0;62.0;138.0;4.8;2.3
2021/01/04;2000 UTC;0.0;957.1;957.1;957.0;1435.9;28.2;21.5;29.7;28.2;22.2;20.5;68.0;60.0;67.0;103.0;4.5;1.8
2021/01/04;2100 UTC;0.0;956.8;957.1;956.7;410.8;28.2;21.8;28.6;27.7;22.4;21.3;72.0;66.0;68.0;224.0;3.1;0.5
2021/01/04;2200 UTC;0.0;957.8;957.8;956.8;36.1;25.0;22.9;28.2;25.0;23.6;21.7;89.0;68.0;88.0;285.0;2.6;1.6
2021/01/04;2300 UTC;0.0;958.4;958.4;957.8;;23.3;23.3;25.0;23.3;23.7;22.9;100.0;88.0;100.0;309.0;2.6;0.9
2021/01/05;0000 UTC;0.0;958.3;958.4;958.3;;22.7;22.7;23.5;22.7;23.3;22.7;100.0;96.0;100.0;241.0;2.5;1.4
2021/01/05;0100 UTC;0.0;958.3;958.5;958.1;;22.2;22.2;22.8;22.0;22.8;22.0;100.0;100.0;100.0;274.0;3.1;0.8
2021/01/05;0200 UTC;0.0;958.6;958.6;958.3;;22.0;22.0;22.5;21.9;22.5;21.9;100.0;100.0;100.0;297.0;2.9;0.7
2021/01/05;0300 UTC;0.0;958.4;958.7;958.4;;21.8;21.8;22.1;21.8;22.1;21.8;100.0;100.0;100.0;269.0;2.6;1.6
2021/01/05;0400 UTC;0.0;957.9;958.4;957.9;;22.1;22.1;22.2;21.7;22.2;21.6;100.0;100.0;100.0;265.0;3.0;1.6
2021/01/05;0500 UTC;0.0;957.4;958.0;957.4;;22.2;22.2;22.4;22.1;22.4;22.1;100.0;100.0;100.0;284.0;3.2;0.9
2021/01/05;0600 UTC;0.0;957.7;957.7;957.3;;22.2;22.1;22.2;21.8;22.2;21.8;100.0;100.0;100.0;286.0;2.6;1.4
