Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;0.0;971.9;972.1;971.9;;22.7;21.2;23.2;22.7;21.6;21.2;91.0;90.0;91.0;342.0;2.8;0.8
2021/01/01;0100 UTC;0.0;972.5;972.6;971.9;;22.1;20.9;22.7;22.1;21.2;20.8;93.0;91.0;93.0;352.0;1.7;0.3
2021/01/01;0200 UTC;0.0;972.6;972.6;972.3;;21.7;20.5;22.3;21.6;21.0;20.3;93.0;92.0;93.0;237.0;1.5;0.7
2021/01/01;0300 UTC;0.0;971.7;972.6;971.7;;21.1;20.0;21.9;21.1;20.7;20.0;94.0;93.0;93.0;305.0;1.5;0.4
2021/01/01;0400 UTC;0.0;971.1;971.7;971.1;;20.9;20.0;21.4;20.8;20.4;19.7;94.0;93.0;94.0;246.0;1.6;0.5
2021/01/01;0500 UTC;0.0;970.7;971.2;970.7;;20.1;19.2;21.0;20.0;20.1;19.1;95.0;94.0;95.0;319.0;1.5;1.1
2021/01/01;0600 UTC;0.0;970.2;970.7;970.2;;20.2;19.3;20.2;19.8;19.3;18.9;95.0;94.0;95.0;321.0;1.8;1.3
2021/01/01;0700 UTC;0.0;970.3;970.4;970.2;;19.9;19.1;20.6;19.8;19.7;19.0;95.0;94.0;95.0;341.0;1.9;1.2
2021/01/01;0800 UTC;0.0;971.0;971.0;970.3;;20.1;19.4;20.5;19.8;19.7;19.0;95.0;95.0;95.0;316.0;1.9;1.1
2021/01/01;0900 UTC;0.0;971.6;971.6;971.0;47.5;20.4;19.7;20.5;19.7;19.7;18.9;96.0;95.0;96.0;57.0;3.6;1.4
2021/01/01;1000 UTC;0.0;972.6;972.6;971.6;304.6;20.7;20.0;21.0;20.4;20.3;19.7;96.0;96.0;96.0;315.0;2.9;0.9
2021/01/01;1100 UTC;0.0;972.4;972.6;972.4;985.6;23.6;22.3;23.6;20.7;22.5;19.9;96.0;93.0;93.0;52.0;2.8;1.4
2021/01/01;1200 UTC;0.0;972.3;972.5;972.3;2400.8;26.9;21.8;26.9;23.3;22.2;21.0;93.0;72.0;74.0;20.0;3.8;1.7
2021/01/01;1300 UTC;0.2;971.9;972.3;971.9;2852.8;28.3;20.9;28.4;26.9;22.9;20.3;75.0;62.0;64.0;53.0;4.9;2.6
2021/01/01;1400 UTC;0.0;971.7;972.0;971.7;2971.6;29.3;21.0;30.3;28.3;23.4;20.9;69.0;60.0;61.0;20.0;4.5;1.3
2021/01/01;1500 UTC;0.0;971.5;971.7;971.5;3010.5;31.5;20.8;31.5;29.3;22.6;19.1;64.0;48.0;53.0;66.0;3.0;1.0
2021/01/01;1600 UTC;0.0;971.6;971.9;971.2;1158.8;24.8;19.4;32.0;24.8;21.3;18.6;72.0;48.0;72.0;189.0;11.2;4.5
2021/01/01;1700 UTC;0.0;971.2;971.6;971.2;2194.2;27.4;21.8;27.6;24.8;22.4;19.7;74.0;63.0;72.0;209.0;9.9;3.6
2021/01/01;1800 UTC;0.0;970.8;971.3;970.6;1564.2;27.3;21.0;27.6;26.7;22.5;20.6;75.0;67.0;68.0;193.0;8.1;4.1
2021/01/01;1900 UTC;0.0;970.8;970.9;970.6;1702.1;27.4;20.5;27.8;26.8;21.0;19.8;69.0;64.0;66.0;192.0;8.3;3.8
2021/01/01;2000 UTC;0.0;971.0;971.3;970.8;1087.2;25.8;19.6;27.7;25.8;20.9;19.3;69.0;63.0;68.0;219.0;7.9;2.1
2021/01/01;2100 UTC;0.0;972.0;972.0;970.9;242.6;24.9;19.7;25.9;24.9;20.0;19.5;73.0;68.0;73.0;204.0;5.6;2.7
2021/01/01;2200 UTC;;;;;;;;;;;;;;;;;
2021/01/01;2300 UTC;;;;;;;;;;;;;;;;;
2021/01/02;0000 UTC;0.0;973.6;973.6;972.4;;23.3;20.4;23.5;22.7;20.6;19.9;87.0;81.0;83.0;233.0;5.5;1.4
2021/01/02;0100 UTC;0.0;974.2;974.2;973.6;;22.5;20.3;23.4;22.5;20.4;20.1;87.0;83.0;87.0;208.0;3.1;0.9
2021/01/02;0200 UTC;0.0;974.0;974.4;974.0;;22.3;20.4;22.6;22.3;20.6;20.3;89.0;87.0;89.0;76.0;2.5;0.5
2021/01/02;0300 UTC;0.0;973.4;974.0;973.4;;22.1;20.6;22.3;22.1;20.7;20.4;91.0;89.0;91.0;308.0;1.3;0.6
2021/01/02;0400 UTC;0.0;972.7;973.4;972.6;;22.0;20.6;22.2;21.8;20.6;20.3;92.0;91.0;92.0;297.0;1.4;0.6
2021/01/02;0500 UTC;0.0;972.3;972.7;972.3;;22.2;20.7;22.2;21.7;20.7;20.3;92.0;91.0;91.0;36.0;1.7;0.3
2021/01/02;0600 UTC;0.0;972.1;972.3;972.1;;22.3;20.8;22.3;22.1;20.9;20.7;92.0;91.0;91.0;349.0;1.9;1.2
2021/01/02;0700 UTC;0.0;972.0;972.1;971.9;;21.9;19.4;22.3;21.9;20.8;19.4;91.0;86.0;86.0;14.0;3.6;1.5
2021/01/02;0800 UTC;0.0;971.9;972.0;971.9;;21.2;19.5;21.9;21.2;19.6;19.4;90.0;86.0;90.0;335.0;3.4;1.0
2021/01/02;0900 UTC;0.0;972.0;972.1;971.9;60.3;21.3;19.6;21.3;20.7;19.7;19.3;92.0;90.0;90.0;360.0;2.3;0.6
2021/01/02;1000 UTC;0.0;972.3;972.3;971.9;347.4;22.1;19.3;22.1;21.2;19.8;19.3;90.0;84.0;84.0;1.0;1.5;0.6
2021/01/02;1100 UTC;0.0;972.2;972.3;972.2;430.3;22.7;19.6;22.7;22.1;19.8;19.2;85.0;82.0;83.0;342.0;1.5;0.6
2021/01/02;1200 UTC;0.0;972.4;972.4;972.1;546.9;23.6;20.0;23.6;22.7;20.2;19.4;83.0;80.0;80.0;283.0;1.7;0.6
2021/01/02;1300 UTC;0.0;972.5;972.5;972.4;1637.1;25.1;20.0;25.5;23.6;21.0;19.4;81.0;72.0;73.0;44.0;3.5;2.0
2021/01/02;1400 UTC;0.0;972.0;972.5;972.0;2913.6;26.8;20.1;27.1;25.0;22.0;19.3;75.0;65.0;67.0;16.0;3.7;1.5
2021/01/02;1500 UTC;0.0;971.5;972.0;971.5;2978.0;27.1;19.4;28.4;26.8;21.8;18.6;69.0;58.0;63.0;333.0;4.2;1.2
2021/01/02;1600 UTC;0.0;970.7;971.6;970.6;3039.6;28.9;19.4;28.9;27.0;21.1;18.9;66.0;56.0;56.0;281.0;4.5;1.5
2021/01/02;1700 UTC;0.0;970.8;971.0;970.7;631.6;23.5;20.0;29.0;23.5;21.2;19.8;81.0;56.0;81.0;214.0;9.1;2.8
2021/01/02;1800 UTC;0.0;970.5;971.1;970.4;171.8;22.5;19.9;23.5;22.5;20.2;19.9;85.0;81.0;85.0;215.0;6.1;2.8
2021/01/02;1900 UTC;0.6;970.7;970.7;970.2;204.0;22.6;20.1;22.6;22.3;20.2;19.9;88.0;85.0;86.0;237.0;5.7;2.1
2021/01/02;2000 UTC;0.0;970.2;970.8;970.2;457.4;22.9;20.3;22.9;22.5;20.3;20.1;86.0;84.0;85.0;224.0;4.9;1.8
