Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;0.0;979.1;979.1;978.6;;25.8;23.1;26.7;25.8;23.6;22.9;86.0;80.0;86.0;142.0;1.9;0.3
2021/01/01;0100 UTC;0.0;979.7;979.7;979.1;;24.4;22.7;25.8;24.4;23.3;22.5;91.0;83.0;90.0;30.0;1.4;0.3
2021/01/01;0200 UTC;0.0;979.6;979.8;979.6;;23.8;22.3;24.4;23.8;22.8;22.3;92.0;90.0;91.0;30.0;1.6;0.6
2021/01/01;0300 UTC;0.0;978.6;979.6;978.6;;23.4;22.2;23.9;23.3;22.4;22.0;94.0;89.0;93.0;126.0;1.6;0.3
2021/01/01;0400 UTC;0.0;978.6;978.6;978.3;;22.7;21.8;23.4;22.7;22.3;21.7;95.0;92.0;94.0;40.0;1.5;0.8
2021/01/01;0500 UTC;0.0;978.3;978.6;978.3;;22.6;21.6;22.8;22.6;22.0;21.6;96.0;94.0;95.0;8.0;2.0;0.6
2021/01/01;0600 UTC;0.0;977.9;978.3;977.9;;22.1;21.3;22.6;22.1;21.7;21.3;96.0;95.0;95.0;31.0;1.3;0.6
2021/01/01;0700 UTC;0.0;978.0;978.0;977.8;;21.7;21.1;22.1;21.7;21.4;21.1;97.0;95.0;96.0;15.0;1.6;0.3
2021/01/01;0800 UTC;0.0;978.7;978.8;978.0;;21.3;20.8;21.7;21.2;21.1;20.6;97.0;96.0;97.0;36.0;1.1;0.3
2021/01/01;0900 UTC;0.0;979.5;979.5;978.7;90.8;21.7;21.3;21.7;21.0;21.3;20.6;98.0;97.0;98.0;34.0;1.0;0.4
