Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;0.0;961.3;961.3;960.0;;21.3;19.5;21.5;21.1;19.6;19.0;90.0;86.0;90.0;48.0;1.0;0.0
2021/01/01;0100 UTC;0.0;961.7;961.9;961.3;;22.3;20.3;22.3;21.3;20.3;19.6;90.0;88.0;89.0;145.0;2.6;0.8
2021/01/01;0200 UTC;0.2;962.4;962.5;961.5;;22.4;20.2;23.2;22.3;20.6;20.1;89.0;83.0;87.0;297.0;4.1;1.4
2021/01/01;0300 UTC;0.0;962.5;962.5;962.1;0.0;21.2;19.9;22.4;21.2;20.5;19.9;92.0;88.0;92.0;296.0;5.6;2.4
2021/01/01;0400 UTC;0.0;961.4;962.5;961.3;0.8;20.4;19.1;21.2;20.2;19.7;18.9;92.0;92.0;92.0;230.0;6.4;0.5
2021/01/01;0500 UTC;0.0;959.9;961.4;959.9;;20.8;19.4;21.1;20.4;19.6;19.1;92.0;91.0;92.0;189.0;3.4;0.6
2021/01/01;0600 UTC;0.0;958.9;959.9;958.9;;20.7;19.5;20.9;20.7;19.6;19.4;93.0;92.0;93.0;155.0;4.1;0.2
2021/01/01;0700 UTC;0.0;958.6;959.0;958.6;;20.7;19.5;20.8;20.6;19.6;19.3;93.0;93.0;93.0;34.0;1.5;0.1
2021/01/01;0800 UTC;0.0;958.9;958.9;958.5;;20.7;19.5;20.9;20.7;19.7;19.5;93.0;93.0;93.0;42.0;1.9;0.2
2021/01/01;0900 UTC;0.0;960.2;960.2;958.9;35.8;21.1;19.9;21.2;20.7;20.0;19.5;93.0;93.0;93.0;315.0;2.0;0.2
2021/01/01;1000 UTC;0.0;961.5;961.5;960.3;225.1;21.6;20.3;21.7;21.1;20.4;19.9;93.0;92.0;92.0;295.0;2.5;0.7
2021/01/01;1100 UTC;0.0;961.9;961.9;961.5;309.4;22.2;20.4;22.3;21.6;20.5;20.1;92.0;89.0;89.0;298.0;2.5;0.0
2021/01/01;1200 UTC;0.0;962.5;962.5;961.9;611.7;23.2;20.6;23.3;22.2;21.1;20.2;89.0;86.0;86.0;302.0;1.6;0.0
2021/01/01;1300 UTC;0.0;962.2;962.5;962.2;1334.6;25.3;21.8;25.3;23.1;21.9;20.5;87.0;80.0;81.0;288.0;1.5;0.0
2021/01/01;1400 UTC;0.0;961.9;962.2;961.8;1995.6;26.3;21.1;26.4;25.2;22.0;20.3;81.0;72.0;73.0;352.0;2.6;0.3
2021/01/01;1500 UTC;0.0;961.6;961.9;961.6;2933.0;28.8;20.7;28.8;26.3;22.0;19.1;74.0;59.0;62.0;316.0;3.8;1.0
2021/01/01;1600 UTC;0.0;960.7;961.6;960.7;3232.1;28.6;19.9;29.6;27.7;20.9;18.9;65.0;55.0;59.0;256.0;6.6;2.3
2021/01/01;1700 UTC;0.0;959.3;960.7;959.3;3021.8;29.9;20.2;30.0;28.6;21.1;19.3;61.0;55.0;56.0;202.0;6.2;1.7
2021/01/01;1800 UTC;0.0;958.4;959.3;958.4;2128.7;29.6;18.7;30.7;29.1;20.6;18.0;58.0;48.0;52.0;240.0;6.4;2.5
2021/01/01;1900 UTC;0.0;958.0;958.4;957.9;1509.9;29.1;17.8;30.7;29.1;19.4;17.1;54.0;47.0;51.0;246.0;6.4;2.9
2021/01/01;2000 UTC;0.0;958.5;958.5;958.0;949.9;28.5;18.4;30.1;28.5;19.5;17.8;55.0;51.0;54.0;218.0;5.2;1.8
2021/01/01;2100 UTC;0.0;958.6;958.6;958.4;289.7;27.7;18.7;29.2;27.7;18.7;17.8;58.0;52.0;58.0;213.0;4.2;1.1
