Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0100 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0200 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0300 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0400 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0500 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0600 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0700 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0800 UTC;;;;;;;;;;;;;;;;;
2021/01/01;0900 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1000 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1100 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1200 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1300 UTC;;954.3;954.3;954.1;560.5;23.0;20.8;23.1;22.5;21.2;20.3;92.0;85.0;87.0;188.0;0.0;0.0
2021/01/01;1400 UTC;;954.5;954.5;954.0;874.2;23.6;21.1;23.6;22.8;21.4;20.6;89.0;85.0;86.0;216.0;0.0;0.0
2021/01/01;1500 UTC;;;;;;;;;;;;;;;;;
2021/01/01;1600 UTC;;953.9;954.7;953.9;1643.3;25.4;20.4;26.6;23.9;22.0;20.4;86.0;71.0;74.0;360.0;3.2;0.0
2021/01/01;1700 UTC;;953.0;953.8;953.0;2099.3;27.5;20.8;27.7;24.3;22.4;20.3;84.0;67.0;67.0;223.0;0.0;0.0
2021/01/01;1800 UTC;;951.5;953.0;951.5;2293.3;27.3;20.5;28.3;27.1;21.1;19.5;67.0;59.0;66.0;39.0;3.0;0.0
2021/01/01;1900 UTC;;;;;;;;;;;;;;;;;
2021/01/01;2000 UTC;;;;;;;;;;;;;;;;;
2021/01/01;2100 UTC;;;;;;;;;;;;;;;;;
2021/01/01;2200 UTC;;;;;;;;;;;;;;;;;
2021/01/01;2300 UTC;;;;;;;;;;;;;;;;;
2021/01/02;0000 UTC;;;;;;;;;;;;;;;;;
2021/01/02;0100 UTC;;;;;;;;;;;;;;;;;
2021/01/02;0200 UTC;;;;;;;;;;;;;;;;;
2021/01/02;0300 UTC;;;;;;;;;;;;;;;;;
2021/01/02;0400 UTC;;;;;;;;;;;;;;;;;
2021/01/02;0500 UTC;;;;;;;;;;;;;;;;;
2021/01/02;0600 UTC;;;;;;;;;;;;;;;;;
2021/01/02;0700 UTC;;;;;;;;;;;;;;;;;
2021/01/02;0800 UTC;;;;;;;;;;;;;;;;;
2021/01/02;0900 UTC;;;;;;;;;;;;;;;;;
2021/01/02;1000 UTC;;;;;;;;;;;;;;;;;
2021/01/02;1100 UTC;;;;;;;;;;;;;;;;;
2021/01/02;1200 UTC;;953.3;953.3;953.1;1506.4;24.2;19.7;24.4;23.4;19.9;19.2;78.0;74.0;76.0;318.0;7.3;4.3
2021/01/02;1300 UTC;;953.4;953.5;953.3;2235.5;26.0;20.2;26.0;24.1;20.4;19.1;77.0;68.0;70.0;322.0;7.4;3.2
2021/01/02;1400 UTC;;953.2;953.4;953.1;3237.3;27.6;19.1;27.9;25.8;20.0;18.6;70.0;58.0;60.0;316.0;6.8;2.8
2021/01/02;1500 UTC;;952.6;953.2;952.5;3964.1;28.6;19.7;28.6;27.3;19.7;18.6;60.0;56.0;59.0;330.0;6.6;2.0
2021/01/02;1600 UTC;;;;;;;;;;;;;;;;;
2021/01/02;1700 UTC;;950.8;951.7;950.7;1439.1;28.4;19.1;28.9;27.7;19.9;18.9;61.0;56.0;57.0;299.0;6.4;3.0
2021/01/02;1800 UTC;;949.9;950.8;949.8;1736.3;28.5;18.9;29.9;27.9;19.6;18.1;59.0;51.0;56.0;314.0;6.5;3.2
2021/01/02;1900 UTC;;949.2;949.9;949.2;2044.6;29.5;18.7;29.8;27.5;21.1;17.9;63.0;51.0;52.0;305.0;5.7;0.2
2021/01/02;2000 UTC;;;;;;;;;;;;;;;;;
2021/01/02;2100 UTC;;;;;;;;;;;;;;;;;
2021/01/02;2200 UTC;;;;;;;;;;;;;;;;;
2021/01/02;2300 UTC;;;;;;;;;;;;;;;;;
2021/01/03;0000 UTC;;;;;;;;;;;;;;;;;
2021/01/03;0100 UTC;;;;;;;;;;;;;;;;;
2021/01/03;0200 UTC;;;;;;;;;;;;;;;;;
2021/01/03;0300 UTC;;;;;;;;;;;;;;;;;
2021/01/03;0400 UTC;;;;;;;;;;;;;;;;;
2021/01/03;0500 UTC;;;;;;;;;;;;;;;;;
2021/01/03;0600 UTC;;;;;;;;;;;;;;;;;
2021/01/03;0700 UTC;;;;;;;;;;;;;;;;;
2021/01/03;0800 UTC;;;;;;;;;;;;;;;;;
2021/01/03;0900 UTC;;;;;;;;;;;;;;;;;
2021/01/03;1000 UTC;;;;;;;;;;;;;;;;;
2021/01/03;1100 UTC;;;;;;;;;;;;;;;;;
2021/01/03;1200 UTC;;951.8;951.9;951.7;2317.6;24.6;17.7;25.1;22.4;18.3;17.4;74.0;64.0;66.0;301.0;8.7;4.3
2021/01/03;1300 UTC;;951.7;952.0;951.7;3053.5;26.1;18.2;26.4;24.3;18.6;17.4;67.0;61.0;62.0;311.0;7.5;3.7
2021/01/03;1400 UTC;;951.3;951.8;951.3;3566.5;28.1;18.9;28.2;25.9;19.0;18.0;63.0;56.0;57.0;311.0;8.2;1.7
2021/01/03;1500 UTC;;950.8;951.4;950.8;3723.9;28.9;18.5;29.4;27.4;19.2;17.9;58.0;53.0;53.0;324.0;7.3;1.1
2021/01/03;1600 UTC;;950.2;950.8;950.2;4018.2;29.7;18.4;30.3;28.6;19.1;18.2;56.0;49.0;51.0;321.0;6.8;2.5
2021/01/03;1700 UTC;;949.0;950.2;949.0;3458.4;31.2;18.6;31.2;29.5;19.1;17.6;51.0;47.0;47.0;6.0;6.9;0.1
2021/01/03;1800 UTC;;948.0;949.0;948.0;1762.4;29.7;17.5;31.3;29.6;18.3;17.0;50.0;45.0;48.0;319.0;5.2;1.0
2021/01/03;1900 UTC;;;;;;;;;;;;;;;;;
2021/01/03;2000 UTC;;948.1;948.3;947.8;831.5;25.6;16.9;27.3;25.2;17.7;15.8;61.0;50.0;59.0;343.0;10.4;1.4
2021/01/03;2100 UTC;;;;;;;;;;;;;;;;;
2021/01/03;2200 UTC;;;;;;;;;;;;;;;;;
2021/01/03;2300 UTC;;;;;;;;;;;;;;;;;
2021/01/04;0000 UTC;;;;;;;;;;;;;;;;;
2021/01/04;0100 UTC;;;;;;;;;;;;;;;;;
2021/01/04;0200 UTC;;;;;;;;;;;;;;;;;
2021/01/04;0300 UTC;;;;;;;;;;;;;;;;;
2021/01/04;0400 UTC;;;;;;;;;;;;;;;;;
2021/01/04;0500 UTC;;;;;;;;;;;;;;;;;
2021/01/04;0600 UTC;;;;;;;;;;;;;;;;;
2021/01/04;0700 UTC;;;;;;;;;;;;;;;;;
2021/01/04;0800 UTC;;;;;;;;;;;;;;;;;
2021/01/04;0900 UTC;;;;;;;;;;;;;;;;;
2021/01/04;1000 UTC;;;;;;;;;;;;;;;;;
2021/01/04;1100 UTC;;;;;;;;;;;;;;;;;
2021/01/04;1200 UTC;;951.6;951.7;951.5;2290.9;24.2;17.6;24.3;22.5;17.9;17.1;73.0;66.0;67.0;312.0;6.5;1.7
2021/01/04;1300 UTC;;951.8;951.8;951.5;3024.3;26.8;18.4;26.8;24.1;18.4;17.4;67.0;59.0;60.0;337.0;5.9;0.0
2021/01/04;1400 UTC;;951.8;952.0;951.7;3462.0;29.8;16.9;29.8;26.3;18.6;15.8;60.0;44.0;46.0;239.0;4.3;0.1
2021/01/04;1500 UTC;;;;;;;;;;;;;;;;;
2021/01/04;1600 UTC;;951.0;951.4;951.0;3305.3;30.5;16.2;30.6;28.8;17.5;15.1;47.0;41.0;42.0;172.0;6.4;0.1
2021/01/04;1700 UTC;;950.6;951.0;950.6;3384.4;30.3;16.3;31.2;29.9;17.5;15.7;47.0;40.0;43.0;148.0;7.7;1.5
2021/01/04;1800 UTC;;950.0;950.6;950.0;3121.0;31.1;16.9;31.6;30.3;17.7;16.0;46.0;40.0;43.0;145.0;7.7;1.1
2021/01/04;1900 UTC;;949.1;950.0;949.1;2125.4;31.3;15.9;32.1;30.2;18.2;15.8;46.0;39.0;39.0;139.0;6.1;0.3
2021/01/04;2000 UTC;;948.9;949.1;948.7;1648.1;30.8;16.0;31.8;30.2;17.5;15.2;46.0;39.0;41.0;176.0;4.9;0.0
2021/01/04;2100 UTC;;;;;;;;;;;;;;;;;
2021/01/04;2200 UTC;;;;;;;;;;;;;;;;;
2021/01/04;2300 UTC;;;;;;;;;;;;;;;;;
