Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2022/01/01;0000 UTC;0.0;900.1;900.1;899.7;;18.1;13.9;19.0;18.1;14.9;13.8;78.0;74.0;77.0;290.0;4.7;2.3
2022/01/01;0100 UTC;0.0;900.7;900.7;900.1;;17.4;13.2;18.1;17.4;13.9;13.2;77.0;75.0;77.0;281.0;4.1;2.5
2022/01/01;0200 UTC;0.0;900.9;900.9;900.6;;16.7;12.9;17.6;16.7;13.4;12.8;79.0;76.0;78.0;285.0;4.2;2.3
2022/01/01;0300 UTC;0.0;900.7;900.9;900.6;;16.8;12.7;17.0;16.5;13.0;12.5;78.0;76.0;77.0;293.0;5.0;3.1
2022/01/01;0400 UTC;0.0;900.4;900.7;900.4;;16.2;12.3;16.9;16.1;12.7;12.1;77.0;76.0;77.0;292.0;4.9;2.6
2022/01/01;0500 UTC;0.0;900.1;900.5;900.1;;15.9;12.1;16.4;15.9;12.4;12.1;78.0;76.0;78.0;290.0;5.5;2.9
2022/01/01;0600 UTC;0.0;899.8;900.1;899.7;;15.9;;15.9;15.6;15.9;12.1;100.0;78.0;;305.0;5.7;4.0
2022/01/01;0700 UTC;0.0;899.7;899.8;899.7;;15.8;;16.0;15.7;;;;;;295.0;5.8;3.5
2022/01/01;0800 UTC;0.0;900.2;900.2;899.7;;15.5;;15.9;15.5;;;;;;290.0;5.8;3.2
2022/01/01;0900 UTC;0.0;900.9;900.9;900.2;9.6;15.9;;15.9;15.4;;;;;;286.0;6.3;4.2
2022/01/01;1000 UTC;0.0;901.5;901.5;900.9;576.8;17.0;;17.0;15.9;;;;;;290.0;6.3;3.6
