Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2022/01/01;0000 UTC;0.0;949.6;949.6;949.0;;26.5;17.5;27.1;25.9;18.1;17.3;61.0;55.0;58.0;146.0;0.0;0.0
2022/01/01;0100 UTC;0.0;950.1;950.1;949.6;;25.8;17.6;27.0;25.7;18.0;17.0;61.0;56.0;61.0;146.0;0.0;0.0
2022/01/01;0200 UTC;0.0;950.5;950.6;950.1;;24.7;17.3;26.2;24.7;17.8;17.2;64.0;58.0;64.0;148.0;0.0;0.0
2022/01/01;0300 UTC;0.0;950.3;950.5;950.3;;24.1;18.3;24.8;23.8;18.4;17.2;70.0;64.0;70.0;113.0;0.0;0.0
2022/01/01;0400 UTC;0.0;949.8;950.3;949.8;;24.0;17.8;25.8;24.0;18.1;16.9;70.0;58.0;68.0;113.0;0.0;0.0
2022/01/01;0500 UTC;0.0;949.5;949.8;949.5;;23.0;17.2;24.3;23.0;17.9;17.1;70.0;65.0;70.0;105.0;0.0;0.0
2022/01/01;0600 UTC;0.0;949.3;949.5;949.2;;22.8;16.7;23.0;22.5;17.3;16.6;71.0;68.0;69.0;354.0;0.0;0.0
2022/01/01;0700 UTC;0.0;949.6;949.7;949.3;;21.5;16.8;22.8;20.3;17.1;16.6;80.0;68.0;74.0;283.0;0.0;0.0
2022/01/01;0800 UTC;0.0;950.1;950.1;949.6;;21.2;16.9;21.5;20.3;17.0;16.7;81.0;75.0;76.0;43.0;0.0;0.0
2022/01/01;0900 UTC;0.0;950.5;950.5;950.1;6.6;21.4;17.1;22.1;21.2;17.1;16.6;77.0;72.0;76.0;44.0;0.0;0.0
