Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;0.0;926.3;926.3;925.5;;19.5;16.3;21.4;19.3;17.6;16.2;82.0;79.0;82.0;176.0;4.9;1.2
2021/01/01;0100 UTC;0.0;927.0;927.0;926.3;;17.9;14.8;19.5;17.9;16.3;14.8;82.0;80.0;82.0;134.0;2.8;0.6
2021/01/01;0200 UTC;0.0;927.3;927.3;927.0;;16.6;14.3;17.9;16.6;15.2;14.2;87.0;82.0;86.0;161.0;2.6;0.8
2021/01/01;0300 UTC;0.0;927.2;927.4;927.2;;16.3;13.8;16.8;15.9;14.7;13.7;88.0;85.0;85.0;163.0;2.3;0.9
2021/01/01;0400 UTC;0.0;926.8;927.3;926.8;;14.9;12.7;16.3;14.9;13.8;12.6;87.0;83.0;87.0;158.0;1.7;0.0
2021/01/01;0500 UTC;0.0;926.5;926.8;926.4;;14.7;13.2;15.0;14.2;13.3;12.6;92.0;87.0;91.0;108.0;1.6;0.2
2021/01/01;0600 UTC;0.0;926.3;926.5;926.3;;14.2;12.2;15.0;14.2;13.3;12.1;91.0;87.0;88.0;150.0;2.2;1.2
2021/01/01;0700 UTC;0.0;926.4;926.4;926.2;;15.6;12.0;16.1;14.1;12.9;12.0;89.0;79.0;79.0;120.0;4.6;1.2
2021/01/01;0800 UTC;0.0;926.9;926.9;926.4;;15.5;12.1;15.9;15.5;12.3;11.9;80.0;78.0;80.0;105.0;5.3;1.8
2021/01/01;0900 UTC;0.0;927.7;927.7;926.9;9.8;14.9;12.4;15.6;14.9;12.4;12.0;85.0;80.0;85.0;114.0;5.3;1.2
2021/01/01;1000 UTC;0.0;928.1;928.1;927.7;161.3;15.8;14.1;15.8;14.9;14.1;12.4;89.0;85.0;89.0;122.0;5.8;2.4
2021/01/01;1100 UTC;0.0;928.6;928.7;928.1;737.4;16.3;15.0;16.6;15.7;15.0;14.1;92.0;87.0;92.0;123.0;7.0;2.8
2021/01/01;1200 UTC;0.0;929.0;929.0;928.6;1406.8;18.1;15.7;18.1;16.3;15.8;15.0;92.0;85.0;86.0;138.0;7.0;2.7
2021/01/01;1300 UTC;0.0;929.2;929.2;929.0;2861.9;20.6;16.8;21.2;17.9;17.3;15.2;87.0;76.0;79.0;156.0;5.3;2.1
2021/01/01;1400 UTC;0.0;929.2;929.3;929.2;3097.8;21.6;15.8;22.9;20.6;17.9;15.4;79.0;66.0;70.0;126.0;5.8;0.8
2021/01/01;1500 UTC;0.0;929.0;929.2;928.9;3485.7;24.4;16.1;25.0;21.5;17.1;13.2;70.0;52.0;60.0;212.0;4.2;1.6
2021/01/01;1600 UTC;0.0;928.9;929.0;928.9;3320.1;25.8;13.5;25.8;23.3;15.9;12.9;60.0;45.0;47.0;207.0;4.8;1.0
2021/01/01;1700 UTC;0.0;928.3;928.9;928.3;3614.3;26.3;14.3;26.7;24.8;15.1;11.8;52.0;40.0;48.0;157.0;4.9;2.2
2021/01/01;1800 UTC;0.0;927.8;928.3;927.8;3466.5;26.4;12.1;27.6;25.1;14.4;11.8;48.0;38.0;41.0;197.0;5.0;2.2
2021/01/01;1900 UTC;0.0;927.2;927.8;927.2;3052.9;27.7;13.0;27.7;26.4;13.2;10.8;43.0;37.0;41.0;221.0;4.7;1.7
2021/01/01;2000 UTC;0.0;927.0;927.2;926.9;2322.7;27.1;12.1;27.7;26.5;13.1;11.0;42.0;37.0;39.0;241.0;5.1;1.8
2021/01/01;2100 UTC;0.0;927.0;927.0;926.9;1465.6;26.2;12.8;27.2;26.1;13.4;11.4;44.0;38.0;43.0;191.0;4.5;1.8
2021/01/01;2200 UTC;0.0;927.3;927.3;927.0;579.9;23.8;13.7;26.2;23.8;13.8;12.2;53.0;42.0;53.0;164.0;4.5;1.8
2021/01/01;2300 UTC;0.0;927.5;927.5;927.2;35.1;19.6;14.0;23.8;19.6;14.1;13.2;70.0;52.0;70.0;162.0;3.4;0.5
2021/01/02;0000 UTC;0.0;927.8;927.9;927.5;;18.3;13.3;20.0;18.3;14.2;13.2;73.0;68.0;73.0;159.0;2.7;1.7
2021/01/02;0100 UTC;0.0;928.1;928.1;927.8;;18.9;12.4;19.5;18.3;13.6;12.4;73.0;66.0;66.0;141.0;3.7;0.4
2021/01/02;0200 UTC;0.0;928.5;928.5;928.1;;17.9;11.6;19.3;17.9;12.5;11.6;68.0;65.0;67.0;139.0;3.5;1.2
2021/01/02;0300 UTC;0.0;928.2;928.5;928.2;;17.3;10.8;18.3;17.3;11.8;10.8;67.0;64.0;66.0;141.0;4.8;1.5
2021/01/02;0400 UTC;0.0;927.8;928.2;927.8;;16.7;11.4;17.6;16.7;11.4;10.8;71.0;65.0;71.0;119.0;4.2;1.4
2021/01/02;0500 UTC;0.0;927.3;927.8;927.3;;16.7;12.7;17.0;16.6;12.7;11.4;77.0;71.0;77.0;111.0;5.4;1.3
2021/01/02;0600 UTC;0.0;927.3;927.4;927.2;;15.9;13.1;16.8;15.8;13.1;12.7;83.0;77.0;83.0;112.0;4.1;1.7
2021/01/02;0700 UTC;0.0;927.5;927.5;927.1;;15.9;13.8;16.2;15.8;13.9;13.1;88.0;83.0;88.0;116.0;5.6;1.9
2021/01/02;0800 UTC;0.0;928.2;928.2;927.5;;16.1;14.6;16.2;15.8;14.6;13.8;91.0;88.0;91.0;110.0;5.6;1.8
2021/01/02;0900 UTC;0.0;929.0;929.0;928.1;6.7;16.2;14.9;16.2;15.9;14.9;14.5;92.0;90.0;92.0;118.0;4.5;1.3
2021/01/02;1000 UTC;0.0;929.3;929.3;928.9;157.0;16.8;15.4;16.8;16.1;15.4;14.8;92.0;91.0;91.0;117.0;4.9;1.2
2021/01/02;1100 UTC;0.0;929.5;929.5;929.2;758.5;18.4;16.0;18.5;16.8;16.4;15.5;91.0;86.0;86.0;121.0;4.7;1.8
