Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;0.0;1000.4;1000.4;999.9;;19.6;10.2;21.0;19.6;11.4;10.2;58.0;52.0;54.0;197.0;2.1;1.4
2021/01/01;0100 UTC;0.0;1000.9;1000.9;1000.4;;18.6;11.3;19.6;18.5;12.2;10.1;67.0;55.0;62.0;212.0;2.4;1.5
2021/01/01;0200 UTC;0.0;1001.3;1001.3;1000.9;4.3;16.3;12.6;18.7;16.2;12.6;10.8;79.0;61.0;79.0;213.0;2.5;1.5
2021/01/01;0300 UTC;0.0;1001.5;1001.5;1001.2;;15.7;12.4;16.7;15.7;12.6;11.9;81.0;75.0;81.0;202.0;2.5;0.8
2021/01/01;0400 UTC;0.0;1001.9;1002.0;1001.4;9.9;15.6;12.3;15.7;14.3;12.5;11.9;86.0;81.0;81.0;169.0;4.1;1.7
2021/01/01;0500 UTC;0.0;1001.8;1001.9;1001.6;74.8;17.7;10.6;18.0;15.6;12.2;10.4;81.0;61.0;63.0;98.0;5.6;3.0
2021/01/01;0600 UTC;0.0;1002.2;1002.2;1001.7;63.8;16.4;10.7;17.7;16.4;11.0;10.6;69.0;63.0;69.0;202.0;5.5;1.0
2021/01/01;0700 UTC;0.0;1002.5;1002.6;1002.1;91.3;15.7;11.0;16.6;15.7;11.1;10.7;73.0;69.0;73.0;197.0;2.3;0.9
2021/01/01;0800 UTC;0.0;1002.8;1002.8;1002.3;72.6;15.1;11.4;15.7;15.1;11.5;10.9;78.0;73.0;78.0;50.0;1.7;0.0
2021/01/01;0900 UTC;0.0;1003.0;1003.0;1002.8;39.3;14.4;12.0;15.1;13.5;12.0;10.6;87.0;78.0;85.0;123.0;1.8;0.5
2021/01/01;1000 UTC;0.0;1003.5;1003.5;1003.0;453.8;15.7;12.7;16.6;14.4;12.9;12.0;86.0;78.0;82.0;174.0;2.0;0.8
2021/01/01;1100 UTC;0.0;1004.2;1004.3;1003.5;1253.1;20.2;14.8;20.3;15.7;15.1;12.7;84.0;69.0;71.0;69.0;4.1;1.9
2021/01/01;1200 UTC;0.0;1004.2;1004.2;1004.0;2181.1;22.3;13.5;22.3;20.0;15.0;12.9;71.0;57.0;58.0;59.0;6.1;3.4
2021/01/01;1300 UTC;0.0;1004.2;1004.3;1004.1;2861.2;24.2;11.7;24.4;21.8;13.8;11.3;59.0;44.0;46.0;58.0;7.7;3.6
2021/01/01;1400 UTC;0.0;1004.1;1004.3;1003.9;3433.4;25.7;9.9;26.0;24.2;11.5;9.1;46.0;36.0;37.0;39.0;7.7;3.2
2021/01/01;1500 UTC;0.0;1003.4;1004.1;1003.3;3801.7;27.2;9.1;27.3;25.6;11.6;8.6;40.0;31.0;32.0;50.0;7.4;3.2
2021/01/01;1600 UTC;0.0;1003.1;1003.4;1002.9;3787.7;27.2;10.4;28.3;26.7;11.9;8.4;39.0;31.0;35.0;357.0;7.7;3.0
2021/01/01;1700 UTC;0.0;1002.6;1003.1;1002.5;3826.2;28.9;11.1;28.9;27.2;12.2;9.6;38.0;31.0;33.0;4.0;7.1;2.5
2021/01/01;1800 UTC;0.0;1001.9;1002.6;1001.9;3558.9;29.2;10.2;29.3;28.0;11.2;9.4;33.0;30.0;31.0;338.0;7.7;2.2
2021/01/01;1900 UTC;0.0;1001.3;1001.9;1001.3;3009.2;29.3;10.2;29.9;28.8;11.3;9.2;32.0;29.0;31.0;346.0;5.4;1.8
2021/01/01;2000 UTC;0.0;1000.8;1001.3;1000.7;2364.5;29.7;10.0;29.9;29.1;10.6;8.9;31.0;28.0;30.0;33.0;5.0;1.9
2021/01/01;2100 UTC;0.0;1000.7;1000.8;1000.7;1551.9;29.3;9.4;29.8;29.1;10.7;8.9;31.0;28.0;29.0;14.0;5.0;1.0
2021/01/01;2200 UTC;0.0;1000.9;1000.9;1000.7;732.8;28.2;10.6;29.4;28.2;10.6;9.3;33.0;29.0;33.0;29.0;3.4;1.3
2021/01/01;2300 UTC;0.0;1001.3;1001.3;1000.9;50.9;26.0;13.3;28.2;26.0;13.3;10.7;45.0;33.0;45.0;38.0;2.3;0.5
2021/01/02;0000 UTC;0.0;1001.5;1001.5;1001.2;;22.4;13.5;26.0;22.4;14.4;12.3;57.0;43.0;57.0;300.0;1.4;0.0
2021/01/02;0100 UTC;0.0;1001.7;1001.7;1001.5;;21.4;13.8;23.0;21.0;14.7;13.1;65.0;54.0;62.0;103.0;3.1;0.0
2021/01/02;0200 UTC;0.0;1001.7;1001.9;1001.7;;21.1;15.2;21.7;19.7;15.6;13.3;75.0;60.0;69.0;356.0;1.1;0.2
2021/01/02;0300 UTC;0.0;1001.9;1001.9;1001.7;;18.3;14.6;21.4;18.3;15.7;13.8;79.0;63.0;79.0;222.0;1.1;0.1
2021/01/02;0400 UTC;0.0;1002.0;1002.3;1001.9;1.4;18.7;13.9;18.8;17.6;15.4;13.9;85.0;74.0;74.0;132.0;2.3;0.3
