Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;0.0;997.9;997.9;997.5;;21.0;8.7;22.4;20.7;8.8;6.9;46.0;37.0;45.0;170.0;3.4;1.5
2021/01/01;0100 UTC;0.0;998.4;998.4;997.9;;20.5;8.7;21.2;20.1;11.0;7.6;56.0;41.0;47.0;162.0;2.9;1.0
2021/01/01;0200 UTC;0.0;998.7;998.7;998.4;;19.2;9.4;20.5;19.1;10.5;8.6;55.0;47.0;53.0;167.0;2.2;1.3
2021/01/01;0300 UTC;0.0;999.1;999.1;998.7;;19.7;8.0;19.9;18.8;10.8;8.0;61.0;47.0;47.0;186.0;2.3;1.2
2021/01/01;0400 UTC;0.0;998.7;999.1;998.7;;17.2;9.6;19.7;16.8;12.3;8.0;75.0;47.0;61.0;348.0;2.3;0.6
2021/01/01;0500 UTC;0.0;998.4;998.8;998.4;;16.0;10.6;17.2;16.0;10.7;9.6;70.0;61.0;70.0;208.0;1.4;0.2
2021/01/01;0600 UTC;0.0;999.0;999.0;998.4;;14.6;10.9;16.1;14.0;11.6;10.5;85.0;70.0;79.0;131.0;3.3;2.2
2021/01/01;0700 UTC;0.0;999.3;999.3;998.9;;14.9;11.5;15.4;14.6;11.6;10.9;81.0;77.0;80.0;117.0;5.1;3.4
2021/01/01;0800 UTC;0.0;999.7;999.7;999.2;;15.8;13.0;15.8;14.7;13.1;11.5;87.0;80.0;84.0;104.0;6.6;3.9
2021/01/01;0900 UTC;0.0;1000.1;1000.3;999.7;10.1;14.5;12.5;15.9;14.5;13.0;12.4;88.0;82.0;87.0;115.0;6.6;2.3
2021/01/01;1000 UTC;0.0;1000.7;1000.7;1000.1;425.5;16.9;13.9;16.9;14.5;13.9;12.5;88.0;81.0;82.0;109.0;6.5;4.1
2021/01/01;1100 UTC;0.0;1001.0;1001.2;1000.7;1258.5;19.2;14.8;19.3;16.8;15.0;13.5;83.0;74.0;75.0;101.0;6.5;4.0
2021/01/01;1200 UTC;0.0;1001.3;1001.3;1001.0;2207.1;22.1;14.0;22.3;19.2;15.5;13.6;75.0;59.0;60.0;93.0;6.5;3.1
2021/01/01;1300 UTC;0.0;1001.3;1001.5;1001.2;2693.9;23.9;13.2;24.1;21.7;14.4;12.1;60.0;50.0;51.0;90.0;7.1;2.5
2021/01/01;1400 UTC;0.0;1001.2;1001.4;1001.1;3434.4;25.2;10.7;25.5;23.7;14.0;10.2;53.0;40.0;40.0;104.0;7.6;4.5
2021/01/01;1500 UTC;0.0;1000.9;1001.2;1000.9;3810.2;26.2;10.8;26.3;24.8;12.6;8.7;45.0;33.0;38.0;109.0;8.4;4.5
2021/01/01;1600 UTC;0.0;1000.5;1000.9;1000.5;3968.6;27.2;9.2;27.4;26.0;10.8;8.0;39.0;31.0;32.0;111.0;8.6;3.9
2021/01/01;1700 UTC;0.0;1000.0;1000.5;1000.0;3893.9;27.5;10.4;28.2;26.8;11.5;8.3;36.0;30.0;34.0;107.0;8.3;3.8
2021/01/01;1800 UTC;0.0;999.5;1000.1;999.5;3600.5;28.0;9.6;28.6;27.3;11.3;8.9;36.0;31.0;32.0;117.0;7.2;4.6
2021/01/01;1900 UTC;0.0;998.7;999.5;998.7;3108.1;28.7;6.9;29.1;28.0;11.4;6.9;35.0;25.0;25.0;120.0;8.0;4.9
2021/01/01;2000 UTC;0.0;998.2;998.7;998.2;2442.2;28.5;8.9;28.9;28.2;9.9;6.8;31.0;26.0;29.0;99.0;7.9;4.0
2021/01/01;2100 UTC;0.0;998.1;998.2;998.0;1626.7;28.1;8.2;28.7;28.1;9.7;7.7;32.0;27.0;29.0;117.0;8.8;5.1
2021/01/01;2200 UTC;0.0;998.4;998.5;998.1;799.2;26.4;11.2;28.1;26.4;11.2;8.2;39.0;29.0;39.0;105.0;7.3;3.1
2021/01/01;2300 UTC;0.0;998.8;998.8;998.4;100.9;23.7;12.5;26.4;23.7;12.6;11.1;50.0;38.0;49.0;128.0;4.3;1.0
2021/01/02;0000 UTC;0.0;998.9;999.0;998.8;;22.1;13.1;23.7;22.1;13.1;11.9;56.0;49.0;56.0;140.0;1.7;0.8
2021/01/02;0100 UTC;0.0;999.2;999.3;998.9;;22.0;12.6;22.7;21.8;12.9;11.5;57.0;50.0;55.0;138.0;1.6;0.7
2021/01/02;0200 UTC;0.0;999.2;999.3;999.2;;21.2;12.0;22.1;20.9;14.0;10.7;64.0;50.0;56.0;185.0;2.3;0.8
2021/01/02;0300 UTC;0.0;999.3;999.3;999.1;;18.9;13.6;21.3;18.5;14.4;11.3;77.0;53.0;71.0;121.0;1.7;1.2
2021/01/02;0400 UTC;0.0;998.9;999.3;998.9;;18.1;14.0;18.8;17.8;14.8;13.5;82.0;71.0;77.0;106.0;1.9;1.3
2021/01/02;0500 UTC;0.0;999.2;999.2;998.9;;17.8;13.8;18.9;17.7;14.6;13.2;78.0;70.0;77.0;6.0;2.0;1.1
2021/01/02;0600 UTC;0.0;999.3;999.4;999.2;;17.9;13.1;18.0;17.4;13.7;12.9;78.0;73.0;73.0;155.0;2.0;0.3
2021/01/02;0700 UTC;0.0;999.6;999.6;999.3;;16.9;13.8;18.0;16.9;14.1;12.8;82.0;73.0;82.0;74.0;2.6;0.4
2021/01/02;0800 UTC;0.0;1000.1;1000.1;999.6;;15.6;13.4;17.0;15.5;13.9;12.7;88.0;79.0;87.0;127.0;1.6;1.2
2021/01/02;0900 UTC;0.0;1000.4;1000.4;1000.1;12.1;15.5;15.4;15.8;14.8;15.4;12.9;99.0;86.0;99.0;109.0;2.4;0.7
2021/01/02;1000 UTC;0.0;1000.6;1000.6;1000.4;411.4;18.7;14.4;18.8;15.5;15.7;14.0;100.0;76.0;76.0;115.0;2.1;1.4
2021/01/02;1100 UTC;0.0;1001.2;1001.3;1000.6;1208.8;20.6;14.1;20.7;18.6;15.2;13.8;78.0;65.0;66.0;104.0;5.5;4.1
2021/01/02;1200 UTC;0.0;1001.2;1001.3;1001.1;2059.3;22.8;12.8;23.1;20.6;14.3;12.4;67.0;52.0;53.0;105.0;7.5;4.7
2021/01/02;1300 UTC;0.0;1001.1;1001.2;1001.1;2801.1;24.7;13.2;25.0;22.7;15.0;12.5;56.0;48.0;49.0;118.0;7.2;3.9
2021/01/02;1400 UTC;0.0;1000.9;1001.1;1000.8;3385.3;26.7;14.1;27.0;24.7;14.9;12.9;54.0;44.0;46.0;111.0;7.3;3.7
2021/01/02;1500 UTC;0.0;1000.1;1000.9;1000.1;3760.5;28.6;11.8;28.9;26.5;15.2;10.9;47.0;33.0;35.0;121.0;7.3;3.8
2021/01/02;1600 UTC;0.0;999.5;1000.1;999.5;3900.6;29.3;9.0;29.8;28.6;13.0;9.0;38.0;28.0;28.0;137.0;7.5;4.0
2021/01/02;1700 UTC;0.0;998.8;999.6;998.8;3845.2;30.4;8.9;30.8;29.3;10.8;8.3;31.0;25.0;26.0;121.0;10.3;4.1
2021/01/02;1800 UTC;0.0;997.8;998.8;997.8;3585.6;30.9;7.9;31.3;30.2;10.9;7.3;29.0;23.0;24.0;122.0;9.3;4.4
2021/01/02;1900 UTC;0.0;996.8;997.8;996.8;3091.4;31.8;8.8;31.8;30.8;9.7;6.5;26.0;21.0;24.0;121.0;8.5;4.3
2021/01/02;2000 UTC;0.0;996.2;996.8;996.2;2411.4;31.4;7.0;31.8;31.0;8.9;5.8;25.0;20.0;22.0;145.0;9.3;5.3
2021/01/02;2100 UTC;0.0;995.9;996.2;995.9;1613.4;30.6;7.4;31.4;30.5;8.1;5.8;24.0;20.0;23.0;141.0;9.0;4.5
2021/01/02;2200 UTC;0.0;996.0;996.0;995.8;765.8;28.8;8.3;30.6;28.6;8.7;6.4;28.0;22.0;28.0;133.0;7.9;4.2
