Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2022/12/08;0000 UTC;;;;;;;;;;;;;;;;;
2022/12/08;0100 UTC;;;;;;;;;;;;;;;;;
2022/12/08;0200 UTC;;;;;;;;;;;;;;;;;
2022/12/08;0300 UTC;;;;;;;;;;;;;;;;;
2022/12/08;0400 UTC;;;;;;;;;;;;;;;;;
2022/12/08;0500 UTC;;;;;;;;;;;;;;;;;
2022/12/08;0600 UTC;;;;;;;;;;;;;;;;;
2022/12/08;0700 UTC;;;;;;;;;;;;;;;;;
2022/12/08;0800 UTC;;;;;;;;;;;;;;;;;
2022/12/08;0900 UTC;;;;;;;;;;;;;;;;;
2022/12/08;1000 UTC;;;;;;;;;;;;;;;;;
2022/12/08;1100 UTC;;;;;;;;;;;;;;;;;
2022/12/08;1200 UTC;;;;;;;;;;;;;;;;;
2022/12/08;1300 UTC;;;;;;;;;;;;;;;;;
2022/12/08;1400 UTC;;;;;;;;;;;;;;;;;
2022/12/08;1500 UTC;;;;;;;;;;;;;;;;;
2022/12/08;1600 UTC;;;;;;;;;;;;;;;;;
2022/12/08;1700 UTC;;;;;;;;;;;;;;;;;
2022/12/08;1800 UTC;;;;;;;;;;;;;;;;;
2022/12/08;1900 UTC;2.8;1003.5;1003.5;1003.4;1667.4;31.1;21.4;33.3;31.1;21.9;20.7;56.0;47.0;56.0;149.0;;5.6
2022/12/08;2000 UTC;;;;;;;;;;;;;;;;;
2022/12/08;2100 UTC;0.0;1004.0;1004.0;1003.6;919.6;28.9;20.9;30.1;28.9;21.9;20.8;64.0;59.0;62.0;92.0;8.6;2.9
2022/12/08;2200 UTC;0.0;1004.4;1004.4;1004.0;192.9;27.2;20.6;28.9;27.2;20.9;20.5;68.0;62.0;67.0;85.0;5.7;2.3
2022/12/08;2300 UTC;0.0;1005.0;1005.0;1004.4;11.0;26.0;19.7;27.4;26.0;20.6;19.6;68.0;65.0;68.0;63.0;4.3;1.5
2022/12/09;0000 UTC;0.0;1005.3;1005.4;1005.0;0.0;24.8;19.6;26.0;24.6;20.4;19.5;76.0;68.0;73.0;46.0;3.6;1.3
2022/12/09;0100 UTC;0.0;1005.8;1005.8;1005.3;0.0;23.8;19.8;24.9;23.8;20.1;19.4;79.0;72.0;79.0;28.0;3.6;1.5
2022/12/09;0200 UTC;0.0;1006.5;1006.5;1005.8;0.0;21.4;19.0;23.8;21.4;19.9;19.0;87.0;79.0;86.0;354.0;3.1;0.4
2022/12/09;0300 UTC;0.0;1006.4;1006.6;1006.4;0.0;20.3;18.9;21.4;20.3;19.7;18.9;92.0;86.0;92.0;93.0;1.0;0.6
2022/12/09;0400 UTC;0.0;1006.0;1006.5;1006.0;0.0;19.9;19.0;20.5;19.7;19.6;18.7;96.0;92.0;95.0;54.0;1.5;0.9
2022/12/09;0500 UTC;0.0;1005.6;1006.0;1005.6;0.0;19.0;17.5;20.3;19.0;19.4;17.5;96.0;91.0;91.0;35.0;2.1;0.6
2022/12/09;0600 UTC;0.0;1005.8;1005.8;1005.6;0.0;19.0;18.4;19.1;18.2;18.5;17.1;97.0;91.0;96.0;37.0;2.0;1.1
2022/12/09;0700 UTC;0.0;1006.4;1006.4;1005.8;0.0;17.9;17.4;19.0;17.7;18.4;17.1;97.0;94.0;97.0;38.0;2.1;1.2
2022/12/09;0800 UTC;0.0;1006.7;1006.7;1006.4;0.0;17.9;17.4;18.0;17.4;17.6;16.8;97.0;95.0;97.0;73.0;1.6;1.0
2022/12/09;0900 UTC;0.0;1007.4;1007.4;1006.7;58.1;19.5;19.1;19.5;17.9;19.1;17.4;98.0;96.0;98.0;28.0;1.5;0.7
2022/12/09;1000 UTC;0.0;1008.4;1008.4;1007.4;413.0;19.4;19.1;19.6;19.0;19.2;18.7;98.0;98.0;98.0;46.0;3.0;1.6
2022/12/09;1100 UTC;0.0;1009.0;1009.0;1008.4;1002.5;22.4;20.7;22.4;19.4;21.1;19.0;98.0;90.0;90.0;47.0;3.1;1.5
2022/12/09;1200 UTC;0.0;1009.2;1009.3;1009.0;2245.7;24.9;21.3;24.9;22.4;21.4;19.9;91.0;79.0;80.0;42.0;4.3;2.2
2022/12/09;1300 UTC;0.0;1008.8;1009.2;1008.8;3055.0;27.7;21.2;27.7;24.6;21.6;20.3;80.0;67.0;67.0;117.0;3.8;1.6
2022/12/09;1400 UTC;0.0;1008.8;1008.9;1008.8;3562.6;27.5;21.8;30.1;27.2;22.4;16.8;73.0;47.0;71.0;200.0;6.2;4.1
2022/12/09;1500 UTC;0.0;1008.8;1009.0;1008.8;3844.6;29.3;19.9;29.8;27.2;22.6;19.9;73.0;57.0;57.0;208.0;6.8;4.3
2022/12/09;1600 UTC;0.0;1008.4;1008.8;1008.4;3827.3;30.3;20.6;31.0;29.2;21.9;18.7;60.0;51.0;56.0;172.0;7.5;3.9
2022/12/09;1700 UTC;0.0;1007.6;1008.4;1007.5;3742.6;31.3;19.8;31.9;30.0;21.8;19.1;58.0;49.0;51.0;151.0;8.3;4.8
2022/12/09;1800 UTC;0.0;1006.9;1007.6;1006.9;3348.4;31.5;20.4;32.2;30.7;21.0;18.6;52.0;47.0;52.0;130.0;9.4;4.4
2022/12/09;1900 UTC;0.0;1006.5;1006.9;1006.5;2756.8;31.4;20.6;32.3;31.2;21.6;19.0;56.0;47.0;53.0;99.0;7.8;4.3
