Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;0.0;1002.7;1002.7;1001.5;;25.0;21.6;25.7;25.0;22.4;21.6;83.0;81.0;82.0;80.0;7.1;1.9
2021/01/01;0100 UTC;4.6;1004.2;1004.4;1002.4;;23.7;21.6;25.0;23.7;21.6;21.3;88.0;81.0;88.0;209.0;6.7;1.9
2021/01/01;0200 UTC;7.2;1004.0;1004.6;1003.8;;22.3;21.0;23.7;22.0;21.5;20.4;92.0;88.0;92.0;12.0;6.7;0.9
2021/01/01;0300 UTC;0.0;1004.2;1004.4;1004.0;;22.3;21.1;22.4;22.2;21.2;20.9;93.0;92.0;93.0;37.0;3.3;1.1
2021/01/01;0400 UTC;0.0;1004.3;1004.4;1004.1;;22.5;21.5;22.5;22.2;21.5;21.0;94.0;93.0;94.0;95.0;2.2;0.8
2021/01/01;0500 UTC;0.0;1004.1;1004.5;1004.1;;22.3;21.3;22.5;22.3;21.5;21.3;94.0;94.0;94.0;14.0;1.8;0.3
2021/01/01;0600 UTC;0.4;1003.6;1004.1;1003.6;;22.3;21.3;22.4;22.2;21.5;21.2;95.0;94.0;95.0;355.0;1.5;0.6
2021/01/01;0700 UTC;0.0;1004.0;1004.0;1003.6;;22.1;21.3;22.3;22.1;21.3;21.1;95.0;94.0;95.0;56.0;2.1;0.7
2021/01/01;0800 UTC;0.0;1004.6;1004.6;1004.0;;21.8;21.0;22.2;21.8;21.3;20.9;95.0;94.0;95.0;59.0;3.1;0.3
2021/01/01;0900 UTC;0.0;1005.3;1005.3;1004.6;7.1;21.9;21.0;21.9;21.7;21.0;20.8;95.0;95.0;95.0;55.0;1.6;0.3
