Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;0.0;925.5;925.5;924.7;;20.8;19.9;21.1;20.7;20.1;19.8;95.0;93.0;95.0;273.0;2.6;1.6
2021/01/01;0100 UTC;0.0;926.2;926.2;925.5;;21.1;19.8;21.1;20.7;20.0;19.8;95.0;92.0;92.0;241.0;2.7;1.6
2021/01/01;0200 UTC;0.0;926.4;926.4;926.2;;20.8;18.5;21.4;20.3;19.8;18.5;92.0;87.0;87.0;183.0;3.5;1.3
2021/01/01;0300 UTC;0.0;926.2;926.6;926.2;;19.9;18.1;20.9;19.8;18.6;18.0;90.0;86.0;90.0;250.0;2.1;1.1
2021/01/01;0400 UTC;0.0;925.6;926.2;925.6;;19.1;17.6;20.1;19.1;18.2;17.6;92.0;88.0;91.0;238.0;4.1;1.8
2021/01/01;0500 UTC;0.0;925.6;925.7;925.6;;18.5;16.7;19.4;18.4;17.7;16.6;91.0;88.0;89.0;311.0;2.7;0.8
2021/01/01;0600 UTC;0.0;925.6;925.6;925.4;;17.6;16.8;18.7;17.6;16.8;16.5;95.0;88.0;95.0;305.0;1.8;1.2
2021/01/01;0700 UTC;0.0;925.7;925.7;925.5;;17.5;16.7;17.6;16.9;16.8;16.3;96.0;95.0;95.0;6.0;1.9;0.7
2021/01/01;0800 UTC;0.2;926.2;926.3;925.7;;16.5;15.9;17.5;16.5;16.6;15.9;97.0;94.0;96.0;310.0;2.9;1.7
2021/01/01;0900 UTC;0.0;926.5;926.5;926.2;92.0;17.5;16.5;17.6;16.3;16.8;15.7;96.0;94.0;94.0;70.0;2.9;0.3
2021/01/01;1000 UTC;0.0;927.3;927.3;926.5;566.7;17.2;16.7;18.3;16.6;17.4;15.6;97.0;92.0;97.0;168.0;2.6;0.8
2021/01/01;1100 UTC;0.0;927.7;927.7;927.3;1094.4;18.4;17.6;18.9;17.1;18.1;16.6;97.0;92.0;96.0;81.0;3.5;2.2
2021/01/01;1200 UTC;0.0;928.0;928.1;927.7;2121.3;20.6;16.9;21.4;18.4;18.9;16.9;96.0;79.0;80.0;166.0;3.3;1.1
2021/01/01;1300 UTC;0.0;927.9;928.0;927.9;3082.2;23.4;17.8;23.5;20.5;18.5;17.0;82.0;71.0;71.0;163.0;3.6;2.2
2021/01/01;1400 UTC;0.0;927.9;928.0;927.8;2982.6;23.8;18.2;24.6;22.8;18.8;17.1;73.0;66.0;71.0;191.0;5.3;1.9
2021/01/01;1500 UTC;0.0;927.6;927.9;927.6;3183.7;24.7;17.5;25.7;23.7;19.3;17.5;71.0;64.0;64.0;205.0;7.0;3.0
2021/01/01;1600 UTC;0.0;927.3;927.6;927.3;4159.3;26.3;19.6;26.6;24.7;19.6;17.5;67.0;59.0;67.0;207.0;8.9;3.0
2021/01/01;1700 UTC;0.0;926.9;927.4;926.9;3497.2;26.9;18.1;27.2;24.7;19.5;17.0;66.0;57.0;59.0;218.0;8.3;3.4
2021/01/01;1800 UTC;0.0;926.4;926.9;926.4;3122.2;26.4;16.8;27.7;25.5;19.2;16.6;61.0;55.0;56.0;210.0;7.4;3.0
2021/01/01;1900 UTC;0.0;926.0;926.4;925.9;2613.2;27.0;15.4;27.8;25.9;17.7;14.5;58.0;49.0;49.0;215.0;8.3;3.5
2021/01/01;2000 UTC;0.0;925.7;926.0;925.7;1970.7;26.8;14.8;27.6;26.5;16.2;14.1;51.0;46.0;48.0;206.0;7.1;3.1
2021/01/01;2100 UTC;0.0;926.0;926.0;925.7;1127.8;26.0;14.1;27.1;26.0;15.6;13.7;50.0;46.0;48.0;213.0;6.3;2.3
2021/01/01;2200 UTC;0.0;926.4;926.4;926.0;334.0;24.1;14.1;26.1;24.1;15.1;13.2;55.0;46.0;54.0;233.0;6.0;1.3
2021/01/01;2300 UTC;0.0;926.8;926.8;926.4;;21.8;14.7;24.1;21.8;14.7;13.6;64.0;52.0;64.0;311.0;2.9;1.5
2021/01/02;0000 UTC;0.0;927.1;927.2;926.8;;19.4;15.3;21.7;19.4;15.9;14.8;78.0;64.0;77.0;313.0;2.9;1.1
2021/01/02;0100 UTC;0.0;927.5;927.5;927.1;;18.4;15.2;19.4;18.4;15.8;15.2;82.0;77.0;82.0;306.0;3.5;2.3
2021/01/02;0200 UTC;0.0;927.7;927.8;927.5;;19.1;16.7;19.3;17.5;16.9;15.2;88.0;81.0;86.0;56.0;7.3;3.1
2021/01/02;0300 UTC;0.0;927.4;927.7;927.4;;18.8;17.2;19.2;18.6;17.2;16.7;91.0;86.0;90.0;65.0;5.5;2.7
2021/01/02;0400 UTC;0.0;927.2;927.5;927.2;;18.7;17.3;18.9;18.6;17.4;17.0;92.0;90.0;92.0;55.0;5.1;1.9
