Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;0.2;820.4;820.4;819.8;1.3;12.1;12.1;12.5;12.0;12.5;12.0;100.0;100.0;100.0;;;
2021/01/01;0100 UTC;0.6;820.7;820.7;820.4;0.8;11.9;11.9;12.1;11.9;12.1;11.9;100.0;100.0;100.0;;;
2021/01/01;0200 UTC;0.4;820.8;820.9;820.7;0.9;11.3;11.3;11.9;11.2;11.9;11.2;100.0;100.0;100.0;;;
2021/01/01;0300 UTC;0.0;820.8;820.9;820.7;0.1;11.7;11.7;11.8;11.2;11.8;11.2;100.0;100.0;100.0;;;
2021/01/01;0400 UTC;0.2;820.1;820.8;820.1;0.1;12.5;12.5;12.5;11.1;12.5;11.1;100.0;100.0;100.0;;;
2021/01/01;0500 UTC;0.0;820.0;820.1;819.9;0.0;11.1;11.1;12.8;11.1;12.7;11.1;100.0;100.0;100.0;;;
2021/01/01;0600 UTC;0.0;820.0;820.0;820.0;0.0;10.9;10.9;11.1;10.8;11.1;10.8;100.0;100.0;100.0;;;
2021/01/01;0700 UTC;0.2;819.9;820.0;819.8;0.0;11.0;11.0;11.6;10.8;11.6;10.9;100.0;100.0;100.0;;;
2021/01/01;0800 UTC;0.0;820.3;820.3;819.9;0.2;10.5;10.5;11.7;10.5;11.7;10.5;100.0;100.0;100.0;;;
2021/01/01;0900 UTC;0.0;820.5;820.5;820.3;33.8;12.0;12.0;12.0;10.1;12.0;10.1;100.0;100.0;100.0;;;
2021/01/01;1000 UTC;0.0;821.2;821.2;820.5;228.5;12.3;12.3;12.4;11.9;12.4;11.9;100.0;100.0;100.0;;;
2021/01/01;1100 UTC;0.0;821.5;821.5;821.2;674.1;13.3;13.3;13.4;12.3;13.3;12.3;100.0;100.0;100.0;;;
2021/01/01;1200 UTC;0.0;821.5;821.6;821.4;1578.1;14.1;14.1;14.2;12.6;14.1;12.6;100.0;100.0;100.0;;;
2021/01/01;1300 UTC;0.0;821.6;821.6;821.5;2384.3;15.3;13.9;15.7;13.8;15.4;13.2;100.0;88.0;91.0;;;
2021/01/01;1400 UTC;0.2;821.9;821.9;821.5;2636.4;14.9;13.4;17.7;14.8;15.9;12.9;95.0;82.0;91.0;;;
2021/01/01;1500 UTC;0.0;822.1;822.1;821.8;1287.7;11.2;10.8;15.2;11.2;14.8;10.8;99.0;91.0;97.0;;;
2021/01/01;1600 UTC;0.0;822.2;822.3;821.9;1504.7;10.8;10.7;15.1;10.7;15.1;10.5;100.0;97.0;99.0;;;
2021/01/01;1700 UTC;0.0;822.0;822.2;821.9;661.3;12.0;12.0;13.5;10.6;13.5;10.4;100.0;99.0;100.0;;;
2021/01/01;1800 UTC;3.2;821.8;822.1;821.7;499.3;11.4;11.4;12.3;10.4;12.3;10.4;100.0;100.0;100.0;;;
2021/01/01;1900 UTC;0.0;821.5;821.8;821.5;832.6;10.9;10.9;12.5;10.8;12.5;10.8;100.0;100.0;100.0;;;
2021/01/01;2000 UTC;0.0;821.5;821.6;821.4;406.3;10.8;10.8;11.0;10.7;11.0;10.7;100.0;100.0;100.0;;;
2021/01/01;2100 UTC;0.0;821.6;821.6;821.4;292.3;10.7;10.7;11.1;10.7;11.1;10.7;100.0;100.0;100.0;;;
2021/01/01;2200 UTC;0.4;821.9;821.9;821.6;104.9;10.3;10.3;10.7;10.3;10.7;10.3;100.0;100.0;100.0;;;
2021/01/01;2300 UTC;0.4;822.1;822.2;821.9;6.7;9.5;9.5;10.3;9.4;10.3;9.5;100.0;100.0;100.0;;;
2021/01/02;0000 UTC;0.2;822.5;822.6;822.1;0.3;8.3;8.3;9.5;8.3;9.4;8.3;100.0;100.0;100.0;;;
2021/01/02;0100 UTC;0.0;822.8;822.8;822.5;1.5;7.8;1.3;8.4;6.5;8.4;-0.1;100.0;58.0;63.0;;;
2021/01/02;0200 UTC;0.0;822.8;822.9;822.8;0.0;9.0;-0.4;9.0;7.7;4.4;-0.8;79.0;50.0;52.0;;;
2021/01/02;0300 UTC;0.0;822.5;822.8;822.5;0.0;10.1;-1.3;10.3;8.9;-0.4;-1.5;52.0;45.0;45.0;;;
2021/01/02;0400 UTC;0.0;821.6;822.5;821.6;0.0;9.8;-0.8;10.5;9.8;0.5;-1.2;50.0;44.0;48.0;;;
2021/01/02;0500 UTC;0.0;821.2;821.6;821.2;0.0;10.4;2.8;10.9;9.4;3.7;-0.8;64.0;46.0;59.0;;;
2021/01/02;0600 UTC;0.0;821.1;821.2;820.9;0.0;10.5;10.3;10.7;10.0;10.3;2.1;99.0;57.0;99.0;;;
2021/01/02;0700 UTC;0.0;821.2;821.3;821.0;0.0;10.1;10.1;10.6;10.0;10.5;9.9;100.0;99.0;100.0;;;
