Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2021/01/01;0000 UTC;0.0;922.0;922.0;920.9;0.6;21.9;19.7;22.8;21.9;21.7;19.6;94.0;87.0;87.0;206.0;7.0;0.0
2021/01/01;0100 UTC;0.0;922.8;922.8;922.0;0.9;21.7;19.2;21.9;21.7;19.8;19.2;88.0;86.0;86.0;206.0;3.4;0.0
2021/01/01;0200 UTC;0.0;922.8;922.8;922.6;;21.0;18.9;21.7;21.0;19.4;18.9;88.0;86.0;88.0;199.0;2.5;0.0
2021/01/01;0300 UTC;0.0;922.6;922.8;922.6;;20.3;18.8;21.0;20.2;18.9;18.7;91.0;88.0;91.0;188.0;0.0;0.0
2021/01/01;0400 UTC;0.0;922.2;922.5;922.2;;20.0;18.5;20.5;20.0;19.0;18.5;92.0;90.0;91.0;158.0;0.0;0.0
2021/01/01;0500 UTC;0.0;921.4;922.2;921.4;;18.9;17.4;20.0;18.9;18.5;17.4;92.0;91.0;91.0;180.0;0.0;0.0
2021/01/01;0600 UTC;0.0;921.4;921.4;921.3;;18.2;16.6;18.9;18.2;17.4;16.6;91.0;89.0;90.0;194.0;0.0;0.0
2021/01/01;0700 UTC;0.0;921.6;921.6;921.3;;17.8;16.2;18.2;17.7;16.6;16.0;91.0;89.0;91.0;176.0;0.0;0.0
2021/01/01;0800 UTC;0.0;922.4;922.4;921.6;;18.0;16.7;18.0;17.8;16.8;16.3;93.0;91.0;92.0;172.0;0.0;0.0
2021/01/01;0900 UTC;0.0;922.7;922.8;922.4;20.8;17.4;16.1;18.0;17.4;16.7;16.1;93.0;92.0;92.0;205.0;0.0;0.0
