Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2022/01/01;0000 UTC;0.0;1007.6;1007.6;1007.2;;21.4;19.1;22.0;21.4;19.5;19.1;86.0;85.0;86.0;180.0;1.8;1.2
2022/01/01;0100 UTC;0.0;1007.2;1007.7;1007.2;;20.7;18.7;21.5;20.7;19.1;18.6;88.0;86.0;88.0;231.0;1.8;0.0
2022/01/01;0200 UTC;0.0;1006.6;1007.2;1006.6;;20.1;18.2;20.7;20.1;18.7;18.2;89.0;88.0;89.0;226.0;2.2;0.5
2022/01/01;0300 UTC;0.0;1006.2;1006.7;1006.2;;19.5;17.9;20.1;19.5;18.3;17.8;90.0;89.0;90.0;222.0;2.8;0.9
2022/01/01;0400 UTC;0.0;1005.7;1006.2;1005.6;;19.8;18.2;19.9;19.5;18.4;17.9;91.0;90.0;91.0;209.0;3.5;1.7
2022/01/01;0500 UTC;0.0;1005.5;1005.7;1005.5;;19.5;18.1;19.8;19.4;18.3;17.9;91.0;91.0;91.0;212.0;3.1;1.4
2022/01/01;0600 UTC;0.0;1005.2;1005.5;1005.2;;19.3;17.9;19.5;19.3;18.1;17.9;92.0;91.0;92.0;207.0;3.0;1.8
2022/01/01;0700 UTC;0.0;1005.3;1005.3;1005.0;;19.1;17.8;19.3;19.0;17.9;17.7;92.0;92.0;92.0;220.0;4.2;1.3
2022/01/01;0800 UTC;0.0;1006.0;1006.0;1005.3;21.3;18.7;17.5;19.1;18.7;17.7;17.4;92.0;92.0;92.0;274.0;3.4;0.4
2022/01/01;0900 UTC;0.0;1006.7;1006.7;1006.1;496.4;20.2;18.8;20.3;18.7;18.9;17.4;93.0;91.0;91.0;228.0;3.7;2.0
2022/01/01;1000 UTC;0.0;1007.4;1007.4;1006.6;1309.1;22.3;20.5;22.5;20.2;20.7;18.9;92.0;89.0;89.0;228.0;3.9;2.1
2022/01/01;1100 UTC;0.0;1007.4;1007.5;1007.4;2159.9;24.0;21.5;24.0;22.2;21.6;20.3;89.0;86.0;86.0;238.0;5.1;1.8
2022/01/01;1200 UTC;0.0;1007.4;1007.5;1007.3;2903.5;25.9;22.2;26.0;23.9;22.4;21.2;86.0;80.0;80.0;200.0;3.5;1.5
2022/01/01;1300 UTC;0.0;1006.9;1007.4;1006.9;3477.8;27.8;22.5;27.9;25.6;23.1;21.8;80.0;73.0;73.0;25.0;4.3;1.8
