Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2022/01/01;0000 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0100 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0200 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0300 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0400 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0500 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0600 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0700 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0800 UTC;;;;;;;;;;;;;;;;;
2022/01/01;0900 UTC;;;;;;;;;;;;;;;;;
2022/01/01;1000 UTC;;;;;;;;;;;;;;;;;
2022/01/01;1100 UTC;;;;;;;;;;;;;;;;;
2022/01/01;1200 UTC;0.0;991.0;991.0;990.3;693.1;24.4;23.9;24.5;24.0;23.9;23.4;97.0;97.0;97.0;10.0;6.9;2.3
2022/01/01;1300 UTC;0.0;991.4;991.4;991.0;965.8;25.3;24.6;25.3;24.4;24.6;24.0;97.0;96.0;96.0;11.0;6.9;2.3
2022/01/01;1400 UTC;0.0;991.0;991.4;991.0;1838.7;26.6;25.6;26.7;25.3;25.8;24.5;96.0;95.0;95.0;354.0;7.4;2.6
2022/01/01;1500 UTC;0.0;990.2;991.0;990.2;2212.5;27.8;26.5;28.0;26.4;26.9;25.4;95.0;93.0;93.0;357.0;7.6;2.6
2022/01/01;1600 UTC;0.0;989.5;990.2;989.4;2225.5;29.0;27.3;29.1;27.5;27.4;25.9;93.0;90.0;90.0;334.0;8.0;3.0
2022/01/01;1700 UTC;0.0;988.4;989.5;988.4;2752.2;29.5;27.1;29.9;28.6;27.6;26.7;90.0;87.0;87.0;330.0;7.9;4.0
2022/01/01;1800 UTC;0.0;987.1;988.4;987.1;2451.1;29.8;26.5;30.1;28.9;27.2;26.0;87.0;83.0;83.0;330.0;7.6;3.3
2022/01/01;1900 UTC;0.0;986.0;987.1;986.0;1932.3;29.1;25.3;30.7;28.3;27.2;24.5;83.0;80.0;80.0;7.0;8.3;2.7
2022/01/01;2000 UTC;0.0;986.1;986.1;986.0;1495.6;29.1;24.7;30.2;28.9;26.3;24.7;80.0;78.0;78.0;354.0;6.0;2.1
