Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2022/01/01;0000 UTC;0.0;916.7;916.7;916.0;;21.9;19.2;22.3;21.8;19.3;19.1;85.0;82.0;85.0;62.0;2.8;1.2
2022/01/01;0100 UTC;0.0;916.9;916.9;916.6;;21.8;19.1;21.9;21.6;19.3;19.1;86.0;85.0;85.0;107.0;5.0;2.8
2022/01/01;0200 UTC;0.0;917.0;917.1;916.9;;21.3;19.2;21.8;21.2;19.2;19.1;88.0;85.0;88.0;66.0;5.0;1.2
2022/01/01;0300 UTC;0.0;916.6;917.0;916.6;;20.8;19.2;21.3;20.8;19.2;19.1;91.0;88.0;90.0;78.0;3.5;1.8
2022/01/01;0400 UTC;0.0;916.0;916.6;916.0;;20.5;19.1;20.8;20.4;19.2;19.0;92.0;90.0;92.0;94.0;3.5;2.0
2022/01/01;0500 UTC;0.0;915.6;916.0;915.6;;20.3;19.0;20.6;20.3;19.1;19.0;92.0;91.0;92.0;74.0;3.8;1.8
2022/01/01;0600 UTC;0.0;915.3;915.6;915.3;;20.1;19.0;20.3;20.1;19.0;18.9;93.0;92.0;93.0;78.0;3.0;1.2
2022/01/01;0700 UTC;0.0;915.5;915.5;915.2;;20.3;19.2;20.3;20.1;19.2;19.0;94.0;93.0;94.0;67.0;2.7;1.1
2022/01/01;0800 UTC;0.0;915.9;915.9;915.4;;20.2;19.2;20.3;20.2;19.3;19.1;94.0;94.0;94.0;70.0;3.1;1.0
2022/01/01;0900 UTC;0.0;916.4;916.4;915.9;4.7;20.3;19.2;20.3;20.2;19.3;19.2;94.0;93.0;93.0;62.0;3.5;1.6
2022/01/01;1000 UTC;0.0;917.0;917.0;916.4;114.5;20.7;19.2;20.7;20.3;19.4;19.1;93.0;91.0;91.0;57.0;4.1;2.0
2022/01/01;1100 UTC;0.0;917.6;917.6;917.0;439.2;21.6;19.3;21.6;20.7;19.5;19.2;91.0;87.0;87.0;39.0;5.0;1.8
2022/01/01;1200 UTC;0.0;917.9;917.9;917.6;809.3;23.0;19.5;23.0;21.5;19.7;19.2;87.0;81.0;81.0;34.0;5.0;1.6
2022/01/01;1300 UTC;0.0;918.1;918.1;917.9;1074.1;23.2;18.9;23.6;22.8;19.6;18.8;81.0;76.0;77.0;9.0;5.5;1.1
2022/01/01;1400 UTC;0.0;917.9;918.1;917.9;1828.2;24.8;19.1;25.7;23.2;19.7;18.7;79.0;67.0;71.0;10.0;7.6;2.5
2022/01/01;1500 UTC;0.0;917.4;917.9;917.4;1808.0;26.5;19.5;26.6;24.3;19.9;18.4;72.0;64.0;66.0;7.0;7.1;1.9
2022/01/01;1600 UTC;0.0;916.6;917.4;916.6;2278.4;28.8;18.9;29.0;25.6;20.4;17.9;67.0;52.0;55.0;33.0;5.3;1.6
2022/01/01;1700 UTC;0.0;915.8;916.6;915.8;2815.8;27.7;18.7;28.9;26.9;20.1;17.4;60.0;52.0;58.0;46.0;6.3;2.3
2022/01/01;1800 UTC;0.0;915.2;915.8;915.2;1771.4;27.3;17.5;28.0;26.8;19.2;17.5;62.0;54.0;55.0;32.0;5.3;2.2
2022/01/01;1900 UTC;4.6;915.0;915.2;914.7;776.7;21.4;19.4;27.4;21.1;19.4;17.4;89.0;55.0;88.0;91.0;11.9;1.7
2022/01/01;2000 UTC;0.2;914.9;915.1;914.9;447.1;21.7;19.3;22.0;21.4;20.1;19.0;90.0;84.0;86.0;138.0;3.1;0.8
2022/01/01;2100 UTC;0.6;915.5;915.5;914.8;416.3;22.3;20.7;22.3;21.7;20.8;19.0;92.0;83.0;91.0;110.0;2.4;0.4
2022/01/01;2200 UTC;0.0;916.1;916.1;915.4;68.2;22.1;20.3;22.3;22.0;20.6;20.2;91.0;89.0;90.0;44.0;1.4;0.6
2022/01/01;2300 UTC;0.0;916.7;916.8;916.1;;21.8;20.6;22.1;21.8;20.8;20.3;93.0;90.0;93.0;93.0;1.4;0.5
2022/01/02;0000 UTC;3.0;917.8;917.8;916.7;;20.1;18.9;21.9;20.1;20.7;18.6;93.0;91.0;93.0;25.0;8.6;1.7
2022/01/02;0100 UTC;0.6;918.7;918.7;917.8;;19.7;18.7;20.1;19.6;19.0;18.4;94.0;93.0;94.0;78.0;4.3;0.8
2022/01/02;0200 UTC;1.8;918.7;918.7;918.5;;20.1;19.2;20.2;19.7;19.4;18.7;95.0;94.0;95.0;9.0;6.3;1.9
2022/01/02;0300 UTC;0.4;918.3;918.7;918.3;;19.8;18.8;20.1;19.8;19.2;18.7;95.0;93.0;94.0;81.0;6.3;0.7
2022/01/02;0400 UTC;0.2;917.6;918.3;917.6;;19.8;18.9;19.9;19.8;19.0;18.8;95.0;94.0;95.0;16.0;1.7;0.0
2022/01/02;0500 UTC;0.2;917.0;917.6;917.0;;19.8;19.0;19.9;19.8;19.0;18.9;95.0;95.0;95.0;152.0;0.6;0.0
2022/01/02;0600 UTC;0.6;916.9;917.0;916.8;;20.1;19.3;20.1;19.8;19.4;19.0;95.0;95.0;95.0;39.0;2.8;0.7
2022/01/02;0700 UTC;3.2;917.0;917.0;916.7;;20.1;19.4;20.2;20.0;19.5;19.3;96.0;95.0;96.0;29.0;3.9;1.0
2022/01/02;0800 UTC;2.2;917.7;917.7;917.0;0.2;19.8;19.1;20.1;19.7;19.4;19.0;96.0;96.0;96.0;334.0;4.2;1.0
2022/01/02;0900 UTC;2.0;918.0;918.0;917.7;1.0;19.6;19.0;19.8;19.6;19.1;18.9;96.0;96.0;96.0;54.0;1.8;0.0
2022/01/02;1000 UTC;0.0;918.5;918.5;918.0;70.6;19.8;19.1;20.0;19.6;19.3;18.9;96.0;96.0;96.0;73.0;2.8;1.0
2022/01/02;1100 UTC;;;;;;;;;;;;;;;;;
