Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2022/01/01;0000 UTC;0.0;908.7;908.7;908.2;0.0;19.6;18.3;20.0;19.6;18.6;18.3;93.0;91.0;92.0;350.0;0.9;0.0
2022/01/01;0100 UTC;0.0;909.2;909.2;908.7;0.0;19.7;18.0;20.0;19.5;18.5;17.8;93.0;88.0;90.0;100.0;1.1;0.0
2022/01/01;0200 UTC;0.0;908.9;909.2;908.9;0.0;20.5;17.5;20.5;19.5;18.1;17.5;91.0;83.0;83.0;38.0;2.4;1.0
2022/01/01;0300 UTC;0.0;908.4;908.9;908.4;0.0;20.4;17.6;20.5;19.9;17.7;17.5;87.0;83.0;84.0;66.0;3.7;1.2
2022/01/01;0400 UTC;0.0;908.0;908.4;908.0;0.0;19.5;17.7;20.5;19.3;17.7;17.5;90.0;84.0;89.0;44.0;3.2;1.0
2022/01/01;0500 UTC;0.0;907.6;908.0;907.6;0.0;19.6;17.7;19.7;19.2;17.8;17.5;91.0;88.0;89.0;70.0;2.2;1.3
2022/01/01;0600 UTC;0.0;907.5;907.7;907.5;0.0;18.9;17.6;19.7;18.9;17.9;17.4;92.0;89.0;92.0;67.0;2.4;0.3
2022/01/01;0700 UTC;0.0;907.8;907.8;907.5;0.0;19.4;17.6;19.5;18.9;17.9;17.5;93.0;89.0;90.0;20.0;2.1;0.8
2022/01/01;0800 UTC;0.0;908.4;908.4;907.8;0.0;19.7;17.8;19.7;19.1;17.9;17.3;90.0;88.0;89.0;40.0;2.8;1.2
2022/01/01;0900 UTC;0.0;908.9;908.9;908.4;41.8;19.8;17.8;20.0;19.6;17.9;17.7;89.0;88.0;88.0;34.0;4.7;1.7
2022/01/01;1000 UTC;0.0;909.4;909.4;908.9;250.7;20.2;18.0;20.3;19.8;18.1;17.8;88.0;86.0;87.0;18.0;5.1;2.1
2022/01/01;1100 UTC;0.0;909.9;909.9;909.4;644.6;21.4;18.2;21.4;20.3;18.5;17.8;88.0;81.0;82.0;29.0;6.8;3.0
2022/01/01;1200 UTC;0.0;910.1;910.1;909.9;1066.4;21.8;17.8;21.9;21.3;18.4;17.7;83.0;78.0;78.0;14.0;7.5;3.3
2022/01/01;1300 UTC;0.0;910.2;910.3;910.0;1134.6;22.1;18.5;22.2;21.5;18.5;17.7;82.0;77.0;80.0;4.0;8.4;2.7
2022/01/01;1400 UTC;0.0;910.0;910.3;910.0;1335.0;22.4;18.2;22.5;21.6;18.9;17.8;83.0;77.0;77.0;10.0;8.2;3.9
2022/01/01;1500 UTC;0.0;909.6;910.0;909.6;2488.1;23.4;17.9;24.7;22.4;19.3;17.6;78.0;68.0;72.0;346.0;8.2;3.8
2022/01/01;1600 UTC;0.0;909.0;909.6;909.0;2519.1;24.6;18.1;24.9;23.4;18.9;17.8;75.0;66.0;67.0;344.0;8.3;3.3
2022/01/01;1700 UTC;0.0;908.1;909.0;908.1;2620.2;25.2;18.2;25.4;24.1;18.6;17.2;69.0;63.0;65.0;325.0;6.8;3.0
2022/01/01;1800 UTC;0.0;907.4;908.1;907.4;2394.0;25.7;18.1;26.0;24.9;18.9;17.5;66.0;60.0;63.0;359.0;7.0;2.8
2022/01/01;1900 UTC;0.0;906.9;907.4;906.9;1436.2;25.1;17.9;26.1;25.1;18.6;17.5;67.0;61.0;64.0;333.0;5.4;2.6
2022/01/01;2000 UTC;0.0;907.1;907.1;906.8;530.2;24.1;18.2;25.1;24.1;18.5;17.7;70.0;64.0;70.0;339.0;5.2;1.7
2022/01/01;2100 UTC;0.0;907.8;907.8;907.1;171.7;22.5;18.9;24.1;22.5;19.0;18.1;80.0;69.0;80.0;25.0;3.3;0.9
2022/01/01;2200 UTC;0.2;908.8;908.8;907.8;11.6;20.8;18.4;22.5;20.8;19.2;18.3;86.0;80.0;86.0;77.0;8.1;3.2
2022/01/01;2300 UTC;0.0;909.3;909.3;908.7;0.0;20.1;18.2;20.8;20.0;18.4;18.2;90.0;86.0;89.0;73.0;6.6;2.3
