Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2022/01/01;0000 UTC;;929.7;929.8;929.0;;21.6;20.3;21.8;21.5;20.5;20.2;93.0;92.0;92.0;354.0;6.8;2.5
2022/01/01;0100 UTC;;930.6;930.8;929.7;0.4;21.3;19.9;21.6;21.0;20.4;19.7;93.0;91.0;92.0;43.0;7.6;4.4
2022/01/01;0200 UTC;;930.5;930.7;930.5;0.9;20.8;19.6;21.3;20.8;19.9;19.5;93.0;91.0;93.0;33.0;7.9;3.6
2022/01/01;0300 UTC;;930.1;930.5;929.9;0.4;20.9;19.8;20.9;20.8;19.8;19.6;94.0;93.0;94.0;29.0;8.3;4.6
2022/01/01;0400 UTC;;929.8;930.0;929.5;0.2;20.9;19.8;20.9;20.8;19.8;19.7;94.0;94.0;94.0;35.0;6.6;3.9
2022/01/01;0500 UTC;;929.4;929.8;929.1;;21.0;19.7;21.0;20.8;19.8;19.7;94.0;92.0;92.0;14.0;7.0;2.1
2022/01/01;0600 UTC;;929.0;929.4;928.9;;21.0;19.4;21.1;20.9;19.7;19.4;92.0;91.0;91.0;35.0;5.0;2.5
2022/01/01;0700 UTC;;929.2;929.2;928.9;;20.8;19.0;21.0;20.8;19.4;19.0;91.0;89.0;89.0;26.0;5.6;3.8
2022/01/01;0800 UTC;;929.5;929.6;929.0;;20.6;18.8;20.9;20.6;19.0;18.8;90.0;89.0;89.0;27.0;5.8;3.1
2022/01/01;0900 UTC;;929.9;930.1;929.4;4.7;20.4;18.6;20.6;20.4;18.8;18.6;89.0;89.0;89.0;28.0;5.3;2.9
2022/01/01;1000 UTC;;930.5;930.6;929.8;131.6;20.5;18.7;20.5;20.3;18.8;18.6;91.0;89.0;90.0;39.0;5.7;3.8
2022/01/01;1100 UTC;;931.2;931.4;930.5;401.7;21.1;18.9;21.1;20.5;19.0;18.8;90.0;87.0;87.0;27.0;6.6;4.5
2022/01/01;1200 UTC;;931.6;931.7;931.1;1108.2;22.3;19.1;22.4;21.1;19.4;18.9;87.0;82.0;82.0;25.0;6.6;3.6
2022/01/01;1300 UTC;;931.7;931.8;931.5;1117.5;23.1;19.5;23.2;22.3;19.7;18.9;84.0;79.0;80.0;34.0;5.4;3.1
2022/01/01;1400 UTC;;931.7;931.8;931.6;1238.5;24.2;19.7;24.2;23.1;19.9;19.2;80.0;76.0;76.0;34.0;6.3;3.7
2022/01/01;1500 UTC;;930.9;931.7;930.8;1438.9;25.2;19.9;25.2;23.7;20.0;19.2;77.0;72.0;72.0;30.0;8.6;4.4
2022/01/01;1600 UTC;;930.2;930.8;930.0;1893.7;25.2;19.8;25.3;24.5;20.0;19.0;73.0;69.0;72.0;15.0;9.0;4.8
2022/01/01;1700 UTC;;929.3;930.1;929.1;1886.2;26.5;19.6;26.5;25.1;19.9;18.8;72.0;64.0;66.0;25.0;7.8;3.5
2022/01/01;1800 UTC;;928.6;929.3;928.5;896.0;25.5;19.3;26.8;25.1;20.1;19.2;74.0;64.0;69.0;10.0;6.0;3.4
2022/01/01;1900 UTC;;928.9;929.2;928.5;357.7;22.0;21.7;25.6;20.1;21.7;18.9;98.0;68.0;98.0;303.0;12.7;2.5
2022/01/01;2000 UTC;;929.0;929.0;928.8;437.3;22.5;20.9;22.9;22.0;22.0;20.8;98.0;90.0;90.0;205.0;3.5;1.3
2022/01/01;2100 UTC;;929.9;930.0;928.8;76.5;20.5;19.3;22.6;20.5;21.0;19.3;93.0;90.0;93.0;64.0;7.6;4.1
2022/01/01;2200 UTC;;930.4;930.4;929.9;27.4;20.4;19.9;20.6;20.4;20.0;19.3;97.0;93.0;97.0;110.0;7.6;1.2
2022/01/01;2300 UTC;;931.0;931.0;930.3;;20.7;20.1;20.7;20.4;20.2;19.8;98.0;97.0;97.0;38.0;2.8;1.5
2022/01/02;0000 UTC;;931.7;931.8;931.0;;20.3;19.8;20.7;20.3;20.1;19.7;97.0;96.0;97.0;86.0;3.4;1.5
2022/01/02;0100 UTC;;932.4;932.4;931.6;;20.6;20.3;20.6;20.3;20.3;19.8;98.0;97.0;98.0;52.0;2.4;1.0
2022/01/02;0200 UTC;;932.1;932.4;932.0;;20.7;20.4;20.8;20.6;20.5;20.3;98.0;98.0;98.0;53.0;3.2;2.2
2022/01/02;0300 UTC;;931.7;932.2;931.7;0.2;20.8;20.3;20.8;20.7;20.4;20.3;98.0;97.0;97.0;52.0;3.2;2.0
2022/01/02;0400 UTC;;931.4;931.8;931.3;0.0;20.8;20.3;20.8;20.8;20.4;20.3;97.0;97.0;97.0;64.0;4.2;2.2
2022/01/02;0500 UTC;;930.9;931.4;930.8;;20.6;20.2;20.8;20.6;20.3;20.2;98.0;97.0;97.0;52.0;3.9;2.3
