Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2023/01/01;0000 UTC;;;;;;;;;;;;;;;;;
2023/01/01;0100 UTC;0.8;945.4;945.4;945.2;;22.2;22.2;22.7;22.2;22.6;22.2;100.0;98.0;100.0;56.0;3.5;0.0
2023/01/01;0200 UTC;0.8;945.3;945.5;945.3;;22.2;22.2;22.3;22.0;22.2;22.0;100.0;100.0;100.0;355.0;2.1;1.1
2023/01/01;0300 UTC;0.6;945.1;945.3;945.0;;22.0;22.0;22.4;22.0;22.3;22.0;100.0;100.0;100.0;297.0;3.0;1.2
2023/01/01;0400 UTC;0.8;944.7;945.1;944.6;;21.4;21.4;22.0;21.4;22.0;21.4;100.0;100.0;100.0;274.0;3.0;0.0
2023/01/01;0500 UTC;0.6;944.2;944.7;944.0;;21.4;21.4;21.5;21.4;21.5;21.4;100.0;100.0;100.0;268.0;2.1;0.1
2023/01/01;0600 UTC;0.8;943.6;944.2;943.6;;21.2;21.2;21.5;21.2;21.5;21.2;100.0;100.0;100.0;31.0;2.2;0.1
2023/01/01;0700 UTC;0.6;943.7;943.8;943.5;;20.6;20.5;21.2;20.5;21.1;20.5;100.0;100.0;100.0;16.0;2.8;1.5
2023/01/01;0800 UTC;0.6;944.0;944.0;943.6;;20.3;20.3;20.6;20.3;20.5;20.3;100.0;100.0;100.0;2.0;2.9;0.5
2023/01/01;0900 UTC;0.6;944.5;944.5;944.0;3.9;20.7;20.7;20.7;20.2;20.7;20.2;100.0;100.0;100.0;334.0;2.1;0.0
2023/01/01;1000 UTC;0.6;945.0;945.0;944.5;178.5;21.9;21.9;21.9;20.7;21.9;20.7;100.0;100.0;100.0;324.0;1.7;0.0
2023/01/01;1100 UTC;0.6;945.3;945.3;944.9;917.4;23.7;22.1;24.6;21.9;23.0;20.9;100.0;80.0;91.0;9.0;1.8;0.1
2023/01/01;1200 UTC;0.6;945.8;945.8;945.3;1175.2;24.8;22.3;24.8;23.6;22.9;21.6;95.0;85.0;86.0;32.0;3.2;1.4
2023/01/01;1300 UTC;1.0;945.8;945.9;945.8;2347.0;27.6;22.6;27.6;24.5;23.0;21.6;90.0;74.0;74.0;22.0;4.2;1.7
2023/01/01;1400 UTC;1.2;945.4;945.8;945.3;3440.8;29.1;22.3;29.3;27.3;23.4;21.9;74.0;66.0;67.0;7.0;5.2;2.6
2023/01/01;1500 UTC;0.6;944.8;945.4;944.8;2861.2;29.1;22.4;30.4;28.6;22.6;20.6;68.0;59.0;67.0;20.0;6.4;2.3
2023/01/01;1600 UTC;0.8;944.1;944.8;944.1;806.3;26.2;22.4;29.1;26.1;23.4;21.3;84.0;65.0;80.0;137.0;5.4;2.4
2023/01/01;1700 UTC;0.6;943.5;944.1;943.4;1350.1;25.3;23.0;28.0;24.6;24.7;21.8;90.0;74.0;87.0;25.0;6.7;2.0
2023/01/01;1800 UTC;0.2;942.3;943.6;942.3;1590.4;28.6;22.4;28.6;25.3;23.4;21.6;89.0;68.0;69.0;312.0;3.9;0.3
2023/01/01;1900 UTC;0.0;941.9;942.3;941.9;3195.3;29.4;22.8;31.1;28.6;23.2;21.0;69.0;57.0;68.0;246.0;6.6;3.3
2023/01/01;2000 UTC;0.0;941.3;941.9;941.3;1371.1;28.3;22.2;29.4;27.7;22.9;21.9;74.0;67.0;69.0;259.0;6.6;1.6
2023/01/01;2100 UTC;0.0;941.4;941.6;941.0;830.1;27.9;21.7;29.3;27.9;22.6;21.3;70.0;64.0;69.0;258.0;3.5;0.1
2023/01/01;2200 UTC;0.0;942.0;942.0;941.3;116.5;27.0;21.5;28.0;26.9;22.4;21.0;76.0;67.0;72.0;247.0;1.9;0.0
2023/01/01;2300 UTC;0.0;942.9;942.9;942.0;;26.1;22.9;27.0;26.1;23.2;21.3;84.0;71.0;83.0;246.0;2.2;0.0
2023/01/02;0000 UTC;;;;;;;;;;;;;;;;;
2023/01/02;0100 UTC;;;;;;;;;;;;;;;;;
2023/01/02;0200 UTC;;;;;;;;;;;;;;;;;
2023/01/02;0300 UTC;;;;;;;;;;;;;;;;;
2023/01/02;0400 UTC;0.0;942.9;943.9;942.9;;23.2;23.1;24.3;23.2;23.7;22.7;100.0;90.0;100.0;358.0;3.8;0.8
2023/01/02;0500 UTC;0.0;943.0;943.1;942.8;;23.1;22.8;23.4;22.9;23.1;22.7;100.0;96.0;98.0;342.0;3.1;1.3
2023/01/02;0600 UTC;0.0;942.9;943.1;942.9;;21.9;19.5;23.7;21.9;22.9;19.2;98.0;78.0;86.0;345.0;9.4;3.5
2023/01/02;0700 UTC;0.0;942.8;942.9;942.5;;20.9;19.4;22.6;20.9;19.5;18.4;91.0;79.0;91.0;304.0;6.2;2.1
2023/01/02;0800 UTC;0.0;942.8;943.0;942.6;;21.4;20.1;21.4;20.6;20.1;19.5;95.0;91.0;92.0;322.0;4.2;0.5
2023/01/02;0900 UTC;0.0;943.6;943.6;942.8;2.1;22.1;20.6;22.4;21.4;20.9;20.1;93.0;89.0;91.0;198.0;3.0;0.4
